,source,target,weight,label
0,23,19,9.0,9.0
1,23,20,6.0,6.0
2,23,21,15.0,15.0
3,23,22,3.0,3.0
4,78,22,3.0,3.0
5,78,19,3.0,3.0
6,78,20,3.0,3.0
7,107,22,3.0,3.0
8,519,93051,1.0,1.0
9,93051,93005,6.0,6.0
10,93051,93006,6.0,6.0
11,554,48234,19.0,19.0
12,554,48233,6.0,6.0
13,554,48235,3.0,3.0
14,554,48236,3.0,3.0
15,892,872,3.0,3.0
16,900,872,3.0,3.0
17,927,872,3.0,3.0
18,977,948,3.0,3.0
19,985,948,3.0,3.0
20,994,948,3.0,3.0
21,1071,948,3.0,3.0
22,1189,1101,9.5,9.5
23,1189,858,7.0,7.0
24,1189,846,3.0,3.0
25,1229,846,3.0,3.0
26,1240,1101,2.5,2.5
27,1240,846,3.0,3.0
28,1240,856,3.0,3.0
29,1268,1101,2.5,2.5
30,1268,846,3.0,3.0
31,1268,856,3.0,3.0
32,1291,1101,2.5,2.5
33,1291,846,3.0,3.0
34,1291,856,3.0,3.0
35,1291,850,3.0,3.0
36,1314,846,3.0,3.0
37,1314,854,3.0,3.0
38,1314,1156,5.5,5.5
39,1381,848,3.0,3.0
40,1381,846,3.0,3.0
41,1381,854,3.0,3.0
42,1407,852,3.0,3.0
43,1407,846,3.0,3.0
44,1429,846,3.0,3.0
45,1429,852,3.0,3.0
46,1446,846,7.0,7.0
47,1475,846,3.0,3.0
48,1540,846,3.0,3.0
49,1581,1101,2.5,2.5
50,1581,858,3.0,3.0
51,1595,1101,2.5,2.5
52,1595,858,3.0,3.0
53,1609,848,3.0,3.0
54,1620,848,3.0,3.0
55,1632,848,3.0,3.0
56,1643,848,3.0,3.0
57,1654,848,3.0,3.0
58,1670,848,3.0,3.0
59,1681,848,3.0,3.0
60,1692,848,3.0,3.0
61,1719,848,3.0,3.0
62,1746,1101,2.5,2.5
63,1746,848,3.0,3.0
64,1774,850,3.0,3.0
65,1785,850,3.0,3.0
66,1806,850,3.0,3.0
67,1822,850,3.0,3.0
68,1868,858,3.0,3.0
69,1881,858,3.0,3.0
70,1894,858,3.0,3.0
71,1907,858,3.0,3.0
72,1920,858,3.0,3.0
73,1933,858,3.0,3.0
74,1933,1099,3.0,3.0
75,1951,858,3.0,3.0
76,1951,868,3.0,3.0
77,1969,858,3.0,3.0
78,1982,858,3.0,3.0
79,1995,858,3.0,3.0
80,1995,860,3.0,3.0
81,2010,858,3.0,3.0
82,2023,858,3.0,3.0
83,2036,858,3.0,3.0
84,2051,872,3.0,3.0
85,2093,948,3.0,3.0
86,2186,854,3.0,3.0
87,2199,854,3.0,3.0
88,2212,854,3.0,3.0
89,2212,852,3.0,3.0
90,2244,856,3.0,3.0
91,2257,860,3.0,3.0
92,2275,860,3.0,3.0
93,2286,1099,3.0,3.0
94,2286,1100,3.0,3.0
95,2310,1100,7.0,7.0
96,2310,1099,3.0,3.0
97,2372,2365,3.0,3.0
98,2481,1314,5.5,5.5
99,2481,2365,3.0,3.0
100,2481,2410,2.5,2.5
101,2481,2465,2.5,2.5
102,2530,1692,5.5,5.5
103,2530,2410,5.0,5.0
104,2530,1719,5.5,5.5
105,2559,2365,3.0,3.0
106,2559,2410,10.0,10.0
107,2620,2365,3.0,3.0
108,2620,2410,2.5,2.5
109,2761,2365,6.0,6.0
110,2761,2721,3.0,3.0
111,3875,3872,6.0,6.0
112,3875,3873,15.0,15.0
113,3875,3870,3.0,3.0
114,3875,3871,6.0,6.0
115,3875,3874,3.0,3.0
116,3919,3874,3.0,3.0
117,3919,3871,3.0,3.0
118,3919,3872,3.0,3.0
119,3930,3874,9.0,9.0
120,3930,3873,3.0,3.0
121,3930,3871,3.0,3.0
122,3967,3874,6.0,6.0
123,3967,3871,3.0,3.0
124,3967,3873,3.0,3.0
125,3995,66341,3.0,3.0
126,3995,3874,3.0,3.0
127,4068,3874,3.0,3.0
128,4228,3870,3.0,3.0
129,4228,3871,6.0,6.0
130,4531,3874,7.0,7.0
131,6029,6027,10.0,10.0
132,6029,5974,3.0,3.0
133,6029,6028,3.0,3.0
134,6063,6028,16.0,16.0
135,6063,6027,13.0,13.0
136,6154,6144,3.0,3.0
137,6154,6146,3.0,3.0
138,6154,6140,9.0,9.0
139,6154,6147,3.0,3.0
140,6154,6143,3.0,3.0
141,6154,6145,3.0,3.0
142,6154,6142,3.0,3.0
143,6154,6141,3.0,3.0
144,6154,6148,3.0,3.0
145,6190,6147,6.0,6.0
146,6190,6143,6.0,6.0
147,6190,6145,6.0,6.0
148,6190,6142,6.0,6.0
149,6190,6140,20.0,20.0
150,6190,6141,20.0,20.0
151,6190,6148,13.0,13.0
152,6252,6141,6.0,6.0
153,6252,6142,3.0,3.0
154,6252,6140,3.0,3.0
155,6269,6148,3.0,3.0
156,6278,5978,7.0,7.0
157,6278,6146,6.0,6.0
158,6278,6147,3.0,3.0
159,6278,6143,13.0,13.0
160,6278,6144,17.0,17.0
161,6393,6145,3.0,3.0
162,6401,6143,13.0,13.0
163,6401,6145,10.0,10.0
164,6401,6141,3.0,3.0
165,6401,6140,3.0,3.0
166,6401,6148,3.0,3.0
167,6401,6142,3.0,3.0
168,6401,5978,7.0,7.0
169,6401,6147,3.0,3.0
170,6517,5970,12.0,12.0
171,6517,5974,6.0,6.0
172,6517,57983,9.0,9.0
173,6623,6016,9.0,9.0
174,6623,6008,7.0,7.0
175,6690,57981,3.0,3.0
176,6700,5953,3.0,3.0
177,6700,57983,16.0,16.0
178,6700,5957,6.0,6.0
179,6700,57984,3.0,3.0
180,6700,5961,6.0,6.0
181,6700,5970,3.0,3.0
182,6700,5966,3.0,3.0
183,6700,6008,7.0,7.0
184,7233,7226,3.0,3.0
185,7233,7227,3.0,3.0
186,7233,6487,6.0,6.0
187,7233,6490,10.0,10.0
188,7233,6489,14.0,14.0
189,7233,6488,9.0,9.0
190,7233,6492,7.0,7.0
191,7233,6500,6.0,6.0
192,7233,7225,3.0,3.0
193,7233,6491,10.0,10.0
194,7341,6489,3.0,3.0
195,7341,6490,10.0,10.0
196,7341,6491,10.0,10.0
197,7341,6492,6.0,6.0
198,7341,6487,6.0,6.0
199,7341,6488,9.0,9.0
200,7545,6500,9.0,9.0
201,7617,6500,6.0,6.0
202,7680,6500,6.0,6.0
203,7790,6500,6.0,6.0
204,7891,57981,6.0,6.0
205,7891,66317,3.0,3.0
206,7891,66314,3.0,3.0
207,7891,6008,3.0,3.0
208,7891,66321,3.0,3.0
209,7891,66319,3.0,3.0
210,7891,5982,3.0,3.0
211,7891,66324,3.0,3.0
212,7891,5986,3.0,3.0
213,7891,66322,3.0,3.0
214,7891,5990,3.0,3.0
215,7891,66320,3.0,3.0
216,7891,5999,3.0,3.0
217,7891,66327,3.0,3.0
218,7891,66326,3.0,3.0
219,7891,6012,3.0,3.0
220,7891,6016,3.0,3.0
221,7976,6511,7.0,7.0
222,7976,6510,3.0,3.0
223,7976,6500,3.0,3.0
224,8018,6511,17.0,17.0
225,8018,5957,10.0,10.0
226,8018,6500,9.0,9.0
227,8018,6513,7.0,7.0
228,8018,6499,3.0,3.0
229,8018,6512,6.0,6.0
230,8018,6510,3.0,3.0
231,8018,6514,3.0,3.0
232,8159,57981,3.0,3.0
233,8159,57984,7.0,7.0
234,8159,6500,6.0,6.0
235,8233,6510,3.0,3.0
236,8233,6515,7.0,7.0
237,8233,6500,6.0,6.0
238,8307,59999,7.0,7.0
239,8307,6499,3.0,3.0
240,8307,5957,3.0,3.0
241,8307,59996,7.0,7.0
242,8307,6500,6.0,6.0
243,8307,59998,3.0,3.0
244,8384,6515,7.0,7.0
245,8384,6499,3.0,3.0
246,8384,5957,3.0,3.0
247,8384,6510,3.0,3.0
248,8384,6500,3.0,3.0
249,8435,5957,3.0,3.0
250,8435,6515,7.0,7.0
251,8435,6499,3.0,3.0
252,8435,6510,3.0,3.0
253,8435,6500,3.0,3.0
254,8494,6515,7.0,7.0
255,8494,6510,3.0,3.0
256,8494,6499,3.0,3.0
257,8494,5957,3.0,3.0
258,8494,6500,6.0,6.0
259,8494,6511,3.0,3.0
260,8585,6511,7.0,7.0
261,8585,6513,7.0,7.0
