,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,gc,gcd,iFit,ggc,ggcd,cr
0,23,AutoCompactTest (23),Method,12,0,11,1,0,0,0,0,11,1,9.0,4,7,15,16,27.651484454403228,107.24238017775622,0.14277063664639014,0.04792352999120959,0.02531566968259325,0.0,1.0253156696825934,0.02531566968259325,0.003014318010550113,0.0,0.0,0.000500876522866856,0.0,32.0,0.0,0.0,32.0,0.0,0.027932960893854743
1,19,dbname_ (19),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.010982356665106933,0.04525506070760815,0.0,0.008946129916656347,1.0089461299166564,0.008946129916656347,0.0015071590052750565,0.0015071590052750565,0.0,0.0007586446060521159,0.00017662643508978515,0.0,14.0,3.755791688490534e-14,0.0,14.0,0.013172930421533773
2,20,tiny_cache_ (20),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.010982356665106933,0.041551878844651044,0.0,0.008214075964390846,1.008214075964391,0.008214075964390846,0.0015071590052750565,0.0015071590052750565,0.0,0.0007199793935743269,0.00013246982631733885,0.0,14.0,2.7783808394375755e-14,0.0,14.0,0.009744794311833416
3,21,options_ (21),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.010982356665106933,0.030496791812587926,0.0,0.004354046382755597,1.0043540463827556,0.004354046382755597,0.0007535795026375283,0.0007535795026375283,0.0,0.000694202585255801,0.00022078304386223142,0.0,4.0,3.30584801496598e-14,0.0,4.0,0.013966480446927372
4,22,db_ (22),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.010982356665106933,0.060013329602628375,0.0,0.013840843597490386,1.0138408435974904,0.013840843597490386,0.002260738507912585,0.002260738507912585,0.0,0.001106631518352217,0.00013246982631733885,0.0,24.0,2.9137908330258e-14,0.0,24.0,0.010030472320975113
5,78,~AutoCompactTest (78),Method,4,0,3,1,0,0,0,0,3,1,5.0,1,3,2,3,4.754887502163468,10.0,0.054911783325534674,0.0359426474934072,0.008062162807629869,0.0,1.0080621628076298,0.008062162807629869,0.002260738507912585,0.0,0.0,0.000500876522866856,0.0,21.0,0.0,0.0,21.0,0.0,0.005713560182833925
6,107,Size (107),Method,2,0,1,1,0,0,0,0,1,1,6.0,2,5,3,6,13.60964047443681,25.26619429851844,0.0329470699953208,0.011980882497802398,0.001977263371070055,0.0,1.00197726337107,0.001977263371070055,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,3.0,0.0,0.0,3.0,0.0,0.0006348400203148807
7,519,main (519),Method,2,0,1,1,0,0,1,0,0,1,3.0,1,2,2,2,2.0,6.339850002884624,0.19768241997192482,0.011980882497802398,0.01443101724025737,0.0,1.0144310172402573,0.01443101724025737,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,4.0,0.0,0.0,4.0,0.0,0.00021161334010496018
8,93051,RunAllTests (93051),Method,15,1,4,11,0,0,0,0,4,6,23.0,9,8,22,27,52.529325012980806,200.2856792212666,0.17571770664171094,0.04612639761653923,0.018889384301627274,0.0091183779054247,1.028180002751515,0.02800776220705197,0.002260738507912585,0.0007535795026375283,1.1366206676282477e-06,0.0009261938601225349,1.4718869590815426e-05,12.0,3.0,1.512144667084416e-16,12.0,3.0,0.008432791603182664
9,554,BuildTable (554),Method,28,0,9,19,1,0,0,0,9,11,70.0,9,14,58,57,81.83229392178727,520.2096249465565,0.3184883432881011,0.04792352999120959,0.39475925742045276,0.0,1.3947592574204528,0.39475925742045276,0.003014318010550113,0.0,0.0,0.000500876522866856,0.0,232.0,0.0,0.0,232.0,0.0,0.026240054173015066
