77,BINDING,leveldb.AutoCompactTest.AutoCompactTest,AutoCompactTest,ANY leveldb.AutoCompactTest.AutoCompactTest ()
88,BINDING,leveldb.AutoCompactTest.~AutoCompactTest,~AutoCompactTest,ANY leveldb.AutoCompactTest.~AutoCompactTest ()
106,BINDING,leveldb.AutoCompactTest.Key,Key,string leveldb.AutoCompactTest.Key (int)
128,BINDING,leveldb.AutoCompactTest.Size,Size,"uint64_t leveldb.AutoCompactTest.Size (Slice,Slice)"
133,BINDING,leveldb.AutoCompactTest.DoReads,DoReads,void leveldb.AutoCompactTest.DoReads (int)
446,BINDING,leveldb.AutoCompactTest.DoReads,DoReads,void leveldb.AutoCompactTest.DoReads (int)
451,BINDING,leveldb._Test_ReadAll._Run,_Run,void leveldb._Test_ReadAll._Run ()
460,BINDING,leveldb._Test_ReadAll._RunIt,_RunIt,void leveldb._Test_ReadAll._RunIt ()
481,BINDING,leveldb._Test_ReadAll._Run,_Run,void leveldb._Test_ReadAll._Run ()
486,BINDING,leveldb._Test_ReadHalf._Run,_Run,void leveldb._Test_ReadHalf._Run ()
495,BINDING,leveldb._Test_ReadHalf._RunIt,_RunIt,void leveldb._Test_ReadHalf._RunIt ()
518,BINDING,leveldb._Test_ReadHalf._Run,_Run,void leveldb._Test_ReadHalf._Run ()
531,BINDING,main,main,"int main (int,char**)"
791,BINDING,leveldb.BuildTable,BuildTable,"Status leveldb.BuildTable (ANY,Env*,Options,TableCache*,Iterator*,FileMetaData*)"
815,BINDING,leveldb.BuildTable,BuildTable,"Status leveldb.BuildTable (ANY,Env*,Options,TableCache*,Iterator*,FileMetaData*)"
877,BINDING,leveldb_comparator_t.destructor_,destructor_,void leveldb_comparator_t.destructor_ (void*)
886,BINDING,leveldb_comparator_t.compare_,compare_,"int leveldb_comparator_t.compare_ (void*,char*,size_t,char*,size_t)"
891,BINDING,leveldb_comparator_t.name_,name_,char* leveldb_comparator_t.name_ (void*)
899,BINDING,leveldb_comparator_t.~leveldb_comparator_t,~leveldb_comparator_t,ANY leveldb_comparator_t.~leveldb_comparator_t ()
926,BINDING,leveldb_comparator_t.Compare,Compare,"int leveldb_comparator_t.Compare (Slice,Slice)"
935,BINDING,leveldb_comparator_t.Name,Name,const char* leveldb_comparator_t.Name ()
941,BINDING,leveldb_comparator_t.FindShortestSeparator,FindShortestSeparator,"void leveldb_comparator_t.FindShortestSeparator (ANY*,Slice)"
946,BINDING,leveldb_comparator_t.FindShortSuccessor,FindShortSuccessor,void leveldb_comparator_t.FindShortSuccessor (ANY*)
953,BINDING,leveldb_filterpolicy_t.destructor_,destructor_,void leveldb_filterpolicy_t.destructor_ (void*)
958,BINDING,leveldb_filterpolicy_t.name_,name_,char* leveldb_filterpolicy_t.name_ (void*)
967,BINDING,leveldb_filterpolicy_t.create_,create_,"char* leveldb_filterpolicy_t.create_ (void*,char**,size_t*,int,size_t*)"
976,BINDING,leveldb_filterpolicy_t.key_match_,key_match_,"unsigned char leveldb_filterpolicy_t.key_match_ (void*,char*,size_t,char*,size_t)"
984,BINDING,leveldb_filterpolicy_t.~leveldb_filterpolicy_t,~leveldb_filterpolicy_t,ANY leveldb_filterpolicy_t.~leveldb_filterpolicy_t ()
993,BINDING,leveldb_filterpolicy_t.Name,Name,const char* leveldb_filterpolicy_t.Name ()
1070,BINDING,leveldb_filterpolicy_t.CreateFilter,CreateFilter,"void leveldb_filterpolicy_t.CreateFilter (Slice*,int,ANY*)"
1097,BINDING,leveldb_filterpolicy_t.KeyMayMatch,KeyMayMatch,"bool leveldb_filterpolicy_t.KeyMayMatch (Slice,Slice)"
1155,BINDING,SaveError,SaveError,"bool SaveError (char**,Status)"
1188,BINDING,CopyString,CopyString,char* CopyString (ANY)
