,Id,Name,NodeType,Fullname,Signature,Filename,Code,LineNumber,LineNumberEnd,ColumnNumber,ColumnNumberEnd,LineOfCode,NumberOfOperators,SetOfOperators,NumberOfOperands,SetOfOperands,FanIn,FanOut,McCabe,AccCyc,ConCf,ConDf,ConZc,ConRf,ConVal,Parma,ParmaIn,ParmaOut,RetType
0,19,dbname_,3,leveldb.AutoCompactTest.dbname_,,db\autocompact_test.cc,dbname_,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
1,20,tiny_cache_,3,leveldb.AutoCompactTest.tiny_cache_,,db\autocompact_test.cc,* tiny_cache_,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
2,21,options_,3,leveldb.AutoCompactTest.options_,,db\autocompact_test.cc,options_,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
3,22,db_,3,leveldb.AutoCompactTest.db_,,db\autocompact_test.cc,* db_,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
4,846,rep,3,leveldb_t.rep,,db\c.cc,*               rep,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,12,0,1,1,0,0,,0,0,0,0,0,
5,848,rep,3,leveldb_iterator_t.rep,,db\c.cc,*         rep,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,11,0,1,1,0,0,,0,0,0,0,0,
6,850,rep,3,leveldb_writebatch_t.rep,,db\c.cc,rep,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
7,852,rep,3,leveldb_snapshot_t.rep,,db\c.cc,*   rep,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
8,854,rep,3,leveldb_readoptions_t.rep,,db\c.cc,rep,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
9,856,rep,3,leveldb_writeoptions_t.rep,,db\c.cc,rep,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
