,source,target,weight,label
0,18434,33403,2.5,2.5
1,18434,33884,4.0,4.0
2,34822,53554,9.5,9.5
3,34822,40522,5.5,5.5
4,40522,53554,19.0,19.0
5,50185,49613,2.5,2.5
6,50185,50218,3.0,3.0
7,49613,59869,2.5,2.5
8,40974,55875,2.5,2.5
9,55875,59869,7.5,7.5
10,45073,33875,1.0,1.0
11,50200,50218,3.0,3.0
12,38943,57322,4.0,4.0
13,21536,53554,9.5,9.5
14,21536,40584,5.5,5.5
15,40584,53725,2.5,2.5
16,46113,33403,15.0,15.0
17,46113,41176,22.0,22.0
18,46113,53800,9.5,9.5
19,46113,40729,34.0,34.0
20,46113,33492,2.5,2.5
21,46113,46689,10.0,10.0
22,41176,33492,2.5,2.5
23,41176,41219,2.5,2.5
24,41176,53725,5.5,5.5
25,40729,33492,2.5,2.5
26,56355,9663,5.5,5.5
27,9663,53554,19.0,19.0
28,1060,14251,5.0,5.0
29,1060,14259,5.0,5.0
30,1060,6835,2.5,2.5
31,6835,33875,1.0,1.0
32,6835,31978,1.0,1.0
33,55333,53554,9.5,9.5
34,48164,33492,2.5,2.5
35,48164,33598,2.5,2.5
36,15399,41219,5.5,5.5
37,41219,29885,5.5,5.5
38,41219,33492,2.5,2.5
39,41005,33403,2.5,2.5
40,41005,28557,2.5,2.5
41,41005,29885,5.5,5.5
42,41005,33598,7.5,7.5
43,28557,28477,1.0,1.0
44,29885,10096,2.5,2.5
45,45102,33492,5.0,5.0
46,45102,33403,2.5,2.5
47,25645,28477,8.0,8.0
48,25645,60726,10.0,10.0
49,25645,53862,2.5,2.5
50,53862,59869,2.5,2.5
51,50225,50248,3.0,3.0
52,61490,9627,4.0,4.0
53,39989,59869,5.5,5.5
54,4159,12518,4.0,4.0
55,50240,50248,3.0,3.0
56,16449,33403,5.0,5.0
57,16449,53554,19.0,19.0
58,16449,33492,2.5,2.5
59,43074,22975,2.0,2.0
60,43074,42887,14.0,14.0
61,43074,29735,2.5,2.5
62,13379,53554,9.5,9.5
63,23628,64921,7.0,7.0
64,23628,64922,7.0,7.0
65,4177,4114,3.0,3.0
66,9304,59869,5.5,5.5
67,9304,59334,2.5,2.5
68,55395,53840,5.5,5.5
69,37992,48770,3.0,3.0
70,37992,48771,3.0,3.0
71,18538,59869,2.5,2.5
72,14445,40974,5.0,5.0
73,38005,48770,3.0,3.0
74,42108,43074,2.5,2.5
75,42108,13064,4.0,4.0
76,38015,48770,3.0,3.0
77,38015,48771,13.0,13.0
78,8321,59869,5.5,5.5
79,14470,40974,5.0,5.0
80,21638,48932,2.5,2.5
81,21638,33598,5.0,5.0
82,39054,57322,4.0,4.0
83,51346,53554,9.5,9.5
84,51346,40584,2.5,2.5
85,32914,57322,4.0,4.0
86,9365,59869,5.5,5.5
87,9365,59597,2.5,2.5
88,45207,33875,1.0,1.0
89,20632,63707,7.0,7.0
90,38048,37984,3.0,3.0
91,17571,53862,2.5,2.5
92,14501,40974,5.5,5.5
93,14501,53840,5.5,5.5
94,14501,14267,3.0,3.0
95,1189,11539,4.0,4.0
96,1189,11529,4.0,4.0
97,62632,62552,3.0,3.0
98,62638,62548,3.0,3.0
99,62644,9654,1.0,1.0
100,19639,53862,2.5,2.5
101,19639,66936,3.0,3.0
102,19639,61077,2.5,2.5
103,10427,10189,2.5,2.5
104,10189,53691,2.5,2.5
105,24764,28477,4.0,4.0
106,10096,53691,2.5,2.5
107,31946,33965,2.5,2.5
108,58571,12518,1.0,1.0
109,57548,57561,3.0,3.0
110,57548,57562,3.0,3.0
111,57548,57563,3.0,3.0
112,9426,59869,5.5,5.5
113,9426,59733,2.5,2.5
114,28886,53554,9.5,9.5
115,13530,33492,10.0,10.0
116,13530,13064,4.0,4.0
117,13530,53691,5.5,5.5
118,1249,33875,4.0,4.0
119,34020,4232,1.0,1.0
120,58598,53554,9.5,9.5
121,58598,40522,5.5,5.5
122,39145,57364,2.5,2.5
123,31978,33884,1.0,1.0
124,49387,33492,2.5,2.5
125,14572,33403,5.0,5.0
126,15595,41219,5.5,5.5
127,47342,53554,19.0,19.0
128,8432,60086,2.5,2.5
129,52464,33492,2.5,2.5
130,31987,33909,2.5,2.5
131,54516,53862,2.5,2.5
132,54516,33492,2.5,2.5
133,55544,33492,2.5,2.5
134,64767,64839,3.0,3.0
135,39169,57322,4.0,4.0
136,57603,64711,7.0,7.0
137,17668,53862,2.5,2.5
138,10506,53554,9.5,9.5
139,10506,53862,2.5,2.5
140,9487,9618,10.0,10.0
141,9487,59869,5.5,5.5
142,28944,41005,5.5,5.5
143,24858,28477,1.0,1.0
144,24858,28523,1.0,1.0
145,38170,38166,3.0,3.0
146,11549,53725,5.5,5.5
147,11549,53554,9.5,9.5
148,62752,33598,2.5,2.5
149,12580,53862,2.5,2.5
150,16679,33403,2.5,2.5
151,16679,33492,2.5,2.5
152,64807,64839,3.0,3.0
153,3376,33492,2.5,2.5
154,5431,53554,28.5,28.5
155,5431,40522,5.0,5.0
156,5431,40584,2.5,2.5
157,8510,60086,2.5,2.5
158,41278,33403,2.5,2.5
159,41278,29885,5.5,5.5
160,41278,33492,2.5,2.5
161,41278,4278,2.5,2.5
162,15691,33403,5.0,5.0
163,15691,40522,5.5,5.5
164,51533,33598,2.5,2.5
165,36173,36167,10.0,10.0
166,21862,53800,9.5,9.5
167,30055,30000,3.0,3.0
168,30055,30004,3.0,3.0
169,11629,33598,5.0,5.0
170,38255,38238,6.0,6.0
171,38255,38239,6.0,6.0
172,26992,53862,2.5,2.5
173,40308,33492,2.5,2.5
174,3456,33598,2.5,2.5
175,38273,38238,13.0,13.0
176,38273,38239,10.0,10.0
177,61829,53554,9.5,9.5
178,11653,53554,9.5,9.5
179,11653,61077,2.5,2.5
180,28041,53862,2.5,2.5
181,35213,59869,2.5,2.5
182,8604,8751,10.0,10.0
183,8604,60086,2.5,2.5
184,52636,53554,9.5,9.5
185,45478,40729,5.5,5.5
186,45478,33403,2.5,2.5
187,45478,29885,5.5,5.5
188,45478,46689,2.5,2.5
189,35239,57333,2.5,2.5
190,20904,33403,2.5,2.5
191,15783,33492,2.5,2.5
192,15783,33403,2.5,2.5
193,62891,60086,5.0,5.0
194,10669,53554,9.5,9.5
195,10669,53862,2.5,2.5
196,3513,53554,9.5,9.5
197,3513,28557,2.5,2.5
198,55738,26654,5.5,5.5
199,55738,33492,5.0,5.0
200,55738,12383,5.5,5.5
201,7610,7550,10.0,10.0
202,7610,7554,3.0,3.0
203,7610,7562,3.0,3.0
204,7610,7566,3.0,3.0
205,17851,53862,2.5,2.5
206,35266,57322,4.0,4.0
207,26052,12518,1.0,1.0
208,54730,53554,9.5,9.5
209,11723,53554,9.5,9.5
210,38348,38344,16.0,16.0
211,14802,33875,1.0,1.0
212,20952,33403,5.0,5.0
213,48612,33598,2.5,2.5
214,17898,53862,2.5,2.5
215,58860,58912,3.0,3.0
216,18930,59289,2.5,2.5
217,52723,33403,2.5,2.5
218,40435,40428,3.0,3.0
219,40435,33875,1.0,1.0
220,45563,40729,11.0,11.0
221,45563,33403,2.5,2.5
222,47613,40616,2.5,2.5
