254,FIELD_IDENTIFIER,2,,make_unique<int>,make_unique<int>,7,4,2
365,FIELD_IDENTIFIER,2,,ConfigureLogging,ConfigureLogging,12,8,2
376,FIELD_IDENTIFIER,2,,getLogger,getLogger,27,10,2
384,FIELD_IDENTIFIER,2,,arg,arg,24,11,2
390,FIELD_IDENTIFIER,2,,doIt,doIt,3,13,2
397,FIELD_IDENTIFIER,2,,arg,arg,24,14,2
424,FIELD_IDENTIFIER,2,,getLogger,getLogger,39,4,2
436,FIELD_IDENTIFIER,2,,getLogger,getLogger,36,8,2
467,FIELD_IDENTIFIER,2,,configure,configure,30,19,2
506,FIELD_IDENTIFIER,2,,getLogger,getLogger,27,7,2
515,FIELD_IDENTIFIER,2,,doIt,doIt,3,10,2
542,FIELD_IDENTIFIER,2,,getLogger,getLogger,29,19,2
653,FIELD_IDENTIFIER,2,,applicationFilePath,applicationFilePath,34,38,2
661,FIELD_IDENTIFIER,2,,baseName,baseName,19,39,2
681,FIELD_IDENTIFIER,2,,NotConfigured,NotConfigured,48,56,2
690,FIELD_IDENTIFIER,2,,tie,tie,7,58,2
698,FIELD_IDENTIFIER,2,,configureFromFileAndWatch,configureFromFileAndWatch,54,58,2
708,FIELD_IDENTIFIER,2,,NotConfigured,NotConfigured,42,59,2
713,FIELD_IDENTIFIER,2,,configure,configure,22,60,2
724,FIELD_IDENTIFIER,2,,isEmpty,isEmpty,9,66,2
728,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,17,67,2
732,FIELD_IDENTIFIER,2,,getLogger,getLogger,17,68,2
736,FIELD_IDENTIFIER,2,,toStdString,toStdString,27,68,2
748,FIELD_IDENTIFIER,2,,getLogger,getLogger,17,75,2
753,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,17,76,2
817,FIELD_IDENTIFIER,2,,empty,empty,9,18,2
821,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,17,19,2
825,FIELD_IDENTIFIER,2,,getLogger,getLogger,17,20,2
853,FIELD_IDENTIFIER,2,,empty,empty,9,19,2
857,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,17,20,2
861,FIELD_IDENTIFIER,2,,getLogger,getLogger,17,21,2
904,FIELD_IDENTIFIER,2,,vector,vector,7,45,2
907,FIELD_IDENTIFIER,2,,string,string,19,45,2
939,FIELD_IDENTIFIER,2,,rfind,rfind,20,66,2
947,FIELD_IDENTIFIER,2,,npos,npos,19,67,2
955,FIELD_IDENTIFIER,2,,substr,substr,15,69,2
963,FIELD_IDENTIFIER,2,,push_back,push_back,3,77,2
967,FIELD_IDENTIFIER,2,,substr,substr,20,77,2
979,FIELD_IDENTIFIER,2,,back,back,19,85,2
980,FIELD_IDENTIFIER,2,,rfind,rfind,19,85,2
988,FIELD_IDENTIFIER,2,,npos,npos,20,86,2
994,FIELD_IDENTIFIER,2,,push_back,push_back,4,87,2
998,FIELD_IDENTIFIER,2,,back,back,21,87,2
1004,FIELD_IDENTIFIER,2,,back,back,4,88,2
1005,FIELD_IDENTIFIER,2,,erase,erase,4,88,2
1014,FIELD_IDENTIFIER,2,,empty,empty,12,97,2
1024,FIELD_IDENTIFIER,2,,back,back,19,98,2
1025,FIELD_IDENTIFIER,2,,rfind,rfind,19,98,2
1033,FIELD_IDENTIFIER,2,,npos,npos,20,99,2
1039,FIELD_IDENTIFIER,2,,erase,erase,4,100,2
1044,FIELD_IDENTIFIER,2,,push_back,push_back,4,101,2
1049,FIELD_IDENTIFIER,2,,push_back,push_back,2,110,2
1054,FIELD_IDENTIFIER,2,,push_back,push_back,2,111,2
1099,FIELD_IDENTIFIER,2,,exists,exists,8,129,2
1105,FIELD_IDENTIFIER,2,,setConfigurationFileName,setConfigurationFileName,26,130,2
1109,FIELD_IDENTIFIER,2,,getPath,getPath,51,130,2
1113,FIELD_IDENTIFIER,2,,setConfigurationWatchSeconds,setConfigurationWatchSeconds,26,131,2
1121,FIELD_IDENTIFIER,2,,empty,empty,9,134,2
1136,FIELD_IDENTIFIER,2,,exists,exists,9,136,2
1142,FIELD_IDENTIFIER,2,,setConfigurationFileName,setConfigurationFileName,27,137,2
1146,FIELD_IDENTIFIER,2,,getPath,getPath,52,137,2
1150,FIELD_IDENTIFIER,2,,setConfigurationWatchSeconds,setConfigurationWatchSeconds,27,138,2
1162,FIELD_IDENTIFIER,2,,configure,configure,21,147,2
1176,FIELD_IDENTIFIER,2,,empty,empty,9,166,2
1180,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,17,167,2
1184,FIELD_IDENTIFIER,2,,getLogger,getLogger,17,168,2
1198,FIELD_IDENTIFIER,2,,make_shared,make_shared,30,36,2
1205,FIELD_IDENTIFIER,2,,make_shared<SimpleLayout>,make_shared<SimpleLayout>,20,37,2
1211,FIELD_IDENTIFIER,2,,getSystemErr,getSystemErr,38,38,2
1215,FIELD_IDENTIFIER,2,,getSystemOut,getSystemOut,72,38,2
