,Source,Target,LineNumber,Relation,R_key,R_label
0,544,534,23,,4,value_local
1,643,6835,60,,3,data_method
2,716,33884,67,,2,call_method
3,716,33965,68,,3,data_method
4,1060,14251,130,,3,data_method
5,1060,14251,137,,3,data_method
6,1060,14259,131,,3,data_method
7,1060,14259,138,,3,data_method
8,1060,6835,147,,3,data_method
9,1189,11539,38,,2,call_method
10,1189,11539,38,,4,return_method
11,1189,11529,38,,2,call_method
12,1189,11529,38,,4,return_method
13,1249,33875,34,,2,call_method
14,1249,33875,34,,4,return_method
15,1580,1675,54,,2,call_method
16,1675,1579,84,,4,value_local
17,1761,1760,36,,4,value_local
18,3376,33492,102,,3,data_method
19,3456,33598,142,,3,data_method
20,3513,53554,159,,3,data_method
21,3513,53554,159,,4,return_method
22,3513,53554,159,,6,control_method
23,3513,28557,162,,3,data_method
24,4159,12518,87,,2,call_method
25,4159,12518,87,,4,return_method
26,4177,4114,97,,4,value_local
27,5431,53554,197,,3,data_method
28,5431,53554,197,,4,return_method
29,5431,53554,197,,6,control_method
30,5431,53554,202,,3,data_method
31,5431,53554,202,,4,return_method
32,5431,53554,202,,6,control_method
33,5431,53554,207,,3,data_method
34,5431,53554,207,,4,return_method
35,5431,53554,207,,6,control_method
36,5431,40522,199,,3,data_method
37,5431,40522,209,,3,data_method
38,5431,40584,204,,3,data_method
39,6684,6779,30,,4,value_local
40,6684,6780,31,,4,value_local
41,6684,6780,31,,6,control_local
42,6684,6780,33,,4,value_local
43,6684,6780,34,,4,value_local
44,6684,6780,34,,4,value_local
45,6733,6779,41,,4,value_local
46,6733,6780,42,,4,value_local
47,6759,6779,47,,4,value_local
48,6759,6780,48,,4,value_local
49,6835,33875,29,,2,call_method
50,6835,31978,37,,2,call_method
51,6904,34032,48,,2,call_method
52,7610,7550,168,,4,value_local
53,7610,7550,171,,4,value_local
54,7610,7550,171,,6,control_local
55,7610,7554,169,,4,value_local
56,7610,7562,173,,4,value_local
57,7610,7566,174,,4,value_local
58,8006,7535,322,,4,value_local
59,8006,7535,323,,4,value_local
60,8006,7535,324,,4,value_local
61,8321,59869,297,,3,data_method
62,8321,59869,297,,4,return_method
63,8432,60086,351,,3,data_method
64,8510,60086,403,,3,data_method
65,8604,8751,441,,4,value_local
66,8604,8751,441,,6,control_local
67,8604,8751,454,,4,value_local
68,8604,60086,469,,3,data_method
69,8819,53554,555,,3,data_method
70,8819,53554,555,,4,return_method
71,8819,53554,555,,6,control_method
72,8819,53554,556,,3,data_method
73,8819,53554,556,,4,return_method
74,8819,53554,556,,6,control_method
75,8819,53554,557,,3,data_method
76,8819,53554,557,,4,return_method
77,8819,53554,557,,6,control_method
78,9032,59869,236,,3,data_method
79,9032,59869,236,,4,return_method
80,9116,59869,280,,3,data_method
81,9116,59869,280,,4,return_method
82,9304,59869,361,,3,data_method
83,9304,59869,361,,4,return_method
84,9304,59334,368,,3,data_method
85,9365,59869,396,,3,data_method
86,9365,59869,396,,4,return_method
87,9365,59597,403,,3,data_method
88,9426,59869,431,,3,data_method
89,9426,59869,431,,4,return_method
90,9426,59733,438,,3,data_method
91,9487,9618,467,,4,value_local
92,9487,9618,467,,6,control_local
93,9487,9618,482,,4,value_local
94,9487,59869,481,,3,data_method
95,9487,59869,481,,4,return_method
96,9663,53554,556,,3,data_method
97,9663,53554,556,,4,return_method
98,9663,53554,556,,6,control_method
99,9663,53554,557,,3,data_method
100,9663,53554,557,,4,return_method
101,9663,53554,557,,6,control_method
102,10096,53691,124,,3,data_method
103,10189,53691,167,,3,data_method
104,10427,10189,26,,3,data_method
105,10506,53554,37,,3,data_method
106,10506,53554,37,,4,return_method
107,10506,53554,37,,6,control_method
108,10506,53862,62,,3,data_method
109,10669,53554,69,,3,data_method
110,10669,53554,69,,4,return_method
111,10669,53554,69,,6,control_method
112,10669,53862,89,,3,data_method
113,10807,53768,125,,3,data_method
114,10807,53768,125,,4,return_method
115,10807,53768,125,,6,control_method
116,10807,10506,127,,3,data_method
117,11237,53691,225,,3,data_method
118,11237,53691,225,,4,return_method
119,11237,53725,229,,3,data_method
120,11237,53725,229,,4,return_method
121,11237,53725,229,,6,control_method
122,11237,53554,230,,3,data_method
123,11237,53554,230,,4,return_method
124,11237,53554,230,,6,control_method
125,11237,53768,237,,3,data_method
126,11237,53768,237,,4,return_method
127,11237,53768,237,,6,control_method
128,11549,53725,85,,3,data_method
129,11549,53725,85,,4,return_method
130,11549,53554,87,,3,data_method
131,11549,53554,87,,4,return_method
132,11549,53554,87,,6,control_method
133,11629,33598,110,,3,data_method
134,11629,33598,112,,3,data_method
