,Source,Target,LineNumber,Relation,R_key,R_label
0,18434,33403,105,,3,data_method
1,18434,33884,111,,2,call_method
2,18434,33884,111,,4,return_method
3,34822,53554,54,,3,data_method
4,34822,53554,54,,4,return_method
5,34822,53554,54,,6,control_method
6,34822,40522,56,,3,data_method
7,34822,40522,56,,4,return_method
8,50185,49613,549,,3,data_method
9,50185,50218,549,,4,value_local
10,40974,55875,292,,3,data_method
11,45073,33875,68,,2,call_method
12,50200,50218,554,,4,value_local
13,38943,57322,130,,2,call_method
14,38943,57322,130,,4,return_method
15,21536,53554,75,,3,data_method
16,21536,53554,75,,4,return_method
17,21536,53554,75,,6,control_method
18,21536,40584,79,,3,data_method
19,21536,40584,79,,4,return_method
20,46113,33403,427,,3,data_method
21,46113,33403,478,,3,data_method
22,46113,33403,482,,3,data_method
23,46113,33403,502,,3,data_method
24,46113,33403,520,,3,data_method
25,46113,33403,528,,3,data_method
26,46113,41176,440,,3,data_method
27,46113,41176,440,,4,return_method
28,46113,41176,471,,3,data_method
29,46113,41176,471,,4,return_method
30,46113,41176,495,,3,data_method
31,46113,41176,495,,4,return_method
32,46113,41176,513,,3,data_method
33,46113,41176,513,,4,return_method
34,46113,53800,446,,3,data_method
35,46113,53800,446,,4,return_method
36,46113,53800,446,,6,control_method
37,46113,40729,446,,3,data_method
38,46113,40729,446,,4,return_method
39,46113,40729,446,,6,control_method
40,46113,40729,449,,3,data_method
41,46113,40729,449,,4,return_method
42,46113,40729,491,,3,data_method
43,46113,40729,491,,4,return_method
44,46113,40729,491,,6,control_method
45,46113,40729,509,,3,data_method
46,46113,40729,509,,4,return_method
47,46113,40729,509,,6,control_method
48,46113,33492,456,,3,data_method
49,46113,46689,481,,3,data_method
50,46113,46689,504,,3,data_method
51,46113,46689,522,,3,data_method
52,46113,46689,527,,3,data_method
53,56355,9663,108,,3,data_method
54,56355,9663,108,,4,return_method
55,1060,14251,130,,3,data_method
56,1060,14251,137,,3,data_method
57,1060,14259,131,,3,data_method
58,1060,14259,138,,3,data_method
59,1060,6835,147,,3,data_method
60,55333,53554,381,,3,data_method
61,55333,53554,381,,4,return_method
62,55333,53554,381,,6,control_method
63,48164,33492,342,,3,data_method
64,48164,33598,441,,3,data_method
65,15399,41219,335,,3,data_method
66,15399,41219,335,,4,return_method
67,41005,33403,327,,3,data_method
68,41005,28557,333,,3,data_method
69,41005,29885,339,,3,data_method
70,41005,29885,339,,4,return_method
71,41005,33598,344,,3,data_method
72,41005,33598,349,,3,data_method
