,Id,Name,NodeType,Fullname,Signature,Filename,Code,LineNumber,LineNumberEnd,ColumnNumber,ColumnNumberEnd,LineOfCode,NumberOfOperators,SetOfOperators,NumberOfOperands,SetOfOperands,FanIn,FanOut,McCabe,AccCyc,ConCf,ConDf,ConZc,ConRf,ConVal,Parma,ParmaIn,ParmaOut,RetType
0,18434,setBackupAppender,1,FallbackErrorHandler.setBackupAppender,void FallbackErrorHandler.setBackupAppender (AppenderPtr),main\cpp\fallbackerrorhandler.cpp,"void FallbackErrorHandler::setBackupAppender(const AppenderPtr& backup1)
{
	LogLog::debug(((LogString) LOG4CXX_STR(""FB: Setting backup appender to [""))
		+ backup1->getName() + LOG4CXX_STR(""].""));
	m_priv->backup = backup1;

	// Make sure that we keep a reference to the appender around, since otherwise
	// the appender would be lost if it has no loggers that use it.
	LoggerRepository* repository = LogManager::getRootLogger()->getLoggerRepository();
	Hierarchy* hierarchy = dynamic_cast<Hierarchy*>(repository);
	if(hierarchy){
		hierarchy->addAppender(backup1);
	}

}",103.0,117.0,1.0,1.0,15.0,13,5,11,6,0,2,2,2,0,1,,0,1,2,1,1,void
1,34822,setOption,1,MapFilter.setOption,"void MapFilter.setOption (LogString,LogString)",main\cpp\mapfilter.cpp,"void MapFilter::setOption(  const LogString& option,
	const LogString& value)
{
	if (StringHelper::equalsIgnoreCase(option, LOG4CXX_STR(""ACCEPTONMATCH""), LOG4CXX_STR(""acceptonmatch"")))
	{
		priv->acceptOnMatch = OptionConverter::toBoolean(value, priv->acceptOnMatch);
	}
	else if (StringHelper::equalsIgnoreCase(option, LOG4CXX_STR(""OPERATOR""), LOG4CXX_STR(""operator"")))
	{
		priv->mustMatchAll = StringHelper::equalsIgnoreCase(value, LOG4CXX_STR(""AND""), LOG4CXX_STR(""and"")) ? true : false;
	}
	else if (!option.empty() && !value.empty())
	{
		priv->keyVals[option] = value;
	}
}",51.0,66.0,1.0,2.0,16.0,9,4,6,5,0,2,2,2,1,2,,0,2,4,2,2,void
2,50185,AMPMToken,1,LOG4CXX_NS.helpers.SimpleDateFormatImpl.AMPMToken.AMPMToken,"ANY LOG4CXX_NS.helpers.SimpleDateFormatImpl.AMPMToken.AMPMToken (int,ANY*)",main\cpp\simpledateformat.cpp,"AMPMToken( int width, const std::locale* locale) : names( 2 )
		{
			renderFacet(locale, PatternToken::incrementHalfDay, 'p', 0x70, ""%p"", names);
		}",547.0,550.0,3.0,3.0,4.0,1,1,3,3,0,2,1,1,0,1,,0,1,4,2,2,ANY
3,40974,getSystemProperty,1,OptionConverter.getSystemProperty,"LogString OptionConverter.getSystemProperty (LogString,LogString)",main\cpp\optionconverter.cpp,"LogString OptionConverter::getSystemProperty(const LogString& key, const LogString& def)
{
	if (!key.empty())
	{
		LogString value(System::getProperty(key));

		if (!value.empty())
		{
			return value;
		}
	}

	return def;
}",288.0,301.0,1.0,1.0,14.0,5,2,6,4,6,1,3,4,0,1,,0,0,4,2,2,LogString
4,45073,doOnChange,1,LOG4CXX_NS.PropertyWatchdog.doOnChange,void LOG4CXX_NS.PropertyWatchdog.doOnChange (),main\cpp\propertyconfigurator.cpp,"void doOnChange()
		{
			PropertyConfigurator().doConfigure(file(),
				LogManager::getLoggerRepository());
		}",65.0,69.0,3.0,3.0,5.0,2,1,1,1,0,1,1,1,0,0,,0,0,0,0,0,void
5,4114,isDestructed,2,main\cpp\aprinitializer.cpp.isDestructed,,main\cpp\aprinitializer.cpp,bool isDestructed,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
6,57364,push,1,ThreadSpecificData.push,void ThreadSpecificData.push (LogString),main\cpp\threadspecificdata.cpp,"void ThreadSpecificData::push(const LogString& val)
{
	ThreadSpecificData* data = getCurrentData();

	if (data == 0)
	{
		data = createCurrentData();
	}

	if (data != 0)
	{
		NDC::Stack& stack = data->getStack();

		if (stack.empty())
		{
			stack.push(NDC::DiagnosticContext(val, val));
		}
		else
		{
			LogString fullMessage(stack.top().second);
			fullMessage.append(1, (logchar) 0x20);
			fullMessage.append(val);
			stack.push(NDC::DiagnosticContext(val, fullMessage));
		}
	}
}",116.0,141.0,1.0,1.0,26.0,9,5,11,4,1,0,4,5,0,0,,0,0,2,1,1,void
7,50200,format,1,LOG4CXX_NS.helpers.SimpleDateFormatImpl.AMPMToken.format,"void LOG4CXX_NS.helpers.SimpleDateFormatImpl.AMPMToken.format (LogString,apr_time_exp_t,Pool)",main\cpp\simpledateformat.cpp,"void format( LogString& s, const apr_time_exp_t& tm, Pool& /* p */ ) const
		{
			s.append( names[tm.tm_hour / 12] );
		}",552.0,555.0,3.0,3.0,4.0,4,3,3,3,0,1,1,1,0,0,,0,1,6,3,3,void
8,26654,getByName,1,InetAddress.getByName,InetAddressPtr InetAddress.getByName (LogString),main\cpp\inetaddress.cpp,"InetAddressPtr InetAddress::getByName(const LogString& host)
{
	InetAddressPtr result;
	auto address = getAllByName(host);
	if (!address.empty())
		result = address.front();
	return result;
}",122.0,129.0,1.0,1.0,8.0,5,3,6,3,1,0,2,2,0,0,,0,0,2,1,1,InetAddressPtr
9,38943,pop,1,NDC.pop,LogString NDC.pop (),main\cpp\ndc.cpp,"bool NDC::pop(std::string& dst)
{
	bool retval = false;
	ThreadSpecificData* data = ThreadSpecificData::getCurrentData();

	if (data != 0)
	{
		Stack& stack = data->getStack();

		if (!stack.empty())
		{
			Transcoder::encode(getMessage(stack.top()), dst);
			stack.pop();
			retval = true;
		}

		data->recycle();
	}

	return retval;
}",150.0,170.0,1.0,1.0,21.0,11,5,11,4,0,1,3,4,0,0,,0,1,2,1,1,bool
10,21536,setOption,1,FixedWindowRollingPolicy.setOption,"void FixedWindowRollingPolicy.setOption (LogString,LogString)",main\cpp\fixedwindowrollingpolicy.cpp,"void FixedWindowRollingPolicy::setOption(const LogString& option,
	const LogString& value)
{
	if (StringHelper::equalsIgnoreCase(option,
			LOG4CXX_STR(""MININDEX""),
			LOG4CXX_STR(""minindex"")))
	{
		priv->minIndex = OptionConverter::toInt(value, 1);
	}
	else if (StringHelper::equalsIgnoreCase(option,
			LOG4CXX_STR(""MAXINDEX""),
			LOG4CXX_STR(""maxindex"")))
	{
		priv->maxIndex = OptionConverter::toInt(value, 7);
	}
	else if (StringHelper::equalsIgnoreCase(option,
			LOG4CXX_STR(""THROWIOEXCEPTIONONFORKFAILURE""),
			LOG4CXX_STR(""throwioexceptiononforkfailure"")))
	{
		priv->throwIOExceptionOnForkFailure = OptionConverter::toBoolean(value, true);
	}
	else
	{
		RollingPolicyBase::setOption(option, value);
	}
}",72.0,97.0,1.0,2.0,26.0,6,4,5,5,0,2,2,2,1,2,,0,2,4,2,2,void
