35,IDENTIFIER,1,,maintenance_cond,23,,28,maintenance_cond,1,,pthread_cond_t
36,IDENTIFIER,2,,PTHREAD_COND_INITIALIZER,42,,28,PTHREAD_COND_INITIALIZER,2,,ANY
39,IDENTIFIER,1,,maintenance_lock,24,,29,maintenance_lock,1,,pthread_mutex_t
40,IDENTIFIER,2,,PTHREAD_MUTEX_INITIALIZER,43,,29,PTHREAD_MUTEX_INITIALIZER,2,,ANY
43,IDENTIFIER,1,,hashpower,14,,32,hashpower,1,,unsigned int
49,IDENTIFIER,1,,primary_hashtable,15,,38,primary_hashtable,1,,item**
53,IDENTIFIER,1,,old_hashtable,15,,44,old_hashtable,1,,item**
57,IDENTIFIER,1,,expanding,13,,47,expanding,1,,bool
58,IDENTIFIER,2,,false,25,,47,false,2,,ANY
61,IDENTIFIER,1,,expand_bucket,17,,53,expand_bucket,1,,uint64_t
67,IDENTIFIER,-1,,hashtable_init,9,,56,hashtable_init,1,,int
70,IDENTIFIER,1,,hashpower,9,,57,hashpower,1,,unsigned int
71,IDENTIFIER,2,,hashtable_init,21,,57,hashtable_init,2,,int
73,IDENTIFIER,1,,primary_hashtable,5,,59,primary_hashtable,1,,item**
76,IDENTIFIER,1,,hashpower,32,,59,hashpower,1,,unsigned int
82,IDENTIFIER,2,,hashpower,32,,59,hashpower,2,,unsigned int
84,IDENTIFIER,1,,void,60,,59,void,1,,void
87,IDENTIFIER,1,,primary_hashtable,11,,60,primary_hashtable,1,,item**
90,IDENTIFIER,1,,stderr,17,,61,stderr,1,,ANY
93,IDENTIFIER,1,,EXIT_FAILURE,14,,62,EXIT_FAILURE,1,,ANY
97,IDENTIFIER,1,,stats_state,5,,65,stats_state,1,,ANY
99,IDENTIFIER,2,,hashpower,36,,65,hashpower,2,,unsigned int
102,IDENTIFIER,1,,stats_state,5,,66,stats_state,1,,ANY
106,IDENTIFIER,1,,hashpower,30,,66,hashpower,1,,unsigned int
112,IDENTIFIER,2,,hashpower,30,,66,hashpower,2,,unsigned int
114,IDENTIFIER,1,,void,59,,66,void,1,,void
127,IDENTIFIER,1,,expanding,9,,74,expanding,1,,bool
130,IDENTIFIER,1,,oldbucket,10,,75,oldbucket,1,,uint64_t
132,IDENTIFIER,1,,hv,23,,75,hv,1,,uint32_t
141,IDENTIFIER,1,,hashpower,28,,75,hashpower,1,,unsigned int
144,IDENTIFIER,2,,expand_bucket,57,,75,expand_bucket,2,,uint64_t
147,IDENTIFIER,1,,it,9,,77,it,1,,item*
149,IDENTIFIER,1,,old_hashtable,14,,77,old_hashtable,1,,item**
150,IDENTIFIER,2,,oldbucket,28,,77,oldbucket,2,,uint64_t
154,IDENTIFIER,1,,it,9,,79,it,1,,item*
