223,RETURN,-1,,return ret;,5,93,9
324,RETURN,-1,,return pos;,5,114,5
517,RETURN,-1,,return 1;,5,165,3
554,RETURN,-1,,return;,9,180,5
778,RETURN,-1,,return NULL;,5,259,4
827,RETURN,-1,,return -1;,9,277,2
830,RETURN,-1,,return 0;,5,279,6
881,RETURN,-1,,return NULL;,9,302,1
890,RETURN,-1,,return iter;,5,306,5
961,RETURN,-1,,return true;,9,326,2
1034,RETURN,-1,,return false;,9,347,1
1036,RETURN,-1,,return true;,5,350,6
1201,RETURN,-1,,return AUTHFILE_OPENFAIL;,9,38,1
1214,RETURN,-1,,return AUTHFILE_STATFAIL;,9,41,2
1371,RETURN,-1,,return AUTHFILE_MALFORMED;,13,81,3
1417,RETURN,-1,,return AUTHFILE_OK;,5,108,23
1485,RETURN,-1,,return 1;,13,121,1
1487,RETURN,-1,,return 0;,5,125,6
1821,RETURN,-1,,return 0;,9,104,1
1828,RETURN,-1,,return 0;,9,107,1
1835,RETURN,-1,,return 0;,9,110,1
2002,RETURN,-1,,return pos - out;,5,138,17
2058,RETURN,1,,return 0;,9,164,1
2072,RETURN,-1,,return 0;,9,168,1
2082,RETURN,-1,,return 0;,9,172,1
2200,RETURN,-1,,return 0;,21,197,1
2203,RETURN,-1,,return pos - out;,5,204,18
2246,RETURN,-1,,return sizeof(bipbuf_t) + size;,5,20,1
2263,RETURN,1,,return me->a_start - me->b_end;,9,27,1
2273,RETURN,1,,return me->size - me->a_end;,9,29,1
2286,RETURN,-1,,return me->size;,5,34,1
2295,RETURN,-1,,return (me->a_end - me->a_start) + me->b_end;,5,39,1
2351,RETURN,1,,return NULL;,9,53,1
2356,RETURN,-1,,return me;,5,55,5
2370,RETURN,-1,,return me->a_start == me->a_end;,5,65,1
2417,RETURN,1,,return 0;,9,80,1
2426,RETURN,-1,,return (unsigned char *)me->data + me->b_end;,9,83,1
2438,RETURN,-1,,return (unsigned char *)me->data + me->a_end;,9,87,1
2460,RETURN,1,,return 0;,9,94,1
2483,RETURN,-1,,return size;,5,106,4
2498,RETURN,1,,return 0;,9,113,1
2541,RETURN,-1,,return size;,5,127,4
2560,RETURN,1,,return NULL;,9,134,1
2566,RETURN,1,,return NULL;,9,137,1
2568,RETURN,-1,,return (unsigned char *)me->data + me->a_start;,5,139,3
2588,RETURN,1,,return NULL;,9,145,1
2600,RETURN,-1,,return (unsigned char*)me->data + me->a_start;,5,148,3
2620,RETURN,1,,return NULL;,9,154,1
2633,RETURN,1,,return NULL;,9,158,1
2700,RETURN,-1,,return end;,5,179,8
2860,RETURN,-1,,return NULL;,9,25,3
2915,RETURN,-1,,return ret;,5,38,10
2947,RETURN,-1,,return pre + 1;,5,50,3
3065,RETURN,-1,,return ret;,5,72,5
3225,RETURN,-1,,return object;,5,105,5
3278,RETURN,-1,,return;,9,121,3
3297,RETURN,-1,,return;,9,128,3
3768,RETURN,-1,,return -1;,13,140,1
3846,RETURN,-1,,return 0;,5,156,7
4184,RETURN,-1,,return;,9,246,2
4347,RETURN,-1,,return;,9,263,1
4428,RETURN,-1,,return -1;,9,288,1
4436,RETURN,1,,return 0;,19,291,1
4484,RETURN,-1,,return -1;,13,298,2
4512,RETURN,-1,,return -1;,13,304,2
4559,RETURN,-1,,return -1;,21,310,2
4571,RETURN,-1,,return -1;,17,314,2
4581,RETURN,-1,,return 0;,5,320,13
4599,RETURN,1,,return -1;,23,329,1
4625,RETURN,1,,return ret;,22,334,1
4632,RETURN,-1,,return 0;,5,338,6
4830,RETURN,-1,,return;,5,405,9
