,Id,Name,NodeType,Fullname,Signature,Filename,Code,LineNumber,LineNumberEnd,ColumnNumber,ColumnNumberEnd,LineOfCode,NumberOfOperators,SetOfOperators,NumberOfOperands,SetOfOperands,FanIn,FanOut,McCabe,AccCyc,ConCf,ConDf,ConZc,ConRf,ConVal,Parma,ParmaIn,ParmaOut,RetType
0,862,bucket,3,assoc_iterator.bucket,,assoc.c,bucket,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
1,863,it,3,assoc_iterator.it,,assoc.c,*it,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
2,864,next,3,assoc_iterator.next,,assoc.c,*next,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
3,865,bucket_locked,3,assoc_iterator.bucket_locked,,assoc.c,bucket_locked,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
4,2710,size,3,bipbuf_t.size,,bipbuffer.h,size,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
5,2711,a_start,3,bipbuf_t.a_start,,bipbuffer.h,a_start,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,14,0,1,1,0,0,,0,0,0,0,0,
6,2712,a_end,3,bipbuf_t.a_end,,bipbuffer.h,a_end,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
7,2713,b_end,3,bipbuf_t.b_end,,bipbuffer.h,b_end,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,10,0,1,1,0,0,,0,0,0,0,0,
8,2714,b_inuse,3,bipbuf_t.b_inuse,,bipbuffer.h,b_inuse,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
9,2715,data,3,bipbuf_t.data,,bipbuffer.h,data[],-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
10,3398,mutex,3,cache_t.mutex,,cache.h,mutex,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
11,3399,name,3,cache_t.name,,cache.h,*name,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
12,3405,head,3,cache_t.head,,cache.h,head,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,20,0,1,1,0,0,,0,0,0,0,0,
13,3406,bufsize,3,cache_t.bufsize,,cache.h,bufsize,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
14,3408,total,3,cache_t.total,,cache.h,total,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
15,3409,freecurr,3,cache_t.freecurr,,cache.h,freecurr,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
16,3410,limit,3,cache_t.limit,,cache.h,limit,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
17,3490,c,3,crawler_client_t.c,,crawler.c,*c,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
18,3491,sfd,3,crawler_client_t.sfd,,crawler.c,sfd,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
19,3492,buf,3,crawler_client_t.buf,,crawler.c,*buf,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
20,3493,cbuf,3,crawler_client_t.cbuf,,crawler.c,*cbuf,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
21,6050,histo,3,crawlerstats_t.histo,,crawler.h,histo[61],-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
22,6052,noexp,3,crawlerstats_t.noexp,,crawler.h,noexp,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
23,6053,reclaimed,3,crawlerstats_t.reclaimed,,crawler.h,reclaimed,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
24,6054,seen,3,crawlerstats_t.seen,,crawler.h,seen,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
25,6055,start_time,3,crawlerstats_t.start_time,,crawler.h,start_time,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
26,6056,end_time,3,crawlerstats_t.end_time,,crawler.h,end_time,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
27,6057,run_complete,3,crawlerstats_t.run_complete,,crawler.h,run_complete,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
28,6066,lock,3,crawler_expired_data.lock,,crawler.h,lock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
29,6067,crawlerstats,3,crawler_expired_data.crawlerstats,,crawler.h,crawlerstats[POWER_LARGEST],-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
30,6070,crawl_complete,3,crawler_expired_data.crawl_complete,,crawler.h,crawl_complete,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
31,7268,mutex,3,store_io_thread.mutex,,extstore.c,mutex,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
32,7269,cond,3,store_io_thread.cond,,extstore.c,cond,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
33,7270,queue,3,store_io_thread.queue,,extstore.c,*queue,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
34,7271,queue_tail,3,store_io_thread.queue_tail,,extstore.c,*queue_tail,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
35,7273,depth,3,store_io_thread.depth,,extstore.c,depth,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
36,7281,mutex,3,store_engine.mutex,,extstore.c,mutex,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,17,0,1,1,0,0,,0,0,0,0,0,
37,7282,pages,3,store_engine.pages,,extstore.c,*pages,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,16,0,1,1,0,0,,0,0,0,0,0,
38,7283,wbuf_stack,3,store_engine.wbuf_stack,,extstore.c,*wbuf_stack,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
39,7284,io_stack,3,store_engine.io_stack,,extstore.c,*io_stack,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
40,7285,io_threads,3,store_engine.io_threads,,extstore.c,*io_threads,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,10,0,1,1,0,0,,0,0,0,0,0,
41,7286,maint_thread,3,store_engine.maint_thread,,extstore.c,*maint_thread,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
42,7287,page_freelist,3,store_engine.page_freelist,,extstore.c,*page_freelist,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
43,7288,page_buckets,3,store_engine.page_buckets,,extstore.c,**page_buckets,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
44,7289,free_page_buckets,3,store_engine.free_page_buckets,,extstore.c,**free_page_buckets,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
45,7290,page_size,3,store_engine.page_size,,extstore.c,page_size,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
46,7291,version,3,store_engine.version,,extstore.c,version,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
47,7293,io_threadcount,3,store_engine.io_threadcount,,extstore.c,io_threadcount,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
48,7294,page_count,3,store_engine.page_count,,extstore.c,page_count,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
49,7295,page_free,3,store_engine.page_free,,extstore.c,page_free,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
50,7296,page_bucketcount,3,store_engine.page_bucketcount,,extstore.c,page_bucketcount,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
51,7298,io_depth,3,store_engine.io_depth,,extstore.c,io_depth,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
52,7299,stats_mutex,3,store_engine.stats_mutex,,extstore.c,stats_mutex,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,13,0,1,1,0,0,,0,0,0,0,0,
53,7301,stats,3,store_engine.stats,,extstore.c,stats,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,15,0,1,1,0,0,,0,0,0,0,0,
54,10682,pages_free,3,extstore_stats.pages_free,,extstore.h,pages_free,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
55,10683,pages_used,3,extstore_stats.pages_used,,extstore.h,pages_used,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
56,10691,bytes_used,3,extstore_stats.bytes_used,,extstore.h,bytes_used,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
57,10692,bytes_fragmented,3,extstore_stats.bytes_fragmented,,extstore.h,bytes_fragmented,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
58,10693,io_queue,3,extstore_stats.io_queue,,extstore.h,io_queue,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
59,10695,page_data,3,extstore_stats.page_data,,extstore.h,*page_data,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
60,10697,page_size,3,extstore_conf.page_size,,extstore.h,page_size,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
61,10699,page_buckets,3,extstore_conf.page_buckets,,extstore.h,page_buckets,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
62,10701,wbuf_size,3,extstore_conf.wbuf_size,,extstore.h,wbuf_size,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
63,10702,wbuf_count,3,extstore_conf.wbuf_count,,extstore.h,wbuf_count,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
