,source,target,weight,label
0,385036,375430,12.0,12.0
1,385036,375398,19.0,19.0
2,385036,375427,20.0,20.0
3,385036,375433,9.0,9.0
4,385036,375428,13.0,13.0
5,385036,375432,31.0,31.0
6,385036,3151,11.0,11.0
7,385036,65963,6.0,6.0
8,385036,65964,6.0,6.0
9,3151,3448,13.0,13.0
10,3151,3450,13.0,13.0
11,3151,3449,16.0,16.0
12,3151,3451,3.0,3.0
13,3151,3447,10.0,10.0
14,86029,65963,7.0,7.0
15,86029,6624,9.5,9.5
16,86029,65964,10.0,10.0
17,86029,89696,2.5,2.5
18,6624,15738,2.5,2.5
19,89696,61253,5.5,5.5
20,89696,61102,11.0,11.0
21,89696,24353,2.5,2.5
22,299030,3447,3.0,3.0
23,299030,3448,7.0,7.0
24,299030,298260,9.5,9.5
25,299030,65963,14.0,14.0
26,299030,65964,7.0,7.0
27,298260,302372,10.0,10.0
28,298260,302370,3.0,3.0
29,298260,298205,2.5,2.5
30,298260,302335,26.0,26.0
31,298260,302347,3.0,3.0
32,298260,302341,3.0,3.0
33,298260,65963,3.0,3.0
34,298260,65964,13.0,13.0
35,298260,34810,5.5,5.5
36,298260,302373,3.0,3.0
37,298260,302336,3.0,3.0
38,298260,302338,6.0,6.0
39,20509,21543,12.0,12.0
40,20509,3478,28.5,28.5
41,20509,21546,7.0,7.0
42,20509,21545,30.0,30.0
43,20509,21548,7.0,7.0
44,20509,21550,7.0,7.0
45,20509,21547,10.0,10.0
46,20509,35170,16.5,16.5
47,20509,21549,10.0,10.0
48,20509,21551,10.0,10.0
49,3478,3448,3.0,3.0
50,3478,3449,3.0,3.0
51,3478,3450,3.0,3.0
52,3478,3451,3.0,3.0
53,3478,3447,10.0,10.0
54,3478,34788,5.5,5.5
55,35170,34788,5.5,5.5
56,69662,69722,2.5,2.5
57,69662,61176,2.5,2.5
58,69662,69015,3.0,3.0
59,69662,69026,3.0,3.0
60,61176,61253,5.5,5.5
61,262194,21556,47.0,47.0
62,262194,34810,5.5,5.5
63,262194,61176,5.5,5.5
64,34810,34505,2.5,2.5
65,16444,15734,3.0,3.0
66,16444,398455,5.5,5.5
67,16444,15729,3.0,3.0
68,86092,65963,7.0,7.0
69,86092,6624,9.5,9.5
70,86092,89696,7.5,7.5
71,86092,65964,10.0,10.0
72,16466,35170,5.5,5.5
73,16466,18507,27.0,27.0
74,16466,6624,9.5,9.5
75,16466,18514,3.0,3.0
76,16466,18515,3.0,3.0
77,16466,62885,5.5,5.5
78,16466,18509,3.0,3.0
79,16466,18508,10.0,10.0
80,16466,16981,9.5,9.5
81,16981,18507,14.0,14.0
82,16981,18513,7.0,7.0
83,16981,6904,5.0,5.0
84,16981,18509,7.0,7.0
85,16981,18514,7.0,7.0
86,16981,24353,5.0,5.0
87,16981,3151,5.5,5.5
88,401500,401827,7.0,7.0
89,401500,401826,10.0,10.0
90,401500,24353,2.5,2.5
91,401500,401829,3.0,3.0
92,401500,401825,3.0,3.0
93,401500,401828,7.0,7.0
94,24353,24108,2.5,2.5
95,299101,3447,3.0,3.0
96,299101,3448,7.0,7.0
97,299101,298260,9.5,9.5
98,299101,65963,14.0,14.0
99,299101,65964,7.0,7.0
100,41086,35170,11.0,11.0
101,41086,35190,5.5,5.5
102,41086,3478,9.5,9.5
103,41086,65963,3.0,3.0
104,41086,65964,3.0,3.0
105,41086,35733,5.5,5.5
106,41086,6904,7.5,7.5
107,41086,23644,6.0,6.0
108,41086,23649,3.0,3.0
109,41086,22353,9.5,9.5
110,41086,23661,10.0,10.0
111,41086,3280,5.5,5.5
112,41086,23660,13.0,13.0
113,41086,23659,9.0,9.0
114,35190,34788,11.0,11.0
115,35733,65964,3.0,3.0
116,35733,65963,3.0,3.0
117,6904,61253,5.5,5.5
118,6904,24504,5.5,5.5
119,6904,24353,7.5,7.5
120,22353,23644,6.0,6.0
121,22353,62228,9.5,9.5
122,22353,21645,2.5,2.5
123,22353,21657,2.5,2.5
124,22353,21651,2.5,2.5
125,3280,3449,13.0,13.0
126,3280,3448,13.0,13.0
127,3280,3450,17.0,17.0
128,3280,3451,3.0,3.0
129,3280,3447,10.0,10.0
130,258173,258155,12.0,12.0
131,258173,35170,5.5,5.5
132,258173,258103,3.0,3.0
133,258173,258172,3.0,3.0
134,258173,4391,5.5,5.5
135,401539,415289,10.0,10.0
136,401539,65964,3.0,3.0
137,401539,415291,3.0,3.0
138,24707,24838,9.5,9.5
139,24707,35170,5.5,5.5
140,24707,6651,5.5,5.5
141,24707,24024,2.5,2.5
142,6651,65963,21.0,21.0
143,6651,6624,9.5,9.5
144,6651,65964,7.0,7.0
145,6651,23794,5.5,5.5
146,393352,375327,10.0,10.0
147,393352,375422,3.0,3.0
148,393352,393342,3.0,3.0
149,393352,393264,2.5,2.5
150,393352,41769,5.5,5.5
151,393352,375580,5.0,5.0
152,393352,375323,3.0,3.0
153,393352,375402,3.0,3.0
154,393352,43295,9.5,9.5
155,41769,21672,5.5,5.5
156,41769,41024,5.5,5.5
157,43295,40979,5.5,5.5
158,43295,52176,13.0,13.0
159,43295,52150,12.0,12.0
160,43295,52175,6.0,6.0
161,43295,41042,5.5,5.5
162,43295,52151,6.0,6.0
163,43295,52154,9.0,9.0
164,43295,41030,17.5,17.5
165,43295,52181,16.0,16.0
166,43295,41001,19.0,19.0
167,43295,52156,16.0,16.0
168,43295,40883,9.5,9.5
169,43295,52180,16.0,16.0
170,43295,52165,3.0,3.0
171,43295,52178,3.0,3.0
172,43295,52166,3.0,3.0
173,43295,40847,12.0,12.0
174,43295,40902,9.5,9.5
175,43295,52164,3.0,3.0
176,43295,52167,3.0,3.0
177,43295,52177,3.0,3.0
178,43295,39378,2.5,2.5
179,43295,52149,3.0,3.0
180,90252,60952,6.0,6.0
181,90252,58573,11.0,11.0
182,90252,93425,3.0,3.0
183,90252,93426,3.0,3.0
184,90252,93427,3.0,3.0
185,90252,60949,13.0,13.0
186,90252,61176,2.5,2.5
187,90252,60951,3.0,3.0
188,58573,58141,2.5,2.5
189,58573,60948,6.0,6.0
190,58573,58597,5.5,5.5
191,58573,58160,2.5,2.5
192,446626,449132,3.0,3.0
193,401571,401834,10.0,10.0
194,401571,415289,3.0,3.0
195,401571,415292,3.0,3.0
196,204967,204945,3.0,3.0
197,204967,204838,24.0,24.0
198,204967,204841,7.0,7.0
199,204967,62228,9.5,9.5
200,204967,204842,7.0,7.0
201,204967,19066,5.5,5.5
202,204967,65963,14.0,14.0
203,204967,65964,7.0,7.0
204,19066,21529,10.0,10.0
205,19066,18704,5.5,5.5
206,19066,21530,17.0,17.0
207,19066,18795,5.5,5.5
208,19066,21531,17.0,17.0
209,19066,18960,5.5,5.5
210,299174,3049,5.5,5.5
211,299174,3151,5.5,5.5
212,299174,302379,3.0,3.0
213,299174,302380,3.0,3.0
214,299174,302381,3.0,3.0
215,299174,298474,9.5,9.5
216,3049,34788,5.5,5.5
217,3049,3478,9.5,9.5
218,298474,302380,3.0,3.0
219,298474,65963,17.0,17.0
220,298474,65964,28.0,28.0
221,298474,302383,20.0,20.0
