,Id,Name,NodeType,Fullname,Signature,Filename,Code,LineNumber,LineNumberEnd,ColumnNumber,ColumnNumberEnd,LineOfCode,NumberOfOperators,SetOfOperators,NumberOfOperands,SetOfOperands,FanIn,FanOut,McCabe,AccCyc,ConCf,ConDf,ConZc,ConRf,ConVal,Parma,ParmaIn,ParmaOut,RetType
0,270336,addrs,3,ngx_http_conf_port_t.addrs,,http\ngx_http_core_module.h,addrs,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
1,225281,name,3,ngx_http_ssi_param_t.name,,http\modules\ngx_http_ssi_filter_module.h,name,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
2,294914,post_handler,3,ngx_http_request_body_t.post_handler,,http\ngx_http_request.h,post_handler,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
3,225282,index,3,ngx_http_ssi_param_t.index,,http\modules\ngx_http_ssi_filter_module.h,index,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
4,225283,mandatory,3,ngx_http_ssi_param_t.mandatory,,http\modules\ngx_http_ssi_filter_module.h,mandatory:1,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
5,225284,multiple,3,ngx_http_ssi_param_t.multiple,,http\modules\ngx_http_ssi_filter_module.h,multiple:1,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
6,294920,conf_ctx,3,ngx_http_connection_t.conf_ctx,,http\ngx_http_request.h,*conf_ctx,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
7,225288,handler,3,ngx_http_ssi_command_t.handler,,http\modules\ngx_http_ssi_filter_module.h,handler,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
8,225289,params,3,ngx_http_ssi_command_t.params,,http\modules\ngx_http_ssi_filter_module.h,*params,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
9,225290,conditional,3,ngx_http_ssi_command_t.conditional,,http\modules\ngx_http_ssi_filter_module.h,conditional:2,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
10,385036,ngx_mail_pop3_parse_command,1,ngx_mail_pop3_parse_command,ngx_int_t ngx_mail_pop3_parse_command (ngx_mail_session_t*),mail\ngx_mail_parse.c,"ngx_int_t
ngx_mail_pop3_parse_command(ngx_mail_session_t *s)
{
    u_char      ch, *p, *c, c0, c1, c2, c3;
    ngx_str_t  *arg;
    enum {
        sw_start = 0,
        sw_spaces_before_argument,
        sw_argument,
        sw_almost_done
    } state;

    state = s->state;

    for (p = s->buffer->pos; p < s->buffer->last; p++) {
        ch = *p;

        switch (state) {

        /* POP3 command */
        case sw_start:
            if (ch == ' ' || ch == CR || ch == LF) {
                c = s->buffer->start;

                if (p - c == 4) {

                    c0 = ngx_toupper(c[0]);
                    c1 = ngx_toupper(c[1]);
                    c2 = ngx_toupper(c[2]);
                    c3 = ngx_toupper(c[3]);

                    if (c0 == 'U' && c1 == 'S' && c2 == 'E' && c3 == 'R')
                    {
                        s->command = NGX_POP3_USER;

                    } else if (c0 == 'P' && c1 == 'A' && c2 == 'S' && c3 == 'S')
                    {
             ...",17.0,212.0,1.0,1.0,196.0,110,16,120,24,0,34,38,51,5,2,,0,34,2,1,1,ngx_int_t
11,13,ngx_show_version_info,1,ngx_show_version_info,void ngx_show_version_info (void),core\nginx.c,"static void
ngx_show_version_info(void)
{
    ngx_write_stderr(""nginx version: "" NGINX_VER_BUILD NGX_LINEFEED);

    if (ngx_show_help) {
        ngx_write_stderr(
            ""Usage: nginx [-?hvVtTq] [-s signal] [-c filename] ""
                         ""[-p prefix] [-g directives]"" NGX_LINEFEED
                         NGX_LINEFEED
            ""Options:"" NGX_LINEFEED
            ""  -?,-h         : this help"" NGX_LINEFEED
            ""  -v            : show version and exit"" NGX_LINEFEED
            ""  -V            : show version and configure options then exit""
                               NGX_LINEFEED
            ""  -t            : test configuration and exit"" NGX_LINEFEED
            ""  -T            : test configuration, dump it and exit""
                               NGX_LINEFEED
            ""  -q            : suppress non-error messages ""
                               ""during configuration testing"" NGX_LINEFEED
            ""  -s signal     : send signal to a master proces...",389.0,448.0,1.0,1.0,60.0,0,0,0,0,1,0,1,1,0,0,,0,0,2,1,1,void
12,225291,block,3,ngx_http_ssi_command_t.block,,http\modules\ngx_http_ssi_filter_module.h,block:1,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
13,294927,proxy_protocol,3,ngx_http_connection_t.proxy_protocol,,http\ngx_http_request.h,proxy_protocol:1,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
14,225292,flush,3,ngx_http_ssi_command_t.flush,,http\modules\ngx_http_ssi_filter_module.h,flush:1,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
15,86029,ngx_ssl_trusted_certificate,1,ngx_ssl_trusted_certificate,"ngx_int_t ngx_ssl_trusted_certificate (ngx_conf_t*,ngx_ssl_t*,ngx_str_t*,ngx_int_t)",event\ngx_event_openssl.c,"ngx_int_t
ngx_ssl_trusted_certificate(ngx_conf_t *cf, ngx_ssl_t *ssl, ngx_str_t *cert,
    ngx_int_t depth)
{
    SSL_CTX_set_verify_depth(ssl->ctx, depth);

    if (cert->len == 0) {
        return NGX_OK;
    }

    if (ngx_conf_full_name(cf->cycle, cert, 1) != NGX_OK) {
        return NGX_ERROR;
    }

    if (SSL_CTX_load_verify_locations(ssl->ctx, (char *) cert->data, NULL)
        == 0)
    {
        ngx_ssl_error(NGX_LOG_EMERG, ssl->log, 0,
                      ""SSL_CTX_load_verify_locations(\""%s\"") failed"",
                      cert->data);
        return NGX_ERROR;
    }

    /*
     * SSL_CTX_load_verify_locations() may leave errors in the error queue
     * while returning success
     */

    ERR_clear_error();

    return NGX_OK;
}",919.0,950.0,1.0,1.0,32.0,11,4,16,8,0,5,4,4,3,2,,0,4,8,4,4,ngx_int_t
16,18,ngx_add_inherited_sockets,1,ngx_add_inherited_sockets,ngx_int_t ngx_add_inherited_sockets (ngx_cycle_t*),core\nginx.c,"static ngx_int_t
ngx_add_inherited_sockets(ngx_cycle_t *cycle)
{
    u_char           *p, *v, *inherited;
    ngx_int_t         s;
    ngx_listening_t  *ls;

    inherited = (u_char *) getenv(NGINX_VAR);

    if (inherited == NULL) {
        return NGX_OK;
    }

    ngx_log_error(NGX_LOG_NOTICE, cycle->log, 0,
                  ""using inherited sockets from \""%s\"""", inherited);

    if (ngx_array_init(&cycle->listening, cycle->pool, 10,
                       sizeof(ngx_listening_t))
        != NGX_OK)
    {
        return NGX_ERROR;
    }

    for (p = inherited, v = p; *p; p++) {
        if (*p == ':' || *p == ';') {
            s = ngx_atoi(v, p - v);
            if (s == NGX_ERROR) {
                ngx_log_error(NGX_LOG_EMERG, cycle->log, 0,
                              ""invalid socket number \""%s\"" in "" NGINX_VAR
                              "" environment variable, ignoring the rest""
                              "" of the variable"", v);
                break;
            }
...",451.0,507.0,1.0,1.0,57.0,0,0,0,0,1,0,1,1,0,0,,0,0,2,1,1,ngx_int_t
17,40979,ngx_resolver_lookup_addr,1,ngx_resolver_lookup_addr,"ngx_resolver_node_t* ngx_resolver_lookup_addr (ngx_resolver_t*,in_addr_t)",core\ngx_resolver.c,"static ngx_resolver_node_t *
ngx_resolver_lookup_addr(ngx_resolver_t *r, in_addr_t addr)
{
    ngx_rbtree_node_t  *node, *sentinel;

    node = r->addr_rbtree.root;
    sentinel = r->addr_rbtree.sentinel;

    while (node != sentinel) {

        if (addr < node->key) {
            node = node->left;
            continue;
        }

        if (addr > node->key) {
            node = node->right;
            continue;
        }

        /* addr == node->key */

        return ngx_resolver_node(node);
    }

    /* not found */

    return NULL;
}",3450.0,3478.0,1.0,15.0,29.0,0,0,0,0,1,0,1,1,0,0,,0,0,4,2,2,ngx_resolver_node_t
18,299030,ngx_http_test_predicates,1,ngx_http_test_predicates,"ngx_int_t ngx_http_test_predicates (ngx_http_request_t*,ngx_array_t*)",http\ngx_http_script.c,"ngx_int_t
ngx_http_test_predicates(ngx_http_request_t *r, ngx_array_t *predicates)
{
    ngx_str_t                  val;
    ngx_uint_t                 i;
    ngx_http_complex_value_t  *cv;

    if (predicates == NULL) {
        return NGX_OK;
    }

    cv = predicates->elts;

    for (i = 0; i < predicates->nelts; i++) {
        if (ngx_http_complex_value(r, &cv[i], &val) != NGX_OK) {
            return NGX_ERROR;
        }

        if (val.len && (val.len != 1 || val.data[0] != '0')) {
            return NGX_DECLINED;
        }
    }

    return NGX_OK;
}",308.0,332.0,1.0,1.0,25.0,18,10,19,9,0,6,5,7,5,1,,0,6,4,2,2,ngx_int_t
