,Source,Target,LineNumber,Relation,R_key,R_label
0,61447,61524,129,,3,data_method
1,61447,61524,129,,4,return_method
2,413705,15865,619,,4,value_local
3,413705,15865,619,,6,control_local
4,24589,24344,223,,3,data_method
5,8213,6981,1450,,3,data_method
6,8213,8384,1453,,4,value_local
7,8213,8385,1453,,4,value_local
8,421915,409555,482,,4,value_local
9,421915,409555,482,,6,control_local
10,307230,307253,1898,,4,value_local
11,61474,61524,143,,3,data_method
12,61474,61524,143,,4,return_method
13,159779,159739,198,,4,value_local
14,159779,159557,199,,4,value_local
15,159779,159557,201,,4,value_local
16,159779,159557,201,,6,control_local
17,159779,303078,204,,3,data_method
18,159779,303078,204,,4,return_method
19,159779,303078,204,,6,control_method
20,159779,159550,204,,4,value_local
21,159779,159550,204,,6,control_local
22,159779,159550,216,,4,value_local
23,159779,66404,208,,4,value_local
24,159779,66404,208,,6,control_local
25,159779,66404,212,,4,value_local
26,159779,66404,212,,6,control_local
27,159779,66404,222,,4,value_local
28,159779,66404,232,,4,value_local
29,159779,66404,254,,4,value_local
30,159779,66404,256,,4,value_local
31,159779,24589,213,,3,data_method
32,159779,11643,222,,3,data_method
33,159779,11643,222,,4,return_method
34,159779,66405,222,,4,value_local
35,159779,66405,256,,4,value_local
36,159779,58403,224,,3,data_method
37,159779,159549,224,,4,value_local
38,159779,159549,234,,4,value_local
39,159779,159549,237,,4,value_local
40,159779,159549,292,,4,value_local
41,159779,159562,226,,3,data_method
42,159779,159562,226,,4,return_method
43,159779,159548,226,,4,value_local
44,159779,159548,258,,4,value_local
45,159779,159538,231,,4,value_local
46,159779,58859,234,,3,data_method
47,159779,58859,234,,4,return_method
48,159779,58422,237,,3,data_method
49,159779,58422,292,,3,data_method
50,159779,159560,240,,4,value_local
51,159779,159560,240,,6,control_local
52,159779,159559,248,,4,value_local
53,159779,159529,254,,4,value_local
54,159779,159530,255,,4,value_local
55,159779,159530,290,,4,value_local
56,159779,159531,256,,4,value_local
57,159779,39269,258,,3,data_method
58,159779,35431,294,,3,data_method
59,159779,35431,294,,4,return_method
60,159779,159542,295,,4,value_local
61,159779,159540,303,,4,value_local
62,159779,159541,304,,4,value_local
63,24618,24344,235,,3,data_method
64,409645,409560,252,,4,value_local
65,409645,409559,253,,4,value_local
66,8237,8390,1465,,4,value_local
67,8237,8390,1465,,6,control_local
68,8237,8390,1477,,4,value_local
69,8237,8390,1477,,6,control_local
70,8237,8390,1483,,4,value_local
71,8237,8389,1466,,4,value_local
72,8237,8389,1466,,6,control_local
73,8237,8389,1472,,4,value_local
74,8237,8389,1477,,4,value_local
75,8237,8389,1477,,6,control_local
76,8237,8389,1483,,4,value_local
77,8237,6981,1470,,3,data_method
78,8237,6981,1481,,3,data_method
79,16431,18743,246,,4,value_local
80,16431,18743,248,,4,value_local
81,16431,18744,248,,4,value_local
82,16431,18745,251,,4,value_local
83,348218,348095,251,,3,data_method
84,348218,348095,251,,4,return_method
85,348218,348095,251,,6,control_method
86,348218,274524,308,,4,value_local
87,348218,23764,322,,3,data_method
88,348218,23764,322,,4,return_method
89,348218,66404,324,,4,value_local
90,348218,66404,324,,4,value_local
91,348218,66404,341,,4,value_local
92,348218,66404,344,,4,value_local
93,348218,66404,358,,4,value_local
94,348218,66405,344,,4,value_local
95,348218,66405,345,,4,value_local
96,348218,66405,345,,6,control_local
