,"('Nginx-1.22.1', 'id')","('Nginx-1.22.1', 'val')","('Nginx-1.22.1', 'label')","('Nginx-1.21.1', 'id')","('Nginx-1.21.1', 'val')","('Nginx-1.21.1', 'label')","('Nginx-1.20.0', 'id')","('Nginx-1.20.0', 'val')","('Nginx-1.20.0', 'label')","('Nginx-1.19.0', 'id')","('Nginx-1.19.0', 'val')","('Nginx-1.19.0', 'label')"
0,24596,15.57,ngx_log_error,24589,15.62,ngx_log_error,24577,15.64,ngx_log_error,24353,15.17,ngx_log_error
1,66587,14.21,data,66405,14.19,data,66407,14.18,data,65964,14.15,data
2,66586,13.38,len,66404,13.27,len,66406,13.27,len,65963,13.28,len
3,35052,9.07,ngx_palloc,35029,9.08,ngx_palloc,35017,8.92,ngx_palloc,34788,8.79,ngx_palloc
4,24351,7.92,ngx_log_error_core,24344,7.95,ngx_log_error_core,24332,7.96,ngx_log_error_core,24108,7.73,ngx_log_error_core
5,34769,7.61,ngx_palloc_large,34746,7.63,ngx_palloc_large,34734,7.57,ngx_palloc_large,34505,7.45,ngx_palloc_large
6,61706,6.97,ngx_vslprintf,61524,6.99,ngx_vslprintf,61526,6.99,ngx_vslprintf,61253,6.81,ngx_vslprintf
7,35074,5.9,ngx_pnalloc,35051,5.93,ngx_pnalloc,35039,5.95,ngx_pnalloc,34810,5.81,ngx_pnalloc
8,35434,5.33,ngx_pcalloc,35411,5.34,ngx_pcalloc,35399,5.35,ngx_pcalloc,35170,5.28,ngx_pcalloc
9,3524,3.81,elts,3524,3.83,elts,3524,3.8,elts,3447,3.77,elts
10,3525,3.36,nelts,3525,3.37,nelts,3525,3.35,nelts,3448,3.32,nelts
11,3228,3.04,ngx_array_push,3228,3.05,ngx_array_push,3228,3.08,ngx_array_push,3151,3.06,ngx_array_push
12,61629,3.02,ngx_sprintf,61447,3.03,ngx_sprintf,61449,3.03,ngx_sprintf,61176,3.0,ngx_sprintf
13,3555,2.92,ngx_array_init,3555,2.93,ngx_array_init,3555,2.9,ngx_array_init,3478,2.87,ngx_array_init
14,61683,2.83,ngx_slprintf,61501,2.84,ngx_slprintf,61503,2.84,ngx_slprintf,61230,2.78,ngx_slprintf
15,24747,2.62,ngx_log_errno,24740,2.63,ngx_log_errno,24728,2.63,ngx_log_errno,24504,2.59,ngx_log_errno
16,6976,2.41,ngx_conf_log_error,6981,2.42,ngx_conf_log_error,6981,2.41,ngx_conf_log_error,61026,2.4,ngx_sprintf_num
17,61555,2.13,ngx_cpystrn,61373,2.13,ngx_cpystrn,61375,2.14,ngx_cpystrn,6904,2.4,ngx_conf_log_error
18,61480,1.96,ngx_sprintf_str,61298,1.96,ngx_sprintf_str,61300,1.97,ngx_sprintf_str,61102,1.91,ngx_cpystrn
19,61470,1.96,ngx_sprintf_num,61288,1.96,ngx_sprintf_num,61290,1.97,ngx_sprintf_num,398329,1.82,ngx_alloc
20,408836,1.83,ngx_alloc,405973,1.83,ngx_alloc,405358,1.84,ngx_alloc,24076,1.79,err_levels
21,24319,1.83,err_levels,24312,1.83,err_levels,24300,1.84,err_levels,298260,1.76,ngx_http_complex_value
22,328235,1.74,ngx_http_complex_value,303078,1.75,ngx_http_complex_value,302712,1.75,ngx_http_complex_value,302335,1.66,ip
23,412466,1.67,ngx_write_fd,409603,1.67,ngx_write_fd,408988,1.67,ngx_write_fd,401880,1.63,ngx_write_fd
24,332410,1.66,ip,307253,1.67,ip,306787,1.67,ip,413196,1.61,ngx_open_file
25,24315,1.62,ngx_use_stderr,24308,1.62,ngx_use_stderr,24296,1.62,ngx_use_stderr,24072,1.58,ngx_use_stderr
26,423666,1.62,ngx_open_file,420804,1.62,ngx_open_file,420182,1.62,ngx_open_file,3449,1.55,size
27,90535,1.59,ngx_ssl_error,90252,1.59,ngx_ssl_error,90276,1.59,ngx_ssl_error,3450,1.5,nalloc
28,3526,1.56,size,3526,1.57,size,3526,1.57,size,3049,1.45,ngx_array_create
29,3527,1.51,nalloc,3527,1.51,nalloc,3527,1.51,nalloc,69094,1.36,ngx_time_update
30,3126,1.46,ngx_array_create,3126,1.46,ngx_array_create,3126,1.46,ngx_array_create,3599,1.28,ngx_alloc_chain_link
31,69717,1.36,ngx_time_update,69535,1.37,ngx_time_update,69537,1.37,ngx_time_update,61203,1.25,ngx_snprintf
32,3676,1.35,ngx_alloc_chain_link,3676,1.35,ngx_alloc_chain_link,3676,1.35,ngx_alloc_chain_link,302347,1.24,request
33,61656,1.25,ngx_snprintf,307265,1.25,request,306799,1.25,request,11656,1.21,ngx_init_cycle
