,Nginx-1.22.1,Nginx-1.22.1,Nginx-1.22.1,Nginx-1.21.1,Nginx-1.21.1,Nginx-1.21.1,Nginx-1.20.0,Nginx-1.20.0,Nginx-1.20.0,Nginx-1.19.0,Nginx-1.19.0,Nginx-1.19.0
,id,val,label,id,val,label,id,val,label,id,val,label
0,11812,9.86,ngx_init_cycle,11817,9.89,ngx_init_cycle,11805,9.88,ngx_init_cycle,11656,9.71,ngx_init_cycle
1,223545,5.0,ngx_http_ssi_body_filter,221438,5.02,ngx_http_ssi_body_filter,221309,5.01,ngx_http_ssi_body_filter,218004,4.92,ngx_http_ssi_body_filter
2,236143,4.87,ngx_http_sub_body_filter,234016,4.88,ngx_http_sub_body_filter,233832,4.87,ngx_http_sub_body_filter,230369,4.84,ngx_http_sub_body_filter
3,416855,4.73,ngx_master_process_cycle,413993,4.74,ngx_master_process_cycle,413378,4.74,ngx_master_process_cycle,406266,4.78,ngx_master_process_cycle
4,373722,4.57,ngx_http_v2_header_filter,348218,4.58,ngx_http_v2_header_filter,347742,4.57,ngx_http_v2_header_filter,342488,4.54,ngx_http_v2_header_filter
5,368,4.43,main,368,4.44,main,368,4.44,main,101801,4.38,ngx_http_autoindex_handler
6,102855,4.41,ngx_http_autoindex_handler,102540,4.42,ngx_http_autoindex_handler,102568,4.41,ngx_http_autoindex_handler,367,4.35,main
7,127083,4.01,ngx_http_flv_handler,126768,4.01,ngx_http_flv_handler,126697,4.01,ngx_http_flv_handler,125576,4.04,ngx_http_flv_handler
8,205552,3.96,ngx_http_random_index_handler,203445,3.97,ngx_http_random_index_handler,203338,3.96,ngx_http_random_index_handler,200186,3.93,ngx_http_random_index_handler
9,20904,3.88,ngx_hash_add_key,20897,3.88,ngx_hash_add_key,20885,3.88,ngx_hash_add_key,20661,3.86,ngx_hash_add_key
10,158488,3.83,ngx_http_index_handler,158173,3.84,ngx_http_index_handler,158072,3.84,ngx_http_index_handler,156702,3.8,ngx_http_index_handler
11,30801,3.8,ngx_open_cached_file,30794,3.8,ngx_open_cached_file,30782,3.8,ngx_open_cached_file,30553,3.77,ngx_open_cached_file
12,417360,3.66,ngx_single_process_cycle,414498,3.67,ngx_single_process_cycle,413883,3.67,ngx_single_process_cycle,406812,3.63,ngx_single_process_cycle
13,165107,3.5,ngx_http_log_handler,164792,3.5,ngx_http_log_handler,164691,3.5,ngx_http_log_handler,163283,3.47,ngx_http_log_handler
14,446244,3.47,ngx_stream_log_handler,443382,3.47,ngx_stream_log_handler,442737,3.47,ngx_stream_log_handler,435720,3.44,ngx_stream_log_handler
15,347282,3.45,ngx_http_upstream_hide_headers_hash,322104,3.45,ngx_http_upstream_hide_headers_hash,321631,3.45,ngx_http_upstream_hide_headers_hash,317070,3.43,ngx_http_upstream_hide_headers_hash
16,331572,3.22,ngx_http_script_file_code,306415,3.23,ngx_http_script_file_code,305949,3.23,ngx_http_script_file_code,301497,3.2,ngx_http_script_file_code
17,19389,3.21,ngx_hash_init,19394,3.19,ngx_hash_init,19382,3.18,ngx_hash_init,19158,3.13,ngx_hash_init
18,86949,3.04,ngx_ssl_read_password_file,86789,3.05,ngx_ssl_read_password_file,86791,3.04,ngx_ssl_read_password_file,86322,3.02,ngx_ssl_read_password_file
19,41509,3.0,ngx_resolver_create,41327,3.01,ngx_resolver_create,41315,3.0,ngx_resolver_create,41086,2.99,ngx_resolver_create
20,160094,2.98,ngx_http_limit_conn_handler,159779,2.98,ngx_http_limit_conn_handler,388999,2.98,ngx_mail_imap_auth_state,158308,2.96,ngx_http_limit_conn_handler
21,4878,2.95,ngx_conf_parse,4883,2.95,ngx_conf_parse,159678,2.98,ngx_http_limit_conn_handler,160271,2.95,ngx_http_limit_req_handler
22,328449,2.91,ngx_http_compile_complex_value,303292,2.91,ngx_http_compile_complex_value,4883,2.95,ngx_conf_parse,4806,2.95,ngx_conf_parse
23,444330,2.9,ngx_stream_limit_conn_handler,441468,2.9,ngx_stream_limit_conn_handler,302926,2.9,ngx_http_compile_complex_value,298474,2.89,ngx_http_compile_complex_value
24,457559,2.88,ngx_stream_compile_complex_value,454578,2.88,ngx_stream_compile_complex_value,440823,2.9,ngx_stream_limit_conn_handler,433806,2.88,ngx_stream_limit_conn_handler
25,329403,2.86,ngx_http_script_compile,321197,2.87,ngx_http_upstream_add,453935,2.87,ngx_stream_compile_complex_value,446897,2.86,ngx_stream_compile_complex_value
26,346375,2.86,ngx_http_upstream_add,304246,2.86,ngx_http_script_compile,320724,2.87,ngx_http_upstream_add,299328,2.85,ngx_http_script_compile
27,351794,2.86,ngx_http_add_variable,326616,2.86,ngx_http_add_variable,303780,2.86,ngx_http_script_compile,463485,2.84,ngx_stream_add_variable
28,474969,2.86,ngx_stream_add_variable,471925,2.86,ngx_stream_add_variable,471175,2.85,ngx_stream_add_variable,321492,2.84,ngx_http_add_variable
29,466865,2.84,ngx_stream_upstream_add,463822,2.85,ngx_stream_upstream_add,326140,2.85,ngx_http_add_variable,316163,2.83,ngx_http_upstream_add
30,392408,2.74,ngx_mail_imap_auth_state,389545,2.75,ngx_mail_imap_auth_state,463072,2.85,ngx_stream_upstream_add,455442,2.81,ngx_stream_upstream_add
31,6976,2.72,ngx_conf_log_error,6981,2.73,ngx_conf_log_error,6981,2.73,ngx_conf_log_error,6904,2.72,ngx_conf_log_error
32,162063,2.71,ngx_http_limit_req_handler,161748,2.71,ngx_http_limit_req_handler,161647,2.71,ngx_http_limit_req_handler,383344,2.72,ngx_mail_imap_auth_state
33,8739,2.68,ngx_set_inherited_sockets,8744,2.69,ngx_set_inherited_sockets,8744,2.68,ngx_set_inherited_sockets,8662,2.67,ngx_set_inherited_sockets
34,17650,2.64,ngx_ext_rename_file,17655,2.64,ngx_ext_rename_file,17643,2.64,ngx_ext_rename_file,61253,2.67,ngx_vslprintf
35,61706,2.63,ngx_vslprintf,24344,2.63,ngx_log_error_core,24332,2.63,ngx_log_error_core,24108,2.63,ngx_log_error_core
36,24351,2.63,ngx_log_error_core,61524,2.62,ngx_vslprintf,61526,2.63,ngx_vslprintf,17419,2.63,ngx_ext_rename_file
37,458252,2.57,ngx_stream_script_compile,455271,2.57,ngx_stream_script_compile,454528,2.57,ngx_stream_script_compile,447490,2.56,ngx_stream_script_compile
38,20193,2.43,ngx_hash_wildcard_init,20186,2.44,ngx_hash_wildcard_init,392524,2.52,ngx_mail_smtp_parse_command,386831,2.52,ngx_mail_smtp_parse_command
39,394050,2.39,ngx_mail_pop3_parse_command,391187,2.39,ngx_mail_pop3_parse_command,20174,2.43,ngx_hash_wildcard_init,385036,2.44,ngx_mail_pop3_parse_command
40,18203,2.37,ngx_walk_tree,18208,2.36,ngx_walk_tree,390729,2.43,ngx_mail_pop3_parse_command,19950,2.41,ngx_hash_wildcard_init
41,348313,2.33,ngx_http_upstream_init_round_robin,468222,2.34,ngx_stream_upstream_init_round_robin,18196,2.36,ngx_walk_tree,17972,2.36,ngx_walk_tree
42,471266,2.33,ngx_stream_upstream_init_round_robin,323135,2.34,ngx_http_upstream_init_round_robin,467472,2.34,ngx_stream_upstream_init_round_robin,67734,2.31,ngx_thread_task_post
43,68357,2.32,ngx_thread_task_post,68175,2.33,ngx_thread_task_post,322659,2.34,ngx_http_upstream_init_round_robin,6443,2.29,ngx_conf_include
44,395989,2.31,ngx_mail_smtp_parse_command,393126,2.3,ngx_mail_smtp_parse_command,68177,2.33,ngx_thread_task_post,10416,2.29,ngx_connection_local_sockaddr
