,source,target,weight,label
0,8208,6976,2.5,2.5
1,8208,8379,3.0,3.0
2,8208,8380,3.0,3.0
3,6976,61706,5.5,5.5
4,6976,24747,5.5,5.5
5,6976,24596,7.5,7.5
6,24596,24351,2.5,2.5
7,24351,61683,11.0,11.0
8,24351,24319,9.0,9.0
9,24351,61706,5.5,5.5
10,24351,24747,5.5,5.5
11,24351,412466,5.5,5.5
12,24351,24315,7.0,7.0
13,24351,61629,2.5,2.5
14,24351,424075,2.5,2.5
15,270357,24596,7.5,7.5
16,270357,263989,7.5,7.5
17,270357,266315,6.0,6.0
18,270357,276666,10.0,10.0
19,270357,66586,14.0,14.0
20,270357,66587,7.0,7.0
21,270357,263968,2.5,2.5
22,270357,276628,3.0,3.0
23,270357,266446,2.5,2.5
24,266446,266315,3.0,3.0
25,266446,276628,3.0,3.0
26,450580,63354,2.5,2.5
27,450580,21761,6.0,6.0
28,69665,66586,15.0,15.0
29,69665,69592,3.0,3.0
30,69665,69593,3.0,3.0
31,69665,69594,3.0,3.0
32,69665,69595,3.0,3.0
33,69665,69596,3.0,3.0
34,69665,69591,3.0,3.0
35,69665,69598,3.0,3.0
36,69665,69717,2.5,2.5
37,69717,69589,13.0,13.0
38,69717,430105,2.5,2.5
39,69717,69590,3.0,3.0
40,69717,69582,5.5,5.5
41,69717,69598,6.0,6.0
42,69717,69588,31.0,31.0
43,69717,70673,10.0,10.0
44,69717,70674,6.0,6.0
45,69717,70345,2.5,2.5
46,69717,69610,3.0,3.0
47,69717,61629,12.5,12.5
48,69717,69638,3.0,3.0
49,69717,69649,9.0,9.0
50,69717,421671,2.5,2.5
51,69717,69597,6.0,6.0
52,69717,70675,21.0,21.0
53,69717,69603,3.0,3.0
54,69717,69617,3.0,3.0
55,69717,69624,3.0,3.0
56,69717,69631,3.0,3.0
57,69717,69591,3.0,3.0
58,69717,66587,15.0,15.0
59,69717,69593,3.0,3.0
60,69717,69592,3.0,3.0
61,69717,69594,3.0,3.0
62,69717,69595,3.0,3.0
63,69717,69596,3.0,3.0
64,8232,8385,17.0,17.0
65,8232,8384,20.0,20.0
66,8232,6976,5.0,5.0
67,16426,18738,6.0,6.0
68,16426,18739,3.0,3.0
69,16426,18740,3.0,3.0
70,24625,24351,2.5,2.5
71,86068,90535,10.0,10.0
72,86068,66587,12.0,12.0
73,86068,85212,5.5,5.5
74,90535,61706,5.5,5.5
75,90535,61555,11.0,11.0
76,90535,24596,2.5,2.5
77,24646,24596,2.5,2.5
78,315497,315456,2.5,2.5
79,315497,315450,19.0,19.0
80,315497,263983,2.5,2.5
81,315497,24596,2.5,2.5
82,24683,61706,5.5,5.5
83,24683,24747,5.5,5.5
84,24683,424075,2.5,2.5
85,61706,61480,16.5,16.5
86,61706,66587,3.0,3.0
87,61706,66586,3.0,3.0
88,61706,66599,3.0,3.0
89,61706,66594,3.0,3.0
90,61706,61470,16.5,16.5
91,24747,61683,5.5,5.5
92,24747,410488,5.5,5.5
93,127083,264051,5.5,5.5
94,127083,269072,5.5,5.5
95,127083,66586,6.0,6.0
96,127083,66587,9.0,9.0
97,127083,32845,3.0,3.0
98,127083,32844,3.0,3.0
99,127083,32848,3.0,3.0
100,127083,32849,3.0,3.0
101,127083,32855,3.0,3.0
102,127083,32856,3.0,3.0
103,127083,270660,9.5,9.5
104,127083,30801,9.5,9.5
105,127083,32846,10.0,10.0
106,127083,24596,2.5,2.5
107,127083,32847,3.0,3.0
108,127083,32858,7.0,7.0
109,127083,32842,6.0,6.0
110,127083,263926,9.5,9.5
111,127083,63791,5.5,5.5
112,127083,127050,12.0,12.0
113,127083,32841,3.0,3.0
114,127083,268445,9.5,9.5
115,127083,268170,9.5,9.5
116,127083,35434,5.5,5.5
117,127083,264028,5.5,5.5
118,127083,32839,3.0,3.0
119,127083,32861,3.0,3.0
120,127083,269027,2.5,2.5
121,269072,266315,3.0,3.0
122,269072,24596,2.5,2.5
123,269072,66586,6.0,6.0
124,269072,66587,13.0,13.0
125,269072,35074,5.5,5.5
126,30801,32839,29.0,29.0
127,30801,32846,41.0,41.0
128,30801,32853,7.0,7.0
129,30801,30520,9.5,9.5
130,30801,32840,26.0,26.0
131,30801,32841,9.0,9.0
132,30801,32842,9.0,9.0
133,30801,32843,3.0,3.0
134,30801,32857,37.0,37.0
135,30801,32858,9.0,9.0
136,30801,32859,9.0,9.0
137,30801,32860,9.0,9.0
138,30801,35454,11.0,11.0
139,30801,30528,22.0,22.0
140,30801,35696,3.0,3.0
141,30801,35697,3.0,3.0
142,30801,66587,9.0,9.0
143,30801,35698,3.0,3.0
144,30801,11694,5.5,5.5
145,30801,66586,9.0,9.0
146,30801,30575,5.5,5.5
147,30801,32855,21.0,21.0
148,30801,32848,7.0,7.0
149,30801,32861,6.0,6.0
150,30801,30535,5.0,5.0
151,30801,32852,3.0,3.0
152,30801,30556,2.5,2.5
153,30801,39642,5.0,5.0
154,30801,32889,9.0,9.0
155,30801,32892,16.0,16.0
156,30801,32893,7.0,7.0
157,30801,30561,2.5,2.5
158,30801,408836,11.0,11.0
159,30801,61555,2.5,2.5
160,30801,39292,2.5,2.5
161,30801,32891,3.0,3.0
162,30801,32897,3.0,3.0
163,30801,32898,3.0,3.0
164,30801,32899,3.0,3.0
165,30801,32849,3.0,3.0
166,30801,32900,3.0,3.0
167,268445,266315,3.0,3.0
168,268445,24037,5.5,5.5
169,268445,21797,6.0,6.0
170,268445,21798,3.0,3.0
171,268445,21799,19.0,19.0
172,268445,35074,5.5,5.5
173,268445,61629,5.5,5.5
174,268170,266315,3.0,3.0
175,268170,35074,5.5,5.5
176,268170,20719,5.5,5.5
177,268170,18935,5.5,5.5
178,268170,66586,3.0,3.0
179,35434,35052,5.5,5.5
180,241779,348313,9.5,9.5
181,348313,24596,7.5,7.5
182,348313,35434,33.0,33.0
183,348313,23888,3.0,3.0
184,348313,23891,3.0,3.0
185,348313,23351,9.5,9.5
186,348313,23904,10.0,10.0
187,348313,23903,10.0,10.0
188,348313,23902,9.0,9.0
189,16507,18738,3.0,3.0
190,16507,18740,10.0,10.0
191,282765,277113,5.5,5.5
192,282765,58585,2.5,2.5
193,282765,58604,2.5,2.5
194,282765,412390,5.5,5.5
195,282765,277108,5.5,5.5
196,282765,69717,2.5,2.5
197,58585,412313,5.5,5.5
198,58585,58649,3.0,3.0
199,58604,412348,5.5,5.5
200,58604,58649,3.0,3.0
201,14682,15873,3.0,3.0
202,14682,15872,3.0,3.0
203,23351,21915,5.5,5.5
204,23351,23888,15.0,15.0
205,23351,408836,5.5,5.5
206,23351,61555,2.5,2.5
207,23351,23904,3.0,3.0
208,23351,21906,9.5,9.5
209,61596,35074,5.5,5.5
210,61596,66586,6.0,6.0
211,61596,66587,3.0,3.0
212,35074,34769,2.5,2.5
213,331936,332410,22.0,22.0
214,331936,332422,12.0,12.0
215,331936,332525,3.0,3.0
216,331936,332414,6.0,6.0
217,331936,332418,6.0,6.0
218,331936,332413,22.0,22.0
219,331936,35074,5.5,5.5
220,331936,328174,3.0,3.0
221,331936,332421,3.0,3.0
222,331936,332411,3.0,3.0
223,331936,332412,9.0,9.0
224,409765,409695,13.0,13.0
