,Source,Target,LineNumber,Relation,R_key,R_label
0,368,409586,205,,3,data_method
1,368,410533,207,,3,data_method
2,368,410533,207,,4,return_method
3,368,410533,207,,6,control_method
4,368,28,211,,3,data_method
5,368,28,211,,4,return_method
6,368,28,211,,6,control_method
7,368,358,215,,4,value_local
8,368,358,215,,6,control_local
9,368,13,216,,3,data_method
10,368,69665,225,,3,data_method
11,368,24808,234,,3,data_method
12,368,24808,234,,4,return_method
13,368,360,234,,4,value_local
14,368,361,234,,4,value_local
15,368,34775,253,,3,data_method
16,368,34775,253,,4,return_method
17,368,39,258,,3,data_method
18,368,39,258,,4,return_method
19,368,39,258,,6,control_method
20,368,34,262,,3,data_method
21,368,34,262,,4,return_method
22,368,34,262,,6,control_method
23,368,414900,266,,3,data_method
24,368,414900,266,,4,return_method
25,368,414900,266,,6,control_method
26,368,11564,274,,3,data_method
27,368,11564,274,,4,return_method
28,368,11564,274,,6,control_method
29,368,58718,282,,3,data_method
30,368,18,284,,3,data_method
31,368,18,284,,4,return_method
32,368,18,284,,6,control_method
33,368,29428,288,,3,data_method
34,368,29428,288,,4,return_method
35,368,29428,288,,6,control_method
36,368,11812,292,,3,data_method
37,368,11812,292,,4,return_method
38,368,24683,295,,3,data_method
39,368,24683,304,,3,data_method
40,368,412466,314,,3,data_method
41,368,412466,320,,3,data_method
42,368,364,328,,4,value_local
43,368,364,328,,6,control_local
44,368,364,329,,4,value_local
45,368,14719,329,,3,data_method
46,368,414905,332,,3,data_method
47,368,340,336,,4,value_local
48,368,15856,338,,4,value_local
49,368,15856,338,,6,control_local
50,368,415933,344,,3,data_method
51,368,415933,344,,4,return_method
52,368,415933,344,,6,control_method
53,368,15855,348,,4,value_local
54,368,15855,348,,6,control_local
55,368,409466,349,,3,data_method
56,368,409466,349,,4,return_method
57,368,409466,349,,6,control_method
58,368,14577,362,,3,data_method
59,368,14577,362,,4,return_method
60,368,14577,362,,6,control_method
61,368,15872,362,,4,value_local
62,368,15872,362,,6,control_local
63,368,25046,366,,3,data_method
64,368,25046,366,,4,return_method
65,368,25046,366,,6,control_method
66,368,417360,380,,3,data_method
67,900,340,527,,4,value_local
68,900,15875,529,,4,value_local
69,900,15875,529,,6,control_local
70,900,15875,530,,4,value_local
71,900,15875,621,,4,value_local
72,900,15874,533,,4,value_local
73,900,15874,535,,4,value_local
74,900,15874,535,,6,control_local
75,900,15874,543,,4,value_local
76,900,15874,551,,4,value_local
77,900,15874,557,,4,value_local
78,900,15874,557,,6,control_local
79,900,15874,600,,4,value_local
80,900,15874,600,,6,control_local
81,900,3228,543,,3,data_method
82,900,3228,543,,4,return_method
83,900,66586,548,,4,value_local
84,900,66587,549,,4,value_local
85,900,365,564,,4,value_local
86,900,365,607,,4,value_local
87,900,408836,576,,3,data_method
88,900,408836,576,,4,return_method
89,1294,426771,661,,4,value_local
90,1294,426772,662,,4,value_local
91,1294,426774,663,,4,value_local
92,1294,900,666,,3,data_method
93,1294,900,666,,4,return_method
94,1294,408836,671,,3,data_method
95,1294,408836,671,,4,return_method
96,1294,61629,683,,3,data_method
97,1294,61629,683,,4,return_method
98,1294,426775,713,,4,value_local
99,1294,340,715,,4,value_local
100,1294,15872,717,,4,value_local
101,1294,15872,717,,6,control_local
102,1294,15872,732,,4,value_local
103,1294,15872,732,,6,control_local
104,1294,15873,717,,4,value_local
105,1294,15873,717,,6,control_local
106,1294,15873,732,,4,value_local
107,1294,15873,732,,6,control_local
108,1294,415878,729,,3,data_method
109,1294,415878,729,,4,return_method
110,3126,35052,17,,3,data_method
111,3126,35052,17,,4,return_method
112,3126,3555,22,,3,data_method
113,3126,3555,22,,4,return_method
114,3126,3555,22,,6,control_method
115,3160,3528,35,,4,value_local
116,3160,3524,37,,4,value_local
117,3160,3524,37,,6,control_local
118,3160,3526,37,,4,value_local
119,3160,3526,37,,6,control_local
120,3160,3526,38,,4,value_local
121,3160,3527,37,,4,value_local
122,3160,3527,37,,6,control_local
123,3160,3527,38,,4,value_local
124,3228,3525,54,,4,value_local
125,3228,3525,54,,6,control_local
126,3228,3525,87,,4,value_local
127,3228,3525,88,,4,value_local
128,3228,3527,54,,4,value_local
129,3228,3527,54,,6,control_local
130,3228,3527,58,,4,value_local
131,3228,3527,71,,4,value_local
132,3228,3526,58,,4,value_local
133,3228,3526,63,,4,value_local
134,3228,3526,63,,6,control_local
135,3228,3526,70,,4,value_local
136,3228,3526,87,,4,value_local
137,3228,3528,60,,4,value_local
138,3228,3524,62,,4,value_local
139,3228,3524,62,,6,control_local
140,3228,3524,87,,4,value_local
141,3357,3526,102,,4,value_local
142,3357,3526,110,,4,value_local
143,3357,3526,110,,6,control_local
144,3357,3526,137,,4,value_local
145,3357,3525,104,,4,value_local
146,3357,3525,104,,6,control_local
147,3357,3525,137,,4,value_local
148,3357,3525,138,,4,value_local
149,3357,3527,104,,4,value_local
150,3357,3527,104,,6,control_local
151,3357,3527,110,,4,value_local
152,3357,3527,110,,6,control_local
153,3357,3527,119,,4,value_local
154,3357,3528,108,,4,value_local
155,3357,3524,110,,4,value_local
156,3357,3524,110,,6,control_local
157,3357,3524,137,,4,value_local
158,3555,3525,39,,4,value_local
159,3555,3526,40,,4,value_local
160,3555,3527,41,,4,value_local
161,3555,3528,42,,4,value_local
162,3555,3524,44,,4,value_local
163,3555,3524,45,,4,value_local
164,3555,3524,45,,6,control_local
165,3555,35052,44,,3,data_method
166,3555,35052,44,,4,return_method
167,3612,35052,22,,3,data_method
168,3612,35052,22,,4,return_method
169,3676,35052,59,,3,data_method
170,3676,35052,59,,4,return_method
171,3714,35052,76,,3,data_method
172,3714,35052,76,,4,return_method
173,3714,4396,76,,4,value_local
174,3714,4396,83,,4,value_local
175,3714,4396,83,,6,control_local
176,3714,4397,76,,4,value_local
177,3714,4397,107,,4,value_local
178,3714,3676,110,,3,data_method
179,3714,3676,110,,4,return_method
180,3834,3676,138,,3,data_method
181,3834,3676,138,,4,return_method
182,3911,3676,168,,3,data_method
183,3911,3676,168,,4,return_method
184,4583,66586,72,,4,value_local
185,4583,66586,72,,6,control_local
186,4583,66586,82,,4,value_local
187,4583,66587,80,,4,value_local
188,4583,66587,81,,4,value_local
189,4583,66587,82,,4,value_local
190,4583,8338,86,,4,value_local
191,4583,8338,87,,4,value_local
192,4583,8341,88,,4,value_local
193,4583,4878,93,,3,data_method
194,4583,4878,93,,4,return_method
195,4878,423666,180,,3,data_method
196,4878,423666,180,,4,return_method
197,4878,66587,180,,4,value_local
198,4878,66587,212,,4,value_local
199,4878,408836,200,,3,data_method
200,4878,408836,200,,4,return_method
201,4878,66586,211,,4,value_local
202,4878,4518,225,,3,data_method
203,4878,4518,225,,4,return_method
204,4878,4518,225,,6,control_method
205,4878,4530,243,,3,data_method
206,4878,4530,243,,4,return_method
207,4878,6976,262,,3,data_method
208,4878,6976,272,,3,data_method
209,4878,6976,283,,3,data_method
210,4878,6976,300,,3,data_method
211,4878,6976,313,,3,data_method
212,4878,4524,319,,3,data_method
213,4878,4524,319,,4,return_method
214,6515,66587,831,,4,value_local
215,6515,66587,837,,4,value_local
216,6515,66587,837,,6,control_local
217,6515,66587,839,,4,value_local
218,6515,66587,846,,4,value_local
219,6515,66587,866,,4,value_local
220,6515,66587,867,,4,value_local
221,6515,66587,867,,6,control_local
222,6515,66587,871,,4,value_local
223,6515,6696,833,,3,data_method
224,6515,6696,833,,4,return_method
225,6515,6696,833,,6,control_method
226,6515,4878,841,,3,data_method
