,Source,Target,LineNumber,Relation,R_key,R_label
0,8208,6976,1450,,3,data_method
1,8208,8379,1453,,4,value_local
2,8208,8380,1453,,4,value_local
3,24596,24351,223,,3,data_method
4,270357,24596,2564,,3,data_method
5,270357,24596,2573,,3,data_method
6,270357,24596,2620,,3,data_method
7,270357,263989,2568,,3,data_method
8,270357,263989,2576,,3,data_method
9,270357,263989,2623,,3,data_method
10,270357,266315,2580,,4,value_local
11,270357,266315,2609,,4,value_local
12,270357,276666,2582,,4,value_local
13,270357,276666,2582,,6,control_local
14,270357,276666,2584,,4,value_local
15,270357,66586,2589,,4,value_local
16,270357,66586,2589,,6,control_local
17,270357,66586,2590,,4,value_local
18,270357,66586,2590,,6,control_local
19,270357,66587,2590,,4,value_local
20,270357,66587,2590,,6,control_local
21,270357,263968,2607,,3,data_method
22,270357,276628,2611,,4,value_local
23,270357,266446,2614,,3,data_method
24,450580,63354,375,,3,data_method
25,450580,21761,375,,4,value_local
26,450580,21761,375,,4,value_local
27,69665,66586,68,,4,value_local
28,69665,66586,69,,4,value_local
29,69665,66586,70,,4,value_local
30,69665,66586,71,,4,value_local
31,69665,66586,72,,4,value_local
32,69665,69592,68,,4,value_local
33,69665,69593,69,,4,value_local
34,69665,69594,70,,4,value_local
35,69665,69595,71,,4,value_local
36,69665,69596,72,,4,value_local
37,69665,69591,74,,4,value_local
38,69665,69598,74,,4,value_local
39,69665,69717,76,,3,data_method
40,8232,8385,1465,,4,value_local
41,8232,8385,1465,,6,control_local
42,8232,8385,1477,,4,value_local
43,8232,8385,1477,,6,control_local
44,8232,8385,1483,,4,value_local
45,8232,8384,1466,,4,value_local
46,8232,8384,1466,,6,control_local
47,8232,8384,1472,,4,value_local
48,8232,8384,1477,,4,value_local
49,8232,8384,1477,,6,control_local
50,8232,8384,1483,,4,value_local
51,8232,6976,1470,,3,data_method
52,8232,6976,1481,,3,data_method
53,16426,18738,246,,4,value_local
54,16426,18738,248,,4,value_local
55,16426,18739,248,,4,value_local
56,16426,18740,251,,4,value_local
57,24625,24351,235,,3,data_method
58,86068,90535,554,,3,data_method
59,86068,90535,563,,3,data_method
60,86068,90535,592,,3,data_method
61,86068,90535,601,,3,data_method
62,86068,66587,556,,4,value_local
63,86068,66587,564,,4,value_local
64,86068,66587,594,,4,value_local
65,86068,66587,602,,4,value_local
66,86068,85212,589,,3,data_method
67,86068,85212,589,,4,return_method
68,24646,24596,253,,3,data_method
69,315497,315456,66,,3,data_method
70,315497,315450,72,,3,data_method
71,315497,315450,72,,4,return_method
72,315497,315450,72,,6,control_method
73,315497,315450,98,,3,data_method
74,315497,315450,98,,4,return_method
75,315497,315450,98,,6,control_method
76,315497,263983,116,,3,data_method
77,315497,24596,120,,3,data_method
