75,BINDING,node.AsyncResource.AsyncResource,AsyncResource,"ANY node.AsyncResource.AsyncResource (Isolate*,Local<Object>,char*,async_id)"
82,BINDING,node.AsyncResource.~AsyncResource,~AsyncResource,ANY node.AsyncResource.~AsyncResource ()
103,BINDING,node.AsyncResource.MakeCallback,MakeCallback,"MaybeLocal<Value> node.AsyncResource.MakeCallback (Local<Function>,int,Local<Value>*)"
124,BINDING,node.AsyncResource.MakeCallback,MakeCallback,"MaybeLocal<Value> node.AsyncResource.MakeCallback (char*,int,Local<Value>*)"
145,BINDING,node.AsyncResource.MakeCallback,MakeCallback,"MaybeLocal<Value> node.AsyncResource.MakeCallback (Local<String>,int,Local<Value>*)"
158,BINDING,node.AsyncResource.get_resource,get_resource,Local<Object> node.AsyncResource.get_resource ()
166,BINDING,node.AsyncResource.get_async_id,get_async_id,async_id node.AsyncResource.get_async_id ()
174,BINDING,node.AsyncResource.get_trigger_async_id,get_trigger_async_id,async_id node.AsyncResource.get_trigger_async_id ()
179,BINDING,node.AsyncResource.CallbackScope.CallbackScope,CallbackScope,ANY node.AsyncResource.CallbackScope.CallbackScope (AsyncResource*)
199,BINDING,node.InternalCallbackScope.Close.<lambda>0,<lambda>0,ANY node.InternalCallbackScope.Close.<lambda>0 ()
210,BINDING,node.InternalCallbackScope.Close.<lambda>1,<lambda>1,ANY node.InternalCallbackScope.Close.<lambda>1 ()
220,BINDING,node.InternalCallbackScope.Close.<lambda>2,<lambda>2,ANY node.InternalCallbackScope.Close.<lambda>2 ()
239,BINDING,node.CallbackScope.CallbackScope,CallbackScope,"ANY node.CallbackScope.CallbackScope (Isolate*,Local<Object>,async_context)"
251,BINDING,node.CallbackScope.CallbackScope,CallbackScope,"ANY node.CallbackScope.CallbackScope (Environment*,Local<Object>,async_context)"
267,BINDING,node.CallbackScope.~CallbackScope,~CallbackScope,ANY node.CallbackScope.~CallbackScope ()
273,BINDING,node.InternalCallbackScope.InternalCallbackScope,InternalCallbackScope,"ANY node.InternalCallbackScope.InternalCallbackScope (AsyncWrap*,int)"
374,BINDING,node.InternalCallbackScope.InternalCallbackScope,InternalCallbackScope,"ANY node.InternalCallbackScope.InternalCallbackScope (Environment*,Local<Object>,async_context,int)"
383,BINDING,node.InternalCallbackScope.~InternalCallbackScope,~InternalCallbackScope,ANY node.InternalCallbackScope.~InternalCallbackScope ()
605,BINDING,node.InternalCallbackScope.Close,Close,void node.InternalCallbackScope.Close ()
830,BINDING,node.InternalMakeCallback,InternalMakeCallback,"MaybeLocal<Value> node.InternalMakeCallback (Environment*,Local<Object>,Local<Object>,Local<Function>,int,Local<Value>[],async_context)"
863,BINDING,node.MakeCallback,MakeCallback,"MaybeLocal<Value> node.MakeCallback (Isolate*,Local<Object>,char*,int,Local<Value>[],async_context)"
950,BINDING,node.MakeCallback,MakeCallback,"MaybeLocal<Value> node.MakeCallback (Isolate*,Local<Object>,Local<String>,int,Local<Value>[],async_context)"
1014,BINDING,node.MakeCallback,MakeCallback,"MaybeLocal<Value> node.MakeCallback (Isolate*,Local<Object>,Local<Function>,int,Local<Value>[],async_context)"
1098,BINDING,node.MakeSyncCallback,MakeSyncCallback,"MaybeLocal<Value> node.MakeSyncCallback (Isolate*,Local<Object>,Local<Function>,int,Local<Value>[])"
1128,BINDING,node.MakeCallback,MakeCallback,"Local<Value> node.MakeCallback (Isolate*,Local<Object>,char*,int,Local<Value>*)"
1158,BINDING,node.MakeCallback,MakeCallback,"Local<Value> node.MakeCallback (Isolate*,Local<Object>,Local<String>,int,Local<Value>*)"
1188,BINDING,node.MakeCallback,MakeCallback,"Local<Value> node.MakeCallback (Isolate*,Local<Object>,Local<Function>,int,Local<Value>*)"
1199,BINDING,node.SpinEventLoopInternal.<lambda>0,<lambda>0,ANY node.SpinEventLoopInternal.<lambda>0 (Realm*)
1222,BINDING,node.CommonEnvironmentSetup.CommonEnvironmentSetup.<lambda>1,<lambda>1,ANY node.CommonEnvironmentSetup.CommonEnvironmentSetup.<lambda>1 ()
