,source,target,weight,label
0,139266,132401,10.0,10.0
1,139266,132403,3.0,3.0
2,200742,201010,10.0,10.0
3,200742,201005,3.0,3.0
4,200742,201006,3.0,3.0
5,221239,220600,5.5,5.5
6,59,132669,3.0,3.0
7,59,132671,3.0,3.0
8,90175,90332,3.0,3.0
9,76,132669,3.0,3.0
10,76,132671,3.0,3.0
11,83,831,2.5,2.5
12,83,132669,3.0,3.0
13,83,132671,3.0,3.0
14,90197,90334,3.0,3.0
15,90203,90335,6.0,6.0
16,90203,90328,3.0,3.0
17,82017,82651,3.0,3.0
18,82017,82653,13.0,13.0
19,90215,90335,3.0,3.0
20,200808,201012,3.0,3.0
21,200808,201007,3.0,3.0
22,200808,201011,3.0,3.0
23,102513,122659,17.5,17.5
24,102513,122305,2.5,2.5
25,102513,122708,5.5,5.5
26,102513,122813,7.0,7.0
27,90246,90331,3.0,3.0
28,135303,122659,2.5,2.5
29,135303,122305,2.5,2.5
30,146,132670,3.0,3.0
31,146,132669,3.0,3.0
32,82072,82652,3.0,3.0
33,159,132671,3.0,3.0
34,167,132671,3.0,3.0
35,82095,82654,3.0,3.0
36,135350,122659,25.0,25.0
37,135350,122305,2.5,2.5
38,135350,831,5.5,5.5
39,200889,201004,12.0,12.0
40,200889,201076,3.0,3.0
41,200889,201017,3.0,3.0
42,200889,201007,3.0,3.0
43,200889,201008,3.0,3.0
44,200889,201009,3.0,3.0
45,200889,201010,3.0,3.0
46,200889,201011,3.0,3.0
47,200889,201012,3.0,3.0
48,200889,201015,3.0,3.0
49,200889,201018,3.0,3.0
50,82114,82651,62.0,62.0
51,82114,82652,24.0,24.0
52,82114,82654,7.0,7.0
53,139493,138263,1.0,1.0
54,139493,138267,1.0,1.0
55,139493,138271,1.0,1.0
56,139493,138275,1.0,1.0
57,139493,138279,1.0,1.0
58,139493,138283,1.0,1.0
59,139493,138287,1.0,1.0
60,139493,138291,1.0,1.0
61,139493,138295,1.0,1.0
62,139493,138299,1.0,1.0
63,139493,138303,1.0,1.0
64,139493,138307,1.0,1.0
65,139493,138311,1.0,1.0
66,139493,138315,1.0,1.0
67,139493,138319,1.0,1.0
68,139493,138323,1.0,1.0
69,139493,138327,1.0,1.0
70,139493,138331,1.0,1.0
