,Source,Target,LineNumber,Relation,R_key,R_label
0,59,132669,20.0,,4,value_local
1,59,132671,21.0,,4,value_local
2,76,132669,26.0,,4,value_local
3,76,132671,26.0,,4,value_local
4,83,831,32.0,,3,data_method
5,83,132669,32.0,,4,value_local
6,83,132671,34.0,,4,value_local
7,146,132670,54.0,,4,value_local
8,146,132669,54.0,,4,value_local
9,159,132671,58.0,,4,value_local
10,167,132671,62.0,,4,value_local
11,252,132593,35.0,,4,value_local
12,252,132593,35.0,,6,control_local
13,252,132592,36.0,,4,value_local
14,252,132592,37.0,,4,value_local
15,606,132448,207.0,,4,value_local
16,1481,131899,100.0,,4,value_local
17,1481,131899,101.0,,4,value_local
18,1481,131899,116.0,,4,value_local
19,1481,131899,120.0,,4,value_local
20,1481,131899,143.0,,4,value_local
21,1481,131899,144.0,,4,value_local
22,1481,131899,145.0,,4,value_local
23,1481,131899,146.0,,4,value_local
24,1481,131899,149.0,,4,value_local
25,1481,131899,150.0,,4,value_local
26,1481,131899,150.0,,6,control_local
27,1481,131899,151.0,,4,value_local
28,1481,131899,151.0,,4,value_local
29,1481,131899,157.0,,4,value_local
30,1481,131899,164.0,,4,value_local
31,1481,131887,113.0,,4,value_local
32,1481,131887,113.0,,6,control_local
33,1786,131899,205.0,,4,value_local
34,1786,131899,205.0,,6,control_local
35,1786,131899,206.0,,4,value_local
36,1786,131899,211.0,,4,value_local
37,1786,131899,212.0,,4,value_local
38,1786,131899,213.0,,4,value_local
39,1786,131899,217.0,,4,value_local
40,1786,131899,220.0,,4,value_local
41,1786,131899,221.0,,4,value_local
42,1786,131899,221.0,,6,control_local
43,1786,131899,222.0,,4,value_local
44,1786,131899,231.0,,4,value_local
45,1786,131899,231.0,,6,control_local
46,1786,131899,231.0,,4,value_local
47,1786,131899,231.0,,6,control_local
48,1786,131899,232.0,,4,value_local
49,1786,131899,234.0,,4,value_local
50,1981,131899,266.0,,4,value_local
51,1989,131899,270.0,,4,value_local
52,1997,131899,274.0,,4,value_local
53,2008,131899,278.0,,4,value_local
54,2019,131899,282.0,,4,value_local
55,2019,131899,282.0,,4,value_local
56,2033,131899,286.0,,4,value_local
57,2033,131899,286.0,,4,value_local
58,2050,131448,291.0,,4,value_local
59,2050,131448,292.0,,4,value_local
60,2050,131448,292.0,,6,control_local
61,2050,131447,291.0,,4,value_local
62,2050,131447,293.0,,4,value_local
63,2050,131447,293.0,,6,control_local
64,2050,131447,294.0,,4,value_local
65,2147,131447,321.0,,4,value_local
66,2156,131447,325.0,,4,value_local
67,3378,3352,224.0,,3,data_method
68,3461,131344,252.0,,4,value_local
69,3461,131344,252.0,,6,control_local
70,3461,131344,268.0,,4,value_local
71,3461,131344,268.0,,6,control_local
72,3461,131346,258.0,,4,value_local
73,3461,131346,259.0,,4,value_local
74,3461,131347,263.0,,4,value_local
75,3461,131347,264.0,,4,value_local
76,3461,131348,269.0,,4,value_local
77,3461,131348,270.0,,4,value_local
78,3554,131345,276.0,,4,value_local
79,3554,131350,278.0,,4,value_local
80,3554,131350,279.0,,4,value_local
81,3554,131351,284.0,,4,value_local
82,3554,131351,284.0,,6,control_local
83,3554,131351,286.0,,4,value_local
84,3554,131344,304.0,,4,value_local
85,3554,131344,304.0,,6,control_local
86,3554,131344,310.0,,4,value_local
87,3554,131344,310.0,,6,control_local
88,3554,131349,305.0,,4,value_local
89,3554,131349,306.0,,4,value_local
90,4990,132405,846.0,,4,value_local
91,6176,6113,136.0,,4,value_local
92,6176,6113,139.0,,4,value_local
93,6176,6109,138.0,,4,value_local
94,6205,6109,144.0,,4,value_local
95,6205,6112,145.0,,4,value_local
96,6205,6110,146.0,,4,value_local
97,6205,6111,146.0,,4,value_local
98,6292,6122,166.0,,4,value_local
99,6292,6122,166.0,,6,control_local
100,6292,6122,167.0,,4,value_local
101,6292,6122,168.0,,4,value_local
102,6292,6122,168.0,,4,value_local
103,7304,7183,238.0,,4,value_local
104,7304,7184,239.0,,4,value_local
105,7304,7184,245.0,,4,value_local
106,7304,7185,240.0,,4,value_local
107,7304,7185,244.0,,4,value_local
108,7304,7186,242.0,,4,value_local
109,8898,132448,676.0,,4,value_local
110,20109,19553,224.0,,2,call_method
111,20109,19553,224.0,,4,return_method
112,33451,831,1209.0,,3,data_method
113,33451,831,1209.0,,4,return_method
114,33451,831,1209.0,,6,control_method
115,70738,71865,249.0,,4,value_local
116,70738,71862,257.0,,4,value_local
117,70738,71863,258.0,,4,value_local
118,70738,71864,265.0,,4,value_local
119,70890,72156,419.0,,4,value_local
120,70890,72155,429.0,,4,value_local
121,70890,72155,431.0,,4,value_local
122,70890,72155,431.0,,6,control_local
123,70890,72154,430.0,,4,value_local
124,71024,72573,643.0,,4,value_local
125,71126,73350,1018.0,,4,value_local
126,71262,71624,68.0,,4,value_local
127,71262,71624,68.0,,6,control_local
128,71262,71625,68.0,,4,value_local
129,71262,71625,68.0,,6,control_local
130,71262,71625,70.0,,4,value_local
131,71262,71623,84.0,,4,value_local
132,71262,71623,84.0,,6,control_local
133,71421,71625,106.0,,4,value_local
134,71427,71624,108.0,,4,value_local
135,71433,71626,110.0,,4,value_local
136,71442,71624,113.0,,4,value_local
137,71442,71624,113.0,,6,control_local
138,71442,71625,118.0,,4,value_local
139,71442,71625,118.0,,6,control_local
140,71442,71625,120.0,,4,value_local
141,71442,71625,127.0,,4,value_local
142,71442,71626,123.0,,4,value_local
143,71442,71626,123.0,,6,control_local
144,71442,71626,124.0,,4,value_local
145,71442,71626,124.0,,6,control_local
146,71442,71623,134.0,,4,value_local
147,71531,71626,142.0,,4,value_local
148,71531,71626,142.0,,6,control_local
149,71531,71626,143.0,,4,value_local
150,71531,71626,143.0,,4,value_local
151,71531,71626,148.0,,4,value_local
152,71561,71626,152.0,,4,value_local
153,71561,71626,152.0,,6,control_local
154,71561,71626,153.0,,4,value_local
155,71561,71625,152.0,,4,value_local
156,71561,71625,152.0,,6,control_local
