,Source,Target,LineNumber,Relation,R_key,R_label
0,139266,132401,675.0,,4,value_local
1,139266,132401,675.0,,6,control_local
2,139266,132401,676.0,,4,value_local
3,139266,132403,677.0,,4,value_local
4,200742,201010,884.0,,4,value_local
5,200742,201010,884.0,,6,control_local
6,200742,201010,889.0,,4,value_local
7,200742,201005,885.0,,4,value_local
8,200742,201006,886.0,,4,value_local
9,221239,220600,82.0,,3,data_method
10,221239,220600,82.0,,4,return_method
11,59,132669,20.0,,4,value_local
12,59,132671,21.0,,4,value_local
13,90175,90332,272.0,,4,value_local
14,76,132669,26.0,,4,value_local
15,76,132671,26.0,,4,value_local
16,83,831,32.0,,3,data_method
17,83,132669,32.0,,4,value_local
18,83,132671,34.0,,4,value_local
19,90197,90334,276.0,,4,value_local
20,90203,90335,280.0,,4,value_local
21,90203,90335,281.0,,4,value_local
22,90203,90328,280.0,,4,value_local
23,82017,82651,87.0,,4,value_local
24,82017,82653,88.0,,4,value_local
25,82017,82653,89.0,,4,value_local
26,82017,82653,89.0,,6,control_local
27,82017,82653,91.0,,4,value_local
28,90215,90335,285.0,,4,value_local
29,200808,201012,913.0,,4,value_local
30,200808,201007,915.0,,4,value_local
31,200808,201011,916.0,,4,value_local
32,102513,122659,323.0,,3,data_method
33,102513,122659,323.0,,3,data_method
34,102513,122659,324.0,,3,data_method
35,102513,122659,326.0,,3,data_method
36,102513,122659,332.0,,3,data_method
37,102513,122659,337.0,,3,data_method
38,102513,122659,356.0,,3,data_method
39,102513,122305,323.0,,3,data_method
40,102513,122708,331.0,,3,data_method
41,102513,122708,331.0,,4,return_method
42,102513,122813,348.0,,4,value_local
43,102513,122813,348.0,,6,control_local
44,90246,90331,310.0,,4,value_local
45,135303,122659,949.0,,3,data_method
46,135303,122305,956.0,,3,data_method
47,146,132670,54.0,,4,value_local
48,146,132669,54.0,,4,value_local
49,82072,82652,97.0,,4,value_local
50,159,132671,58.0,,4,value_local
51,167,132671,62.0,,4,value_local
52,82095,82654,102.0,,4,value_local
53,135350,122659,966.0,,3,data_method
54,135350,122659,966.0,,3,data_method
55,135350,122659,967.0,,3,data_method
56,135350,122659,969.0,,3,data_method
57,135350,122659,975.0,,3,data_method
58,135350,122659,975.0,,3,data_method
59,135350,122659,978.0,,3,data_method
60,135350,122659,978.0,,3,data_method
61,135350,122659,1001.0,,3,data_method
62,135350,122659,1010.0,,3,data_method
63,135350,122305,966.0,,3,data_method
64,135350,831,983.0,,3,data_method
65,135350,831,983.0,,4,return_method
66,200889,201004,922.0,,4,value_local
67,200889,201004,925.0,,4,value_local
68,200889,201004,928.0,,4,value_local
69,200889,201004,931.0,,4,value_local
70,200889,201076,922.0,,4,value_local
71,200889,201017,934.0,,4,value_local
72,200889,201007,935.0,,4,value_local
73,200889,201008,936.0,,4,value_local
74,200889,201009,937.0,,4,value_local
75,200889,201010,938.0,,4,value_local
76,200889,201011,939.0,,4,value_local
77,200889,201012,940.0,,4,value_local
78,200889,201015,941.0,,4,value_local
79,200889,201018,942.0,,4,value_local
80,82114,82651,106.0,,4,value_local
81,82114,82651,107.0,,4,value_local
82,82114,82651,111.0,,4,value_local
83,82114,82651,112.0,,4,value_local
84,82114,82651,113.0,,4,value_local
85,82114,82651,117.0,,4,value_local
86,82114,82651,118.0,,4,value_local
87,82114,82651,124.0,,4,value_local
88,82114,82651,138.0,,4,value_local
89,82114,82651,138.0,,6,control_local
90,82114,82651,142.0,,4,value_local
91,82114,82651,142.0,,6,control_local
92,82114,82651,147.0,,4,value_local
93,82114,82651,147.0,,6,control_local
94,82114,82651,149.0,,4,value_local
95,82114,82651,149.0,,6,control_local
96,82114,82651,183.0,,4,value_local
97,82114,82651,187.0,,4,value_local
98,82114,82651,187.0,,6,control_local
99,82114,82652,111.0,,4,value_local
100,82114,82652,120.0,,4,value_local
101,82114,82652,120.0,,6,control_local
102,82114,82652,126.0,,4,value_local
103,82114,82652,126.0,,6,control_local
104,82114,82652,162.0,,4,value_local
105,82114,82652,162.0,,6,control_local
106,82114,82654,171.0,,4,value_local
107,82114,82654,171.0,,6,control_local
108,139493,138263,695.0,,2,call_method
109,139493,138267,695.0,,2,call_method
110,139493,138271,695.0,,2,call_method
111,139493,138275,695.0,,2,call_method
112,139493,138279,695.0,,2,call_method
113,139493,138283,695.0,,2,call_method
114,139493,138287,695.0,,2,call_method
115,139493,138291,695.0,,2,call_method
116,139493,138295,695.0,,2,call_method
117,139493,138299,695.0,,2,call_method
118,139493,138303,695.0,,2,call_method
119,139493,138307,695.0,,2,call_method
120,139493,138311,695.0,,2,call_method
121,139493,138315,695.0,,2,call_method
122,139493,138319,695.0,,2,call_method
123,139493,138323,695.0,,2,call_method
124,139493,138327,695.0,,2,call_method
125,139493,138331,695.0,,2,call_method
126,139493,138335,695.0,,2,call_method
127,139493,138339,695.0,,2,call_method
128,139493,138343,695.0,,2,call_method
129,139493,138347,695.0,,2,call_method
130,139493,138351,695.0,,2,call_method
131,139493,138355,695.0,,2,call_method
132,139493,138359,695.0,,2,call_method
133,139493,138363,695.0,,2,call_method
134,139493,138367,695.0,,2,call_method
135,139493,138371,695.0,,2,call_method
136,139493,138375,695.0,,2,call_method
137,139493,138379,695.0,,2,call_method
138,139493,138383,695.0,,2,call_method
139,139493,138387,695.0,,2,call_method
140,139493,138391,695.0,,2,call_method
141,139493,138395,695.0,,2,call_method
142,139493,138399,695.0,,2,call_method
143,139493,138403,695.0,,2,call_method
144,139493,138407,695.0,,2,call_method
145,139493,138411,695.0,,2,call_method
146,139493,138415,695.0,,2,call_method
147,139493,138419,695.0,,2,call_method
148,139493,138423,695.0,,2,call_method
149,139493,138427,695.0,,2,call_method
150,139493,138431,695.0,,2,call_method
151,139493,138435,695.0,,2,call_method
152,139493,138439,695.0,,2,call_method
153,139493,138443,695.0,,2,call_method
154,139493,138447,695.0,,2,call_method
155,139493,138451,695.0,,2,call_method
