,Id,Name,NodeType,Fullname,Signature,Filename,Code,LineNumber,LineNumberEnd,ColumnNumber,ColumnNumberEnd,LineOfCode,NumberOfOperators,SetOfOperators,NumberOfOperands,SetOfOperands,FanIn,FanOut,McCabe,AccCyc,ConCf,ConDf,ConZc,ConRf,ConVal,Parma,ParmaIn,ParmaOut,RetType
0,139266,GetLinkedBinding,1,node.binding.GetLinkedBinding,void node.binding.GetLinkedBinding (FunctionCallbackInfo<Value>),node_binding.cc,"void GetLinkedBinding(const FunctionCallbackInfo<Value>& args) {
  Environment* env = Environment::GetCurrent(args);

  CHECK(args[0]->IsString());

  Local<String> module_name = args[0].As<String>();

  node::Utf8Value module_name_v(env->isolate(), module_name);
  const char* name = *module_name_v;
  node_module* mod = nullptr;

  // Iterate from here to the nearest non-Worker Environment to see if there's
  // a linked binding defined locally rather than through the global list.
  Environment* cur_env = env;
  while (mod == nullptr && cur_env != nullptr) {
    Mutex::ScopedLock lock(cur_env->extra_linked_bindings_mutex());
    mod = FindModule(cur_env->extra_linked_bindings_head(), name, NM_F_LINKED);
    cur_env = cur_env->worker_parent_env();
  }

  if (mod == nullptr)
    mod = FindModule(modlist_linked, name, NM_F_LINKED);

  if (mod == nullptr) {
    return THROW_ERR_INVALID_MODULE(
        env, ""No such binding was linked: %s"", *module_name_v);
  }

  Local<Object> module = ...",641.0,689.0,1.0,1.0,49.0,55,10,63,17,0,3,5,5,1,0,,0,3,2,1,1,void
1,122915,persistent_,3,v8impl.Reference.persistent_,,js_native_api_v8.hpp,persistent_,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
2,122916,can_be_weak_,3,v8impl.Reference.can_be_weak_,,js_native_api_v8.hpp,can_be_weak_,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
3,200742,CreateHeaders,1,node.anonymous_namespace_89.Parser.CreateHeaders,Local<Array> node.anonymous_namespace_89.Parser.CreateHeaders (),node_http_parser.cc,"Local<Array> CreateHeaders() {
    // There could be extra entries but the max size should be fixed
    Local<Value> headers_v[kMaxHeaderFieldsCount * 2];

    for (size_t i = 0; i < num_values_; ++i) {
      headers_v[i * 2] = fields_[i].ToString(env());
      headers_v[i * 2 + 1] = values_[i].ToTrimmedString(env());
    }

    return Array::New(env()->isolate(), headers_v, num_values_ * 2);
  }",880.0,890.0,3.0,3.0,11.0,20,8,18,9,0,4,2,2,1,0,,0,4,0,0,0,Local<Array>
4,221239,CreateProperties,1,node.Realm.CreateProperties,void node.Realm.CreateProperties (),node_realm.cc,"void Realm::CreateProperties() {
  HandleScope handle_scope(isolate_);
  Local<Context> ctx = context();

  // Store primordials setup by the per-context script in the environment.
  Local<Object> per_context_bindings =
      GetPerContextExports(ctx).ToLocalChecked();
  Local<Value> primordials =
      per_context_bindings->Get(ctx, env_->primordials_string())
          .ToLocalChecked();
  CHECK(primordials->IsObject());
  set_primordials(primordials.As<Object>());

  Local<String> prototype_string =
      FIXED_ONE_BYTE_STRING(isolate(), ""prototype"");

#define V(EnvPropertyName, PrimordialsPropertyName)                            \
  {                                                                            \
    Local<Value> ctor =                                                        \
        primordials.As<Object>()                                               \
            ->Get(ctx,                                                         \
                  FIXED_ONE_BY...",42.0,84.0,1.0,2.0,43.0,83,5,79,15,0,1,1,1,0,1,,0,1,0,0,0,void
5,59,AsyncResource,1,node.AsyncResource.AsyncResource,"ANY node.AsyncResource.AsyncResource (Isolate*,Local<Object>,char*,async_id)",api\async_resource.cc,"AsyncResource::AsyncResource(Isolate* isolate,
                             Local<Object> resource,
                             const char* name,
                             async_id trigger_async_id)
    : env_(Environment::GetCurrent(isolate)),
      resource_(isolate, resource) {
  CHECK_NOT_NULL(env_);
  async_context_ = EmitAsyncInit(isolate, resource, name,
                                 trigger_async_id);
}",14.0,23.0,1.0,1.0,10.0,1,1,6,6,0,2,1,1,0,0,,0,2,8,4,4,ANY
6,90175,schedulePauseOnNextStatement,1,node.inspector.anonymous_namespace_21.ChannelImpl.schedulePauseOnNextStatement,void node.inspector.anonymous_namespace_21.ChannelImpl.schedulePauseOnNextStatement (ANY),inspector_agent.cc,"void schedulePauseOnNextStatement(const std::string& reason) {
    std::unique_ptr<StringBuffer> buffer = Utf8ToStringView(reason);
    session_->schedulePauseOnNextStatement(buffer->string(), buffer->string());
  }",270.0,273.0,3.0,3.0,4.0,4,2,5,3,0,1,1,1,0,0,,0,1,2,1,1,void
7,76,~AsyncResource,1,node.AsyncResource.~AsyncResource,ANY node.AsyncResource.~AsyncResource (),api\async_resource.cc,"AsyncResource::~AsyncResource() {
  EmitAsyncDestroy(env_, async_context_);
}",25.0,27.0,1.0,1.0,3.0,0,0,2,2,0,2,1,1,0,0,,0,2,0,0,0,ANY
8,83,MakeCallback,1,node.AsyncResource.MakeCallback,"MaybeLocal<Value> node.AsyncResource.MakeCallback (Local<Function>,int,Local<Value>*)",api\async_resource.cc,"MaybeLocal<Value> AsyncResource::MakeCallback(Local<String> symbol,
                                              int argc,
                                              Local<Value>* argv) {
  return node::MakeCallback(env_->isolate(), get_resource(),
                            symbol, argc, argv,
                            async_context_);
}",45.0,51.0,1.0,1.0,7.0,2,2,6,6,0,3,1,1,0,1,,0,2,6,3,3,MaybeLocal<Value>
9,90197,preventShutdown,1,node.inspector.anonymous_namespace_22.ChannelImpl.preventShutdown,bool node.inspector.anonymous_namespace_22.ChannelImpl.preventShutdown (),inspector_agent.cc,"bool preventShutdown() {
    return prevent_shutdown_;
  }",275.0,277.0,3.0,3.0,3.0,0,0,1,1,0,1,1,1,0,0,,0,1,0,0,0,bool
