,source,target,weight,label
0,73730,73966,7.0,7.0
1,233482,131208,3.0,3.0
2,86042,86055,3.0,3.0
3,73779,73966,7.0,7.0
4,294966,295736,3.0,3.0
5,59,132430,3.0,3.0
6,59,132432,3.0,3.0
7,86084,86094,3.0,3.0
8,294986,295743,3.0,3.0
9,76,132430,3.0,3.0
10,76,132432,3.0,3.0
11,83,831,2.5,2.5
12,83,132430,3.0,3.0
13,83,132432,3.0,3.0
14,86102,86114,3.0,3.0
15,200796,202352,23.0,23.0
16,200796,202351,3.0,3.0
17,200796,202341,7.0,7.0
18,200796,202344,3.0,3.0
19,295005,295737,3.0,3.0
20,295005,295739,3.0,3.0
21,295005,295752,3.0,3.0
22,295005,295741,3.0,3.0
23,86123,86223,3.0,3.0
24,86123,86224,3.0,3.0
25,90229,91043,3.0,3.0
26,90229,91041,3.0,3.0
27,295040,295736,3.0,3.0
28,295040,295737,3.0,3.0
29,86145,86223,3.0,3.0
30,86145,86224,3.0,3.0
31,86160,86223,3.0,3.0
32,86160,86224,3.0,3.0
33,146,132431,3.0,3.0
34,146,132430,3.0,3.0
35,90268,91047,3.0,3.0
36,159,132432,3.0,3.0
37,90277,91049,3.0,3.0
38,167,132432,3.0,3.0
39,102569,102633,3.0,3.0
40,102569,102632,3.0,3.0
41,102569,102631,3.0,3.0
42,102569,122573,3.0,3.0
43,258217,258215,3.0,3.0
44,295083,295735,12.0,12.0
45,295083,295736,6.0,6.0
46,295083,295737,6.0,6.0
47,90285,91048,3.0,3.0
48,139442,1469,3.0,3.0
49,90293,91049,7.0,7.0
50,90293,91040,3.0,3.0
51,204998,205474,3.0,3.0
52,205006,205473,15.0,15.0
53,205006,205366,6.0,6.0
54,295124,295738,3.0,3.0
55,295124,295747,10.0,10.0
56,295124,295699,3.0,3.0
57,90327,91043,3.0,3.0
58,200924,202349,3.0,3.0
59,258274,258352,3.0,3.0
60,200933,202349,3.0,3.0
61,86249,86291,3.0,3.0
62,86249,86293,3.0,3.0
63,86249,86292,3.0,3.0
64,295152,295742,10.0,10.0
65,295152,295737,3.0,3.0
66,295152,295739,3.0,3.0
67,295152,295752,7.0,7.0
68,295152,295741,3.0,3.0
69,252,132354,7.0,7.0
70,252,132353,6.0,6.0
71,86278,86293,3.0,3.0
