,Source,Target,LineNumber,Relation,R_key,R_label
0,73730,73966,178.0,,4,value_local
1,73730,73966,178.0,,6,control_local
2,233482,131208,618.0,,4,value_local
3,86042,86055,46.0,,4,value_local
4,73779,73966,211.0,,4,value_local
5,73779,73966,211.0,,6,control_local
6,294966,295736,22.0,,4,value_local
7,59,132430,20.0,,4,value_local
8,59,132432,21.0,,4,value_local
9,86084,86094,65.0,,4,value_local
10,294986,295743,189.0,,4,value_local
11,76,132430,26.0,,4,value_local
12,76,132432,26.0,,4,value_local
13,83,831,32.0,,3,data_method
14,83,132430,32.0,,4,value_local
15,83,132432,34.0,,4,value_local
16,86102,86114,78.0,,4,value_local
17,200796,202352,482.0,,4,value_local
18,200796,202352,482.0,,6,control_local
19,200796,202352,483.0,,4,value_local
20,200796,202352,484.0,,4,value_local
21,200796,202352,489.0,,4,value_local
22,200796,202352,489.0,,6,control_local
23,200796,202352,490.0,,4,value_local
24,200796,202351,487.0,,4,value_local
25,200796,202341,493.0,,4,value_local
26,200796,202341,493.0,,6,control_local
27,200796,202344,512.0,,4,value_local
28,295005,295737,231.0,,4,value_local
29,295005,295739,233.0,,4,value_local
30,295005,295752,234.0,,4,value_local
31,295005,295741,235.0,,4,value_local
32,86123,86223,97.0,,4,value_local
33,86123,86224,97.0,,4,value_local
34,90229,91043,403.0,,4,value_local
35,90229,91041,406.0,,4,value_local
36,295040,295736,225.0,,4,value_local
37,295040,295737,228.0,,4,value_local
38,86145,86223,103.0,,4,value_local
39,86145,86224,103.0,,4,value_local
40,86160,86223,109.0,,4,value_local
41,86160,86224,110.0,,4,value_local
42,146,132431,54.0,,4,value_local
43,146,132430,54.0,,4,value_local
44,90268,91047,413.0,,4,value_local
45,159,132432,58.0,,4,value_local
46,90277,91049,418.0,,4,value_local
47,167,132432,62.0,,4,value_local
48,102569,102633,375.0,,4,value_local
49,102569,102632,376.0,,4,value_local
50,102569,102631,377.0,,4,value_local
51,102569,122573,381.0,,4,value_local
52,258217,258215,127.0,,4,value_local
53,295083,295735,15.0,,4,value_local
54,295083,295735,16.0,,4,value_local
55,295083,295735,19.0,,4,value_local
56,295083,295735,28.0,,4,value_local
57,295083,295736,18.0,,4,value_local
58,295083,295736,19.0,,4,value_local
59,295083,295737,27.0,,4,value_local
60,295083,295737,28.0,,4,value_local
61,90285,91048,423.0,,4,value_local
