,source,target,weight,label
0,311304,311234,3.0,3.0
1,360459,361175,3.0,3.0
2,16408,16062,2.5,2.5
3,16408,118236,3.0,3.0
4,16408,16073,2.5,2.5
5,16408,118237,3.0,3.0
6,16408,16084,2.5,2.5
7,16408,118241,3.0,3.0
8,16408,16095,2.5,2.5
9,16408,118238,3.0,3.0
10,16408,16106,2.5,2.5
11,16408,118242,3.0,3.0
12,16408,16117,2.5,2.5
13,16408,118240,3.0,3.0
14,16408,4217,9.5,9.5
15,16408,118232,3.0,3.0
16,311324,311235,3.0,3.0
17,311324,311234,3.0,3.0
18,360481,361175,6.0,6.0
19,311335,311234,3.0,3.0
20,311335,311235,3.0,3.0
21,98356,156815,78.0,78.0
22,98356,156829,3.0,3.0
23,98356,156844,3.0,3.0
24,98356,156830,3.0,3.0
25,98356,156831,3.0,3.0
26,98356,156845,3.0,3.0
27,98356,156846,3.0,3.0
28,98356,5265,9.5,9.5
29,98356,156847,3.0,3.0
30,98356,156848,3.0,3.0
31,98356,156849,3.0,3.0
32,98356,156850,3.0,3.0
33,98356,156851,3.0,3.0
34,98356,156833,3.0,3.0
35,98356,156834,3.0,3.0
36,98356,156836,3.0,3.0
37,98356,156852,3.0,3.0
38,98356,156838,3.0,3.0
39,98356,156853,3.0,3.0
40,98356,156854,3.0,3.0
41,98356,156855,3.0,3.0
42,98356,156839,3.0,3.0
43,98356,156840,3.0,3.0
44,98356,156841,3.0,3.0
45,98356,156842,3.0,3.0
46,98356,156835,3.0,3.0
47,98356,156837,3.0,3.0
48,98356,156843,3.0,3.0
49,245826,245963,3.0,3.0
50,376910,377118,16.0,16.0
51,114767,114988,3.0,3.0
52,360530,361175,6.0,6.0
53,131156,132021,3.0,3.0
54,278612,278618,1.0,1.0
55,278618,278640,1.0,1.0
56,426072,426731,3.0,3.0
57,426072,426729,6.0,6.0
58,426072,426730,3.0,3.0
59,278640,278647,1.0,1.0
60,147550,147556,1.0,1.0
61,147556,147578,1.0,1.0
62,147578,147585,1.0,1.0
63,278629,278640,1.0,1.0
64,360556,361176,3.0,3.0
65,82031,147980,3.0,3.0
66,82031,147982,3.0,3.0
67,82031,147983,3.0,3.0
68,82031,147981,3.0,3.0
69,147567,147578,1.0,1.0
70,360562,361176,3.0,3.0
71,360562,361175,3.0,3.0
72,311407,311405,3.0,3.0
73,262271,265056,6.0,6.0
74,262271,265058,6.0,6.0
75,360576,361175,15.0,15.0
76,311427,311405,3.0,3.0
77,311441,311405,3.0,3.0
78,65683,139764,3.0,3.0
79,262298,258961,3.0,3.0
80,262298,258903,3.0,3.0
81,311455,311405,3.0,3.0
82,311475,311405,3.0,3.0
83,262332,258961,3.0,3.0
84,262332,258903,3.0,3.0
85,311495,311405,3.0,3.0
86,311515,311406,3.0,3.0
87,311515,311405,3.0,3.0
88,344290,344284,3.0,3.0
89,311526,311405,3.0,3.0
90,311526,311406,3.0,3.0
91,442605,433504,3.0,3.0
92,442605,433503,3.0,3.0
93,278772,279020,3.0,3.0
94,147710,147981,3.0,3.0
95,82181,147980,6.0,6.0
96,82181,17285,5.0,5.0
97,82181,147984,6.0,6.0
98,82181,147985,6.0,6.0
99,82181,147986,6.0,6.0
100,17285,118232,6.0,6.0
101,17285,118236,6.0,6.0
102,17285,118237,6.0,6.0
103,17285,118238,6.0,6.0
104,17285,118239,6.0,6.0
105,17285,118240,6.0,6.0
106,17285,118241,6.0,6.0
107,17285,118242,6.0,6.0
108,262419,265510,3.0,3.0
109,262449,265510,3.0,3.0
110,311604,311602,3.0,3.0
111,33076,127067,3.0,3.0
112,246071,246077,1.0,1.0
113,246077,246099,1.0,1.0
114,246099,246106,1.0,1.0
115,33086,127068,3.0,3.0
116,33086,127069,3.0,3.0
117,33086,127070,3.0,3.0
118,33086,127071,3.0,3.0
119,33086,127072,3.0,3.0
120,33086,127073,3.0,3.0
121,33086,127074,3.0,3.0
122,33086,127075,3.0,3.0
123,33086,127066,9.0,9.0
124,33086,127076,3.0,3.0
125,33086,127077,3.0,3.0
126,33086,127078,6.0,6.0
127,33086,127079,6.0,6.0
128,33086,127080,6.0,6.0
129,33086,127081,6.0,6.0
130,33086,127082,6.0,6.0
131,33086,127083,6.0,6.0
132,33086,127084,6.0,6.0
133,33086,127085,6.0,6.0
134,33086,127086,6.0,6.0
135,33086,127087,6.0,6.0
136,33086,127088,6.0,6.0
137,33086,127089,6.0,6.0
138,33086,127090,6.0,6.0
139,33086,127091,6.0,6.0
140,33086,127092,6.0,6.0
141,33086,127093,6.0,6.0
142,33086,127094,6.0,6.0
143,33086,127095,6.0,6.0
144,33086,127096,6.0,6.0
145,33086,127097,6.0,6.0
146,33086,127098,6.0,6.0
147,33086,127099,6.0,6.0
148,33086,127100,6.0,6.0
149,33086,127101,6.0,6.0
150,33086,127102,6.0,6.0
151,33086,127103,6.0,6.0
152,33086,127104,6.0,6.0
153,33086,127105,6.0,6.0
154,33086,127106,6.0,6.0
155,33086,127107,6.0,6.0
156,33086,127108,6.0,6.0
157,33086,127109,6.0,6.0
158,33086,127110,6.0,6.0
159,33086,127111,6.0,6.0
160,33086,127112,6.0,6.0
161,33086,127113,6.0,6.0
162,33086,127114,6.0,6.0
163,33086,127115,6.0,6.0
164,33086,127116,6.0,6.0
