,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,gc,gcd,iFit,ggc,ggcd,cr
0,311304,add_asymmetric_quantize_inputs (311304),Method,2,0,1,1,0,0,0,0,1,1,3.0,6,4,7,4,23.509775004326936,36.541209043760986,0.010714285714285714,0.007613247049866773,0.0010563380281690146,0.0,1.001056338028169,0.0010563380281690146,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,7.0,0.0,0.0,7.0,0.0,8.771929824561404e-05
1,311234,fbb_ (311234),Member,1,7,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0035714285714285713,0.0985915492957747,0.0,0.008098591549295778,1.0080985915492957,0.008098591549295778,0.0014604631754642186,0.0014604631754642186,0.0,0.0008261139421626841,0.00011393641263066519,0.0,63.0,2.7841893039403044e-16,0.0,63.0,0.004969298245614036
2,360459,get_axis_size (360459),Method,2,0,1,1,0,0,0,0,1,1,5.0,5,2,5,6,13.60964047443681,30.880904142633646,0.010714285714285714,0.007613247049866773,0.0019386589809125034,0.0,1.0019386589809125,0.0019386589809125034,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,13.0,0.0,0.0,13.0,0.0,8.771929824561404e-05
3,361175,shape (361175),Member,1,30,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0035714285714285713,0.18094150488516697,0.0,0.04458915656098758,1.0445891565609875,0.04458915656098758,0.002712288754433549,0.002712288754433549,0.0,0.0014403856816540125,0.0004882989112742794,0.0,208.0,6.96816668809914e-15,0.0,208.0,0.03674561403508772
4,16408,_InternalParse (16408),Method,48,0,14,34,1,7,0,0,8,24,109.0,14,19,94,102,134.01359166423458,988.7012473942568,0.17574568288854003,0.10658545869813481,0.10770387679794884,0.0,1.1077038767979488,0.10770387679794884,0.0029209263509284373,0.0,0.0,0.0001350582352349398,0.0,518.0,0.0,0.0,518.0,0.0,0.01862573099415205
5,16062,set_has_value (16062),Method,1,1,0,1,0,0,0,0,0,1,3.0,2,1,2,1,2.0,4.754887502163468,0.0035714285714285713,0.01259113935170274,0.0,0.002212838383709767,1.0022128383837097,0.002212838383709767,0.00020863759649488838,0.00020863759649488838,0.0,0.0001413865841994796,1.3563858646507759e-05,0.0,14.0,8.629430513977969e-16,0.0,14.0,0.0009429824561403511
6,118236,value_ (118236),Member,1,10,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0035714285714285713,0.09163948883822563,0.0,0.1487470860102154,1.1487470860102154,0.1487470860102154,0.001043187982474442,0.001841766369058325,0.0,0.0002456868919227383,0.00018598463801547388,0.0,723.75,4.0873766304750496e-13,0.0,723.5930562859969,0.015107471847359178
7,16073,set_has_min (16073),Method,1,1,0,1,0,0,0,0,0,1,3.0,2,1,2,1,2.0,4.754887502163468,0.0035714285714285713,0.01259113935170274,0.0,0.002212838383709767,1.0022128383837097,0.002212838383709767,0.00020863759649488838,0.00020863759649488838,0.0,0.0001413865841994796,1.3563858646507759e-05,0.0,14.0,8.629430513977969e-16,0.0,14.0,0.0009429824561403511
8,118237,min_ (118237),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0035714285714285713,0.04097332972136227,0.0,0.06050728929655621,1.0605072892965561,0.06050728929655621,0.00041727519298977677,0.0013561443772167744,0.0,0.00017082252367223266,7.20482253848087e-05,0.0,249.50000000000003,2.0205909123461026e-13,0.0,249.43722251439877,0.007743436759639882
9,16084,set_has_max (16084),Method,1,1,0,1,0,0,0,0,0,1,3.0,2,1,2,1,2.0,4.754887502163468,0.0035714285714285713,0.01259113935170274,0.0,0.002212838383709767,1.0022128383837097,0.002212838383709767,0.00020863759649488838,0.00020863759649488838,0.0,0.0001413865841994796,1.3563858646507759e-05,0.0,14.0,8.629430513977969e-16,0.0,14.0,0.0009429824561403511
