1884,METHOD_REF,3,,is_neg,48,,157,cv.dnn.anonymous_namespace_2.is_neg,4,,bool
5886,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,4222,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
7858,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,4772,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
8375,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,4957,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
8926,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,5145,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
9872,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,5450,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
12742,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,6166,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
14605,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,6700,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
16041,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,7102,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
17536,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,7537,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
19499,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,8053,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
25641,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,9653,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
26776,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,9981,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
27692,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,10257,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
28979,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,10606,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
30012,METHOD_REF,1,,descriptor_table_opencv_2dcaffe_2eproto_getter,8,,10929,descriptor_table_opencv_2dcaffe_2eproto_getter,1,,DescriptorTable
