,Id,Name,NodeType,Fullname,Signature,Filename,Code,LineNumber,LineNumberEnd,ColumnNumber,ColumnNumberEnd,LineOfCode,NumberOfOperators,SetOfOperators,NumberOfOperands,SetOfOperands,FanIn,FanOut,McCabe,AccCyc,ConCf,ConDf,ConZc,ConRf,ConVal,Parma,ParmaIn,ParmaOut,RetType
0,311304,add_asymmetric_quantize_inputs,1,opencv_tflite.LSTMOptionsBuilder.add_asymmetric_quantize_inputs,void opencv_tflite.LSTMOptionsBuilder.add_asymmetric_quantize_inputs (bool),misc\tflite\schema_generated.hpp,"void add_asymmetric_quantize_inputs(bool asymmetric_quantize_inputs) {
    fbb_.AddElement<uint8_t>(LSTMOptions::VT_ASYMMETRIC_QUANTIZE_INPUTS, static_cast<uint8_t>(asymmetric_quantize_inputs), 0);
  }",4272.0,4274.0,3.0,3.0,3.0,7,6,4,4,0,1,1,1,0,0,,0,1,2,1,1,void
1,360459,get_axis_size,1,cv.dnn.cuda4dnn.csl.TensorSpan.get_axis_size,size_type cv.dnn.cuda4dnn.csl.TensorSpan.get_axis_size (int),src\cuda4dnn\csl\tensor.hpp,"size_type get_axis_size(int axis) const noexcept {
            axis = clamp_axis(axis, rank());
            CV_Assert(axis >= 0 && axis < rank());
            return shape[axis];
        }",506.0,510.0,9.0,9.0,5.0,5,5,6,2,0,1,1,1,0,0,,0,1,2,1,1,size_type
2,16408,_InternalParse,1,opencv_caffe.FillerParameter._InternalParse,"const char* opencv_caffe.FillerParameter._InternalParse (char*,ANY*)",misc\caffe\opencv-caffe.pb.cc,"const char* FillerParameter::_InternalParse(const char* ptr, ::PROTOBUF_NAMESPACE_ID::internal::ParseContext* ctx) {
#define CHK_(x) if (PROTOBUF_PREDICT_FALSE(!(x))) goto failure
  _Internal::HasBits has_bits{};
  while (!ctx->Done(&ptr)) {
    uint32_t tag;
    ptr = ::PROTOBUF_NAMESPACE_ID::internal::ReadTag(ptr, &tag);
    switch (tag >> 3) {
      // optional string type = 1 [default = ""constant""];
      case 1:
        if (PROTOBUF_PREDICT_TRUE(static_cast<uint8_t>(tag) == 10)) {
          auto str = _internal_mutable_type();
          ptr = ::PROTOBUF_NAMESPACE_ID::internal::InlineGreedyStringParser(str, ptr, ctx);
          #ifndef NDEBUG
          ::PROTOBUF_NAMESPACE_ID::internal::VerifyUTF8(str, ""opencv_caffe.FillerParameter.type"");
          #endif  // !NDEBUG
          CHK_(ptr);
        } else
          goto handle_unusual;
        continue;
      // optional float value = 2 [default = 0];
      case 2:
        if (PROTOBUF_PREDICT_TRUE(static_cast<uint8_t>(tag) == 21)...",7217.0,7325.0,1.0,10.0,109.0,94,14,102,19,0,14,24,34,1,7,,0,8,4,2,2,const char*
3,311324,LSTMOptionsBuilder,1,opencv_tflite.LSTMOptionsBuilder.LSTMOptionsBuilder,ANY opencv_tflite.LSTMOptionsBuilder.LSTMOptionsBuilder (ANY),misc\tflite\schema_generated.hpp,"explicit LSTMOptionsBuilder(::flatbuffers::FlatBufferBuilder &_fbb)
        : fbb_(_fbb) {
    start_ = fbb_.StartTable();
  }",4275.0,4278.0,3.0,3.0,4.0,2,2,2,2,0,2,1,1,0,0,,0,2,2,1,1,ANY
4,360481,size_range,1,cv.dnn.cuda4dnn.csl.TensorSpan.size_range,"size_type cv.dnn.cuda4dnn.csl.TensorSpan.size_range (size_type,size_type)",src\cuda4dnn\csl\tensor.hpp,"size_type size_range(size_type axis_start, size_type axis_end) const noexcept {
            CV_Assert(!empty());
            CV_Assert(axis_start <= axis_end);
            CV_Assert(axis_end <= rank());
            auto start = std::begin(shape) + axis_start;
            auto end = std::begin(shape) + axis_end;
            return std::accumulate(start, end, 1, std::multiplies<size_type>());
        }",526.0,533.0,9.0,9.0,8.0,11,5,15,6,0,2,1,1,0,0,,0,2,4,2,2,size_type
5,311335,Finish,1,opencv_tflite.LSTMOptionsBuilder.Finish,Offset<LSTMOptions> opencv_tflite.LSTMOptionsBuilder.Finish (),misc\tflite\schema_generated.hpp,"::flatbuffers::Offset<LSTMOptions> Finish() {
    const auto end = fbb_.EndTable(start_);
    auto o = ::flatbuffers::Offset<LSTMOptions>(end);
    return o;
  }",4279.0,4283.0,3.0,3.0,5.0,6,4,8,6,0,2,1,1,0,0,,0,2,0,0,0,Offset<LSTMOptions>
6,98356,_InternalParse,1,opencv_caffe.V0LayerParameter._InternalParse,"const char* opencv_caffe.V0LayerParameter._InternalParse (char*,ANY*)",misc\caffe\opencv-caffe.pb.cc,"const char* V0LayerParameter::_InternalParse(const char* ptr, ::PROTOBUF_NAMESPACE_ID::internal::ParseContext* ctx) {
#define CHK_(x) if (PROTOBUF_PREDICT_FALSE(!(x))) goto failure
  while (!ctx->Done(&ptr)) {
    uint32_t tag;
    ptr = ::PROTOBUF_NAMESPACE_ID::internal::ReadTag(ptr, &tag);
    switch (tag >> 3) {
      // optional string name = 1;
      case 1:
        if (PROTOBUF_PREDICT_TRUE(static_cast<uint8_t>(tag) == 10)) {
          auto str = _internal_mutable_name();
          ptr = ::PROTOBUF_NAMESPACE_ID::internal::InlineGreedyStringParser(str, ptr, ctx);
          #ifndef NDEBUG
          ::PROTOBUF_NAMESPACE_ID::internal::VerifyUTF8(str, ""opencv_caffe.V0LayerParameter.name"");
          #endif  // !NDEBUG
          CHK_(ptr);
        } else
          goto handle_unusual;
        continue;
      // optional string type = 2;
      case 2:
        if (PROTOBUF_PREDICT_TRUE(static_cast<uint8_t>(tag) == 18)) {
          auto str = _internal_mutable_type();
          ptr = :...",31136.0,31539.0,1.0,10.0,404.0,363,16,388,38,0,53,93,151,1,1,,0,53,4,2,2,const char*
7,245826,GetCachedSize,1,opencv_onnx.TensorProto_Segment.GetCachedSize,int opencv_onnx.TensorProto_Segment.GetCachedSize (),misc\onnx\opencv-onnx.pb.hpp,int GetCachedSize() const final { return _cached_size_.Get(); },2056.0,2056.0,3.0,65.0,1.0,1,1,1,1,0,1,1,1,0,0,,0,1,0,0,0,int
8,376910,do_nms_sort,1,cv.dnn.cuda4dnn.RegionOp.do_nms_sort,"void cv.dnn.cuda4dnn.RegionOp.do_nms_sort (float*,int,float,float)",src\cuda4dnn\primitives\region.hpp,"void do_nms_sort(float *detections, int total, float score_thresh, float nms_thresh)
        {
            std::vector<Rect2d> boxes(total);
            std::vector<float> scores(total);

            for (int i = 0; i < total; ++i)
            {
                Rect2d &b = boxes[i];
                int box_index = i * (classes + 4 + 1);
                b.width = detections[box_index + 2];
                b.height = detections[box_index + 3];
                b.x = detections[box_index + 0] - b.width / 2;
                b.y = detections[box_index + 1] - b.height / 2;
            }

            std::vector<int> indices;
            for (int k = 0; k < classes; ++k)
            {
                for (int i = 0; i < total; ++i)
                {
                    int box_index = i * (classes + 4 + 1);
                    int class_index = box_index + 5;
                    scores[i] = detections[class_index + k];
                    detections[class_index + k] = 0;
                }
 ...",135.0,168.0,9.0,9.0,34.0,66,9,68,16,0,4,5,7,1,0,,0,4,8,4,4,void
9,114767,GetCachedSize,1,opencv_caffe.NormalizeBBoxParameter.GetCachedSize,int opencv_caffe.NormalizeBBoxParameter.GetCachedSize (),misc\caffe\opencv-caffe.pb.hpp,int GetCachedSize() const final { return _cached_size_.Get(); },1979.0,1979.0,3.0,65.0,1.0,1,1,1,1,0,1,1,1,0,0,,0,1,0,0,0,int
