,source,target,weight,label
0,346,408154,2.5,2.5
1,346,408225,2.5,2.5
2,346,408281,2.5,2.5
3,346,343962,2.5,2.5
4,408154,408627,3.0,3.0
5,408154,408628,3.0,3.0
6,408154,408629,24.0,24.0
7,408225,408626,6.0,6.0
8,408225,408627,16.0,16.0
9,408225,407701,2.5,2.5
10,408225,408628,3.0,3.0
11,408281,408627,13.0,13.0
12,408281,408626,30.0,30.0
13,408281,408628,27.0,27.0
14,408281,407701,2.5,2.5
15,408281,408629,24.0,24.0
16,343962,343670,2.5,2.5
17,527,34,17.0,17.0
18,566,345666,2.5,2.5
19,345666,347015,11.0,11.0
20,584,345666,2.5,2.5
21,596,344022,2.5,2.5
22,344022,480272,2.5,2.5
23,344022,343508,5.5,5.5
24,603,344012,2.5,2.5
25,344012,343962,2.5,2.5
26,344012,347015,5.5,5.5
27,615,479731,5.5,5.5
28,615,614,3.0,3.0
29,615,613,3.0,3.0
30,615,612,3.0,3.0
31,479731,479635,5.5,5.5
32,479731,479627,2.5,2.5
33,641,344022,2.5,2.5
34,641,613,3.0,3.0
35,641,480272,2.5,2.5
36,480272,479611,3.0,3.0
37,652,345666,2.5,2.5
38,672,641,2.5,2.5
39,679,615,2.5,2.5
40,679,344012,5.5,5.5
41,679,613,3.0,3.0
42,679,612,3.0,3.0
43,699,612,7.0,7.0
44,699,344908,5.5,5.5
45,699,344964,2.5,2.5
46,699,613,3.0,3.0
47,344908,347015,5.5,5.5
48,344908,344291,5.5,5.5
49,344908,347239,2.5,2.5
50,344964,344908,2.5,2.5
51,344964,347015,5.5,5.5
52,780,479731,5.5,5.5
53,780,281,3.0,3.0
54,780,265,3.0,3.0
55,780,268,21.0,21.0
56,780,10647,11.0,11.0
57,780,269,21.0,21.0
58,780,267,3.0,3.0
59,780,270,3.0,3.0
60,780,343984,5.5,5.5
61,780,266,6.0,6.0
62,10647,479731,9.5,9.5
63,10647,11724,3.0,3.0
64,10647,11725,3.0,3.0
65,10647,11742,3.0,3.0
66,343984,343962,2.5,2.5
67,909,10754,5.0,5.0
68,909,268,3.0,3.0
69,909,269,3.0,3.0
70,909,344022,2.5,2.5
71,909,270,3.0,3.0
72,909,288,2.5,2.5
73,909,480272,2.5,2.5
74,10754,10696,2.5,2.5
75,10754,480272,2.5,2.5
76,930,479731,5.5,5.5
77,930,281,3.0,3.0
78,930,265,6.0,6.0
79,930,268,6.0,6.0
80,930,11284,11.0,11.0
81,930,269,6.0,6.0
82,930,270,6.0,6.0
83,930,344012,5.5,5.5
84,930,266,9.0,9.0
85,930,267,27.0,27.0
86,930,293,2.5,2.5
87,11284,10647,9.5,9.5
88,11284,11201,2.5,2.5
89,11284,11241,9.5,9.5
90,11284,11726,5.5,5.5
91,11284,11717,3.0,3.0
92,11284,10754,5.0,5.0
93,11284,10853,9.5,9.5
94,11284,11731,2.5,2.5
95,1044,909,2.5,2.5
96,1053,930,2.5,2.5
97,1063,391302,6.0,6.0
98,1063,114303,5.0,5.0
99,1063,265,3.0,3.0
100,114303,110231,2.5,2.5
101,114303,366891,5.0,5.0
102,114303,110236,2.5,2.5
103,114303,388487,2.5,2.5
104,114303,110241,2.5,2.5
105,1122,247796,9.5,9.5
106,1122,15,10.0,10.0
107,1122,479731,5.5,5.5
108,1122,391299,3.0,3.0
109,1122,343962,5.5,5.5
110,1122,391300,6.0,6.0
111,1122,391301,21.0,21.0
112,1122,10647,11.0,11.0
113,1122,391303,3.0,3.0
114,1122,391302,18.0,18.0
115,1122,780,5.5,5.5
116,1122,10763,2.5,2.5
117,1122,247762,2.5,2.5
118,247796,246032,5.5,5.5
119,247796,251841,7.0,7.0
120,247796,251839,7.0,7.0
121,247796,244747,3.0,3.0
122,247796,245312,2.5,2.5
123,10763,479731,9.5,9.5
124,10763,11717,3.0,3.0
125,10763,10792,2.5,2.5
126,247762,246246,2.5,2.5
127,1276,1122,5.5,5.5
128,1276,248168,5.5,5.5
129,1276,15,3.0,3.0
130,1276,114303,2.5,2.5
131,248168,244771,2.5,2.5
132,248168,246032,5.5,5.5
133,248168,251841,47.0,47.0
134,248168,251839,66.0,66.0
135,248168,244985,7.5,7.5
136,248168,245312,5.5,5.5
137,248168,251852,3.0,3.0
138,248168,251842,105.0,105.0
139,248168,251851,10.0,10.0
140,248168,480272,5.0,5.0
141,248168,251853,9.0,9.0
142,248168,244935,11.0,11.0
143,248168,247902,5.5,5.5
144,248168,244961,5.5,5.5
145,248168,251860,7.0,7.0
146,248168,251840,21.0,21.0
147,248168,479731,5.5,5.5
148,248168,251843,6.0,6.0
149,248168,247844,5.5,5.5
150,1339,344022,2.5,2.5
151,1339,391299,3.0,3.0
152,1339,391303,13.0,13.0
153,1339,228672,2.5,2.5
154,1339,10754,5.0,5.0
155,1339,391301,3.0,3.0
156,1339,391302,3.0,3.0
157,1339,480272,2.5,2.5
158,228672,228396,2.5,2.5
159,228672,228414,2.5,2.5
160,228672,228457,2.5,2.5
161,228672,228500,2.5,2.5
162,228672,228549,2.5,2.5
163,228672,228589,2.5,2.5
164,228672,228611,2.5,2.5
165,228672,114689,2.5,2.5
166,228672,480272,2.5,2.5
167,1372,11201,2.5,2.5
168,1372,11241,9.5,9.5
169,1372,11717,3.0,3.0
170,1372,391339,10.0,10.0
171,1372,16,3.0,3.0
172,1372,391353,3.0,3.0
173,1372,391318,3.0,3.0
174,1372,1339,2.5,2.5
175,11201,11720,3.0,3.0
176,11201,11724,3.0,3.0
177,11201,11721,3.0,3.0
178,11241,11720,6.0,6.0
179,11241,11721,7.0,7.0
180,11241,11716,3.0,3.0
181,1442,10754,5.0,5.0
182,1442,391301,9.0,9.0
183,1442,391302,9.0,9.0
184,1442,11284,11.0,11.0
185,1442,391300,6.0,6.0
186,1442,391303,26.0,26.0
187,1442,228672,2.5,2.5
188,1442,228620,2.5,2.5
189,1504,249016,2.5,2.5
190,249016,248882,2.5,2.5
191,249016,251851,3.0,3.0
192,249016,251853,3.0,3.0
193,249016,480272,2.5,2.5
194,1557,1514,9.5,9.5
195,1557,266,3.0,3.0
196,1590,1557,2.5,2.5
197,1603,1514,9.5,9.5
198,1603,266,3.0,3.0
199,1656,347015,5.5,5.5
200,1656,270,13.0,13.0
201,1656,344045,2.5,2.5
202,344045,347239,2.5,2.5
203,1774,343993,5.5,5.5
204,1774,345608,2.5,2.5
205,1774,1656,2.5,2.5
206,1774,347015,9.5,9.5
207,1774,270,19.0,19.0
208,1774,344952,5.5,5.5
209,1774,345202,5.5,5.5
210,1774,344022,2.5,2.5
211,343993,343962,2.5,2.5
212,345608,347015,5.5,5.5
213,344952,344908,2.5,2.5
214,345202,347015,11.0,11.0
215,345202,344291,27.5,27.5
216,345202,347111,38.0,38.0
217,345202,347357,12.5,12.5
218,345202,469225,5.5,5.5
219,345202,469314,5.5,5.5
220,1821,392378,6.0,6.0
221,1821,1603,5.0,5.0
222,1821,282,2.5,2.5
223,1821,392383,10.0,10.0
224,1821,119825,5.5,5.5
225,1821,119842,9.5,9.5
226,1821,119239,5.5,5.5
227,1821,120025,2.5,2.5
228,119825,119808,5.5,5.5
229,119825,122651,3.0,3.0
230,119842,122652,23.0,23.0
231,119842,122649,23.0,23.0
232,119842,122650,41.0,41.0
233,119842,122651,7.0,7.0
234,119842,122648,44.0,44.0
235,119842,122653,3.0,3.0
236,119842,116319,5.5,5.5
237,119239,116560,5.0,5.0
238,119239,114303,2.5,2.5
239,119239,116290,3.0,3.0
240,120025,119749,2.5,2.5
241,120025,480272,2.5,2.5
242,1877,119808,5.5,5.5
243,1877,119842,9.5,9.5
244,1877,119239,5.5,5.5
245,1877,392363,7.0,7.0
246,1877,1821,2.5,2.5
247,1877,392383,10.0,10.0
248,1877,120025,2.5,2.5
249,119808,479731,5.5,5.5
250,119808,119698,2.5,2.5
251,1929,249046,2.5,2.5
252,1929,15,3.0,3.0
253,1929,250272,2.5,2.5
254,1929,250858,9.5,9.5
255,1929,251879,3.0,3.0
256,1929,11201,2.5,2.5
257,1929,391302,3.0,3.0
258,1929,11241,9.5,9.5
259,1929,11717,3.0,3.0
260,1929,346250,5.5,5.5
261,1929,270,3.0,3.0
262,1929,114303,7.5,7.5
263,1929,1590,9.5,9.5
264,1929,305,11.0,11.0
265,1929,347015,5.5,5.5
266,1929,345927,2.5,2.5
267,1929,251325,2.5,2.5
268,249046,251876,3.0,3.0
269,249046,251877,3.0,3.0
270,249046,251880,3.0,3.0
271,249046,251878,3.0,3.0
272,249046,251882,3.0,3.0
273,249046,251881,3.0,3.0
274,249046,251879,3.0,3.0
275,249046,251885,3.0,3.0
276,249046,244771,2.5,2.5
277,249046,251884,3.0,3.0
278,250272,251884,13.0,13.0
279,250272,251876,9.0,9.0
280,250272,251880,3.0,3.0
281,250272,251883,32.0,32.0
282,250272,251877,13.0,13.0
283,250272,249717,9.5,9.5
284,250272,251879,6.0,6.0
285,250272,245312,11.0,11.0
286,250272,246032,5.5,5.5
287,250272,249100,9.5,9.5
288,250858,249230,9.5,9.5
289,250858,251876,7.0,7.0
290,346250,343984,5.5,5.5
291,346250,346134,19.0,19.0
292,346250,346163,11.0,11.0
293,346250,344908,5.5,5.5
294,346250,480154,5.5,5.5
295,346250,480272,2.5,2.5
296,346250,344022,2.5,2.5
297,345927,480272,2.5,2.5
298,251325,251878,10.0,10.0
299,251325,251882,7.0,7.0
300,251325,480272,2.5,2.5
301,251325,244985,2.5,2.5
302,251325,251884,3.0,3.0
303,2111,527,5.5,5.5
304,2111,1774,2.5,2.5
305,2111,1877,2.5,2.5
306,2149,119808,5.5,5.5
307,2149,119842,9.5,9.5
308,2149,119239,5.5,5.5
309,2149,392363,7.0,7.0
310,2149,1557,9.5,9.5
311,2149,392378,7.0,7.0
312,2149,392383,10.0,10.0
313,2149,120025,2.5,2.5
314,2214,527,5.5,5.5
315,2214,2149,2.5,2.5
316,2255,343984,5.5,5.5
