287,BINDING,ACLResetFirstArgsForCommand,ACLResetFirstArgsForCommand,"void ACLResetFirstArgsForCommand (aclSelector*,long unsigned)"
292,BINDING,ACLResetFirstArgs,ACLResetFirstArgs,void ACLResetFirstArgs (aclSelector*)
299,BINDING,ACLAddAllowedFirstArg,ACLAddAllowedFirstArg,"void ACLAddAllowedFirstArg (aclSelector*,long unsigned,char*)"
304,BINDING,ACLFreeLogEntry,ACLFreeLogEntry,void ACLFreeLogEntry (void*)
311,BINDING,ACLSetSelector,ACLSetSelector,"int ACLSetSelector (aclSelector*,char*,size_t)"
345,BINDING,time_independent_strcmp,time_independent_strcmp,"int time_independent_strcmp (char*,char*,int)"
424,BINDING,ACLHashPassword,ACLHashPassword,"sds ACLHashPassword (unsigned char*,size_t)"
492,BINDING,ACLCheckPasswordHash,ACLCheckPasswordHash,"int ACLCheckPasswordHash (unsigned char*,int)"
526,BINDING,ACLStringHasSpaces,ACLStringHasSpaces,"int ACLStringHasSpaces (char*,size_t)"
565,BINDING,ACLGetCommandCategoryFlagByName,ACLGetCommandCategoryFlagByName,uint64_t ACLGetCommandCategoryFlagByName (char*)
583,BINDING,ACLListMatchLoadedUser,ACLListMatchLoadedUser,"int ACLListMatchLoadedUser (void*,void*)"
595,BINDING,ACLListMatchSds,ACLListMatchSds,"int ACLListMatchSds (void*,void*)"
602,BINDING,ACLListFreeSds,ACLListFreeSds,void ACLListFreeSds (void*)
610,BINDING,ACLListDupSds,ACLListDupSds,void* ACLListDupSds (void*)
640,BINDING,ACLKeyPatternCreate,ACLKeyPatternCreate,"keyPattern ACLKeyPatternCreate (sds,int)"
651,BINDING,ACLKeyPatternFree,ACLKeyPatternFree,void ACLKeyPatternFree (keyPattern*)
671,BINDING,ACLListMatchKeyPattern,ACLListMatchKeyPattern,"int ACLListMatchKeyPattern (void*,void*)"
678,BINDING,ACLListFreeKeyPattern,ACLListFreeKeyPattern,void ACLListFreeKeyPattern (void*)
698,BINDING,ACLListDupKeyPattern,ACLListDupKeyPattern,void* ACLListDupKeyPattern (void*)
779,BINDING,sdsCatPatternString,sdsCatPatternString,"sds sdsCatPatternString (sds,keyPattern*)"
908,BINDING,ACLCreateSelector,ACLCreateSelector,aclSelector ACLCreateSelector (int)
929,BINDING,ACLFreeSelector,ACLFreeSelector,void ACLFreeSelector (aclSelector*)
1043,BINDING,ACLCopySelector,ACLCopySelector,aclSelector ACLCopySelector (aclSelector*)
1052,BINDING,ACLListFreeSelector,ACLListFreeSelector,void ACLListFreeSelector (void*)
1062,BINDING,ACLListDuplicateSelector,ACLListDuplicateSelector,void* ACLListDuplicateSelector (void*)
1121,BINDING,ACLUserGetRootSelector,ACLUserGetRootSelector,aclSelector ACLUserGetRootSelector (user*)
