15,LOCAL,,rax* Users,5,,39,Users,1,,rax*
16,LOCAL,,user* DefaultUser,6,,41,DefaultUser,2,,user*
17,LOCAL,,list* UsersToLoad,6,,46,UsersToLoad,3,,list*
18,LOCAL,,list* ACLLog,6,,53,ACLLog,2,,list*
19,LOCAL,,long long ACLLogEntryCount,11,,56,ACLLogEntryCount,5,,long long
23,LOCAL,,rax* commandId,12,,58,commandId,7,,rax*
27,LOCAL,,static long unsigned nextid,22,,60,nextid,9,,long unsigned
34,LOCAL,,ACLCategoryItem[] ACLCommandCategories,3,,65,ACLCommandCategories,12,,ACLCategoryItem[]
191,LOCAL,,ACLUserFlag[] ACLUserFlags,3,,93,ACLUserFlags,15,,ACLUserFlag[]
236,LOCAL,,ACLSelectorFlags[] ACLSelectorFlags,3,,106,ACLSelectorFlags,18,,ACLSelectorFlags[]
281,LOCAL,,struct aclSelector,3,,142,aclSelector,21,,struct
317,LOCAL,,int diff,9,,163,diff,1,,int
323,LOCAL,,int j,14,,164,j,1,,int
350,LOCAL,,SHA256_CTX ctx,16,,173,ctx,1,,SHA256_CTX
351,LOCAL,,unsigned char[32] hash,19,,174,hash,2,,unsigned char[32]
352,LOCAL,,char[64] hex,10,,175,hex,3,,char[64]
353,LOCAL,,char* cset,10,,176,cset,4,,char*
373,LOCAL,,int j,14,,182,j,1,,int
445,LOCAL,,int i,13,,199,i,1,,int
459,LOCAL,,char c,14,,200,c,1,,char
499,LOCAL,,size_t i,17,,218,i,1,,size_t
532,LOCAL,,int j,14,,227,j,1,,int
570,LOCAL,,sds* user_definition,9,,239,user_definition,1,,sds*
614,LOCAL,,struct keyPattern,3,,264,keyPattern,37,,struct
619,LOCAL,,keyPattern* new,16,,268,new,1,,keyPattern*
682,LOCAL,,keyPattern* old,16,,293,old,1,,keyPattern*
783,LOCAL,,aclSelector* selector,17,,315,selector,3,,aclSelector*
933,LOCAL,,aclSelector* dst,17,,344,dst,1,,aclSelector*
993,LOCAL,,int j,18,,354,j,1,,int
1016,LOCAL,,int i,22,,356,i,1,,int
1084,LOCAL,,aclSelector* s,17,,379,s,1,,aclSelector*
1138,LOCAL,,user* u,10,,391,u,3,,user*
1250,LOCAL,,aclSelector* s,17,,406,s,15,,aclSelector*
1279,LOCAL,,char[64] username,10,,418,username,1,,char[64]
1282,LOCAL,,int j,14,,419,j,1,,int
1295,LOCAL,,user* fakeuser,14,,421,fakeuser,2,,user*
1308,LOCAL,,int retval,13,,423,retval,1,,int
1375,LOCAL,,listIter li,14,,447,li,1,,listIter
1376,LOCAL,,listNode* ln,14,,448,ln,2,,listNode*
1392,LOCAL,,client* c,16,,451,c,1,,client*
1561,LOCAL,,uint64_t word,14,,519,word,1,,uint64_t
1562,LOCAL,,uint64_t bit,20,,519,bit,2,,uint64_t
1608,LOCAL,,uint64_t word,14,,537,word,1,,uint64_t
1609,LOCAL,,uint64_t bit,20,,537,bit,2,,uint64_t
1660,LOCAL,,size_t new_len,12,,551,new_len,1,,size_t
1665,LOCAL,,char* existing_rule,10,,552,existing_rule,3,,char*
1676,LOCAL,,char* copy_position,14,,559,copy_position,1,,char*
1683,LOCAL,,char* rule_end,14,,564,rule_end,4,,char*
