,source,target,weight,label
0,229389,229430,3.0,3.0
1,196622,196616,3.0,3.0
2,458771,458850,3.0,3.0
3,458771,458851,3.0,3.0
4,294934,293242,6.0,6.0
5,458779,458850,18.0,18.0
6,458779,458851,3.0,3.0
7,458779,458852,3.0,3.0
8,458779,458853,3.0,3.0
9,65569,441801,2.5,2.5
10,38,140,3.0,3.0
11,38,141,13.0,13.0
12,38,142,14.0,14.0
13,38,135,1.0,1.0
14,491558,491201,18.0,18.0
15,491558,491187,5.0,5.0
16,393254,460822,4.0,4.0
17,393254,7087,3.0,3.0
18,393254,7098,3.0,3.0
19,460822,460497,3.0,3.0
20,229421,229430,3.0,3.0
21,229431,229430,10.0,10.0
22,557117,10843,4.0,4.0
23,557117,444342,9.5,9.5
24,10843,16288,3.0,3.0
25,10843,16289,3.0,3.0
26,426046,460822,4.0,4.0
27,98369,112897,17.0,17.0
28,98369,112918,3.0,3.0
29,98369,112898,10.0,10.0
30,98369,112908,10.0,10.0
31,98369,112941,17.0,17.0
32,98369,112956,17.0,17.0
33,98369,112891,3.0,3.0
34,98369,112914,3.0,3.0
35,98369,112915,10.0,10.0
36,98369,112916,3.0,3.0
37,98369,112917,3.0,3.0
38,229461,229430,7.0,7.0
39,87,139,3.0,3.0
40,458840,458853,7.0,7.0
41,458840,458852,3.0,3.0
42,524376,524811,1.0,1.0
43,95,139,3.0,3.0
44,491628,491201,3.0,3.0
45,491628,491187,10.0,10.0
46,491628,491202,21.0,21.0
47,196721,196616,3.0,3.0
48,229514,229555,3.0,3.0
49,65676,295838,5.5,5.5
50,458896,458943,3.0,3.0
51,458903,458943,6.0,6.0
52,557211,10843,4.0,4.0
53,557211,553798,1.0,1.0
54,131232,138280,7.0,7.0
55,131232,138286,3.0,3.0
56,131232,138288,3.0,3.0
57,458914,458943,6.0,6.0
58,229546,229555,3.0,3.0
59,196782,196807,6.0,6.0
60,524463,519334,3.0,3.0
61,524463,519346,3.0,3.0
62,524463,519347,3.0,3.0
63,524463,519336,3.0,3.0
64,229556,229555,10.0,10.0
65,131256,138286,3.0,3.0
66,131256,138299,7.0,7.0
67,188,186,3.0,3.0
68,188,187,3.0,3.0
69,295104,293242,15.0,15.0
70,196813,196807,3.0,3.0
71,229586,229555,7.0,7.0
72,131290,138282,7.0,7.0
73,131290,138286,6.0,6.0
