47,FIELD_IDENTIFIER,2,,reset,reset,5,19,2
64,FIELD_IDENTIFIER,2,,get,get,77,22,2
80,FIELD_IDENTIFIER,2,,SetCooperativeLevel,SetCooperativeLevel,31,26,2
92,FIELD_IDENTIFIER,2,,SetEvent,SetEvent,5,37,2
100,FIELD_IDENTIFIER,2,,ResetEvent,ResetEvent,5,42,2
197,FIELD_IDENTIFIER,2,,Leading,Leading,25,30,2
203,FIELD_IDENTIFIER,2,,Trailing,Trailing,25,32,2
233,FIELD_IDENTIFIER,2,,SingleWidth,SingleWidth,56,27,2
251,FIELD_IDENTIFIER,2,,SingleWidth,SingleWidth,56,34,2
269,FIELD_IDENTIFIER,2,,SingleWidth,SingleWidth,56,41,2
310,FIELD_IDENTIFIER,2,,empty,empty,31,30,2
327,FIELD_IDENTIFIER,2,,empty,empty,31,43,2
366,FIELD_IDENTIFIER,2,,Current,Current,67,69,2
380,FIELD_IDENTIFIER,2,,Stored,Stored,66,75,2
399,FIELD_IDENTIFIER,2,,DbcsAttr,DbcsAttr,22,85,2
405,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,22,86,2
411,FIELD_IDENTIFIER,2,,TextAttrBehavior,TextAttrBehavior,17,87,2
417,FIELD_IDENTIFIER,2,,Chars,Chars,13,88,2
521,FIELD_IDENTIFIER,2,,Current,Current,71,70,2
557,FIELD_IDENTIFIER,2,,Single,Single,51,83,2
657,FIELD_IDENTIFIER,2,,Loose,Loose,16,217,2
670,FIELD_IDENTIFIER,2,,Chars,Chars,21,223,2
671,FIELD_IDENTIFIER,2,,size,size,21,223,2
682,FIELD_IDENTIFIER,2,,get,get,52,226,2
685,FIELD_IDENTIFIER,2,,wstring_view,wstring_view,61,226,2
689,FIELD_IDENTIFIER,2,,substr,substr,74,226,2
696,FIELD_IDENTIFIER,2,,LooseTextOnly,LooseTextOnly,16,231,2
709,FIELD_IDENTIFIER,2,,Chars,Chars,21,237,2
710,FIELD_IDENTIFIER,2,,size,size,21,237,2
721,FIELD_IDENTIFIER,2,,get,get,52,240,2
724,FIELD_IDENTIFIER,2,,wstring_view,wstring_view,61,240,2
728,FIELD_IDENTIFIER,2,,substr,substr,74,240,2
734,FIELD_IDENTIFIER,2,,Fill,Fill,16,245,2
745,FIELD_IDENTIFIER,2,,DbcsAttr,DbcsAttr,17,249,2
748,FIELD_IDENTIFIER,2,,Trailing,Trailing,59,249,2
756,FIELD_IDENTIFIER,2,,Chars,Chars,47,251,2
759,FIELD_IDENTIFIER,2,,Leading,Leading,62,252,2
763,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,47,253,2
767,FIELD_IDENTIFIER,2,,TextAttrBehavior,TextAttrBehavior,47,254,2
779,FIELD_IDENTIFIER,2,,Cell,Cell,16,265,2
792,FIELD_IDENTIFIER,2,,at,at,48,271,2
796,FIELD_IDENTIFIER,2,,get<std.span<const OutputCell>>,get<std::span<const OutputCell>>,56,271,2
803,FIELD_IDENTIFIER,2,,CharInfo,CharInfo,16,275,2
816,FIELD_IDENTIFIER,2,,at,at,48,281,2
820,FIELD_IDENTIFIER,2,,get<std.span<const CHAR_INFO>>,get<std::span<const CHAR_INFO>>,56,281,2
827,FIELD_IDENTIFIER,2,,LegacyAttr,LegacyAttr,16,285,2
840,FIELD_IDENTIFIER,2,,at,at,58,291,2
844,FIELD_IDENTIFIER,2,,get<std.span<const WORD>>,get<std::span<const WORD>>,66,291,2
888,FIELD_IDENTIFIER,2,,DbcsAttr,DbcsAttr,9,342,2
891,FIELD_IDENTIFIER,2,,Leading,Leading,51,342,2
899,FIELD_IDENTIFIER,2,,Chars,Chars,39,344,2
902,FIELD_IDENTIFIER,2,,Trailing,Trailing,54,345,2
906,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,39,346,2
910,FIELD_IDENTIFIER,2,,TextAttrBehavior,TextAttrBehavior,39,347,2
928,FIELD_IDENTIFIER,2,,Current,Current,78,367,2
941,FIELD_IDENTIFIER,2,,Stored,Stored,62,382,2
955,FIELD_IDENTIFIER,2,,utf16_next,utf16_next,29,398,2
965,FIELD_IDENTIFIER,2,,Leading,Leading,68,399,2
968,FIELD_IDENTIFIER,2,,Single,Single,93,399,2
986,FIELD_IDENTIFIER,2,,wstring_view,wstring_view,29,414,2
998,FIELD_IDENTIFIER,2,,Leading,Leading,66,415,2
1001,FIELD_IDENTIFIER,2,,Single,Single,91,415,2
1009,FIELD_IDENTIFIER,2,,Current,Current,89,416,2
1022,FIELD_IDENTIFIER,2,,StoredOnly,StoredOnly,64,430,2
1035,FIELD_IDENTIFIER,2,,wstring_view,wstring_view,29,445,2
1047,FIELD_IDENTIFIER,2,,Leading,Leading,66,446,2
1050,FIELD_IDENTIFIER,2,,Single,Single,91,446,2
1058,FIELD_IDENTIFIER,2,,Stored,Stored,73,447,2
1088,FIELD_IDENTIFIER,2,,wstring_view,wstring_view,29,479,2
1093,FIELD_IDENTIFIER,2,,Char,Char,43,479,2
1094,FIELD_IDENTIFIER,2,,UnicodeChar,UnicodeChar,43,479,2
1101,FIELD_IDENTIFIER,2,,Single,Single,45,481,2
1106,FIELD_IDENTIFIER,2,,Attributes,Attributes,22,482,2
1113,FIELD_IDENTIFIER,2,,Leading,Leading,35,484,2
1120,FIELD_IDENTIFIER,2,,Attributes,Attributes,27,486,2
1127,FIELD_IDENTIFIER,2,,Trailing,Trailing,35,488,2
1132,FIELD_IDENTIFIER,2,,Attributes,Attributes,34,491,2
1138,FIELD_IDENTIFIER,2,,Stored,Stored,50,493,2
1155,FIELD_IDENTIFIER,2,,Chars,Chars,27,507,2
1159,FIELD_IDENTIFIER,2,,DbcsAttr,DbcsAttr,41,507,2
1163,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,58,507,2
1167,FIELD_IDENTIFIER,2,,TextAttrBehavior,TextAttrBehavior,75,507,2
1178,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,17,516,2
1181,FIELD_IDENTIFIER,2,,CoordType,CoordType,34,516,2
1186,FIELD_IDENTIFIER,2,,_pos,_pos,52,516,2
1197,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,17,525,2
1200,FIELD_IDENTIFIER,2,,CoordType,CoordType,34,525,2
1205,FIELD_IDENTIFIER,2,,_distance,_distance,57,525,2
1400,FIELD_IDENTIFIER,2,,resize,resize,5,28,2
1405,FIELD_IDENTIFIER,2,,narrow,narrow,26,28,2
1420,FIELD_IDENTIFIER,2,,span,span,17,39,2
1450,FIELD_IDENTIFIER,2,,at,at,13,64,2
1455,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,30,64,2
1470,FIELD_IDENTIFIER,2,,at,at,13,76,2
1475,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,30,76,2
1575,FIELD_IDENTIFIER,2,,Leading,Leading,41,43,2
1609,FIELD_IDENTIFIER,2,,_view,_view,21,81,2
1614,FIELD_IDENTIFIER,2,,_dbcsAttr,_dbcsAttr,25,82,2
1619,FIELD_IDENTIFIER,2,,_textAttr,_textAttr,25,83,2
1624,FIELD_IDENTIFIER,2,,_behavior,_behavior,25,84,2
1720,FIELD_IDENTIFIER,2,,Single,Single,46,59,2
2060,FIELD_IDENTIFIER,2,,SingleWidth,SingleWidth,42,222,2
2082,FIELD_IDENTIFIER,2,,reset,reset,5,237,2
2092,FIELD_IDENTIFIER,2,,runs,runs,6,241,2
2093,FIELD_IDENTIFIER,2,,unsafe_shrink_to_size,unsafe_shrink_to_size,6,241,2
2103,FIELD_IDENTIFIER,2,,SingleWidth,SingleWidth,37,242,2
2118,FIELD_IDENTIFIER,2,,fill_n,fill_n,10,356,2
2125,FIELD_IDENTIFIER,2,,iota,iota,10,357,2
2129,FIELD_IDENTIFIER,2,,begin,begin,15,357,2
2133,FIELD_IDENTIFIER,2,,end,end,37,357,2
2149,FIELD_IDENTIFIER,2,,resize_trailing_extent,resize_trailing_extent,5,366,2
2154,FIELD_IDENTIFIER,2,,narrow,narrow,39,366,2
2166,FIELD_IDENTIFIER,2,,_lineRendition,_lineRendition,22,371,2
2171,FIELD_IDENTIFIER,2,,_wrapForced,_wrapForced,19,372,2
2186,FIELD_IDENTIFIER,2,,GetReadableColumnCount,GetReadableColumnCount,30,376,2
2192,FIELD_IDENTIFIER,2,,Attributes,Attributes,24,380,2
