13,LOCAL,,constexpr auto WAVE_SIZE,16,,13,WAVE_SIZE,1,,auto
17,LOCAL,,constexpr auto WAVE_DATA,16,,14,WAVE_DATA,3,,auto
57,LOCAL,,const auto createFunction,24,,22,createFunction,1,,auto
225,LOCAL,,const auto scale,16,,27,scale,1,,auto
243,LOCAL,,const auto scale,16,,34,scale,1,,auto
261,LOCAL,,const auto scale,16,,41,scale,1,,auto
290,LOCAL,,TextAttribute InvalidTextAttribute,32,,12,InvalidTextAttribute,1,,TextAttribute
577,LOCAL,,TextAttribute InvalidTextAttribute,32,,14,InvalidTextAttribute,1,,TextAttribute
849,LOCAL,,FAIL_FAST_HR ,21,,296,,20,,FAIL_FAST_HR
858,LOCAL,,auto temp,10,,308,temp,1,,auto
949,LOCAL,,const auto glyph,16,,398,glyph,1,,auto
957,LOCAL,,const auto dbcsAttr,16,,399,dbcsAttr,3,,auto
980,LOCAL,,const auto glyph,16,,414,glyph,1,,auto
990,LOCAL,,const auto dbcsAttr,16,,415,dbcsAttr,3,,auto
1029,LOCAL,,const auto glyph,16,,445,glyph,1,,auto
1039,LOCAL,,const auto dbcsAttr,16,,446,dbcsAttr,3,,auto
1064,LOCAL,,auto cleanAttr,10,,461,cleanAttr,1,,auto
1071,LOCAL,,const TextAttribute attr,25,,464,attr,4,,TextAttribute
1082,LOCAL,,const auto glyph,16,,479,glyph,1,,auto
1096,LOCAL,,DbcsAttribute dbcsAttr,19,,481,dbcsAttr,3,,DbcsAttribute
1128,LOCAL,,const TextAttribute textAttr,25,,491,textAttr,6,,TextAttribute
1133,LOCAL,,const auto behavior,16,,493,behavior,8,,auto
1432,LOCAL,,ANY view,39,,50,view,1,,ANY
1740,LOCAL,,int __isa_available,16,,19,__isa_available,1,,int
1893,LOCAL,,auto col,10,,99,col,2,,auto
1897,LOCAL,,const auto currentOffset,16,,100,currentOffset,4,,auto
1961,LOCAL,,auto col,10,,146,col,1,,auto
2187,LOCAL,,CopyTextFrom ,17,,378,,6,,CopyTextFrom
2230,LOCAL,,ANY space,40,,415,space,1,,ANY
2261,LOCAL,,const auto finalColumnInRow,16,,434,finalColumnInRow,3,,auto
2271,LOCAL,,auto currentColor,10,,436,currentColor,5,,auto
2278,LOCAL,,uint16_t colorUses,14,,437,colorUses,7,,uint16_t
2282,LOCAL,,auto colorStarts,10,,438,colorStarts,9,,auto
2292,LOCAL,,auto currentIndex,10,,439,currentIndex,11,,auto
2354,LOCAL,,const auto fillingFirstColumn,24,,466,fillingFirstColumn,1,,auto
2360,LOCAL,,const auto fillingLastColumn,24,,467,fillingLastColumn,3,,auto
2366,LOCAL,,const auto attr,24,,468,attr,5,,auto
2373,LOCAL,,const auto chars,23,,469,chars,7,,auto
2577,LOCAL,,WriteHelper h,17,,575,h,1,,WriteHelper
2608,LOCAL,,const auto colEndNew,16,,594,colEndNew,1,,auto
2681,LOCAL,,WriteHelper h,17,,615,h,1,,WriteHelper
2781,LOCAL,,auto it,10,,649,it,1,,auto
2788,LOCAL,,const auto end,16,,650,end,3,,auto
2808,LOCAL,,size_t ch,12,,651,ch,5,,size_t
2863,LOCAL,,const auto end,16,,673,end,1,,auto
2875,LOCAL,,unsigned int width,22,,677,width,1,,unsigned int
2879,LOCAL,,auto ptr,14,,678,ptr,3,,auto
2885,LOCAL,,const auto wch,20,,679,wch,5,,auto
2890,LOCAL,,size_t advance,16,,680,advance,7,,size_t
2945,LOCAL,,const auto colEndNew,20,,704,colEndNew,11,,auto
3028,LOCAL,,auto source,9,,732,source,1,,auto
3034,LOCAL,,const auto sourceColBeg,16,,733,sourceColBeg,3,,auto
3044,LOCAL,,const auto sourceColLimit,16,,734,sourceColLimit,5,,auto
3054,LOCAL,,ANY charOffsets,31,,735,charOffsets,7,,ANY
3055,LOCAL,,ANY chars,23,,736,chars,8,,ANY
3077,LOCAL,,const auto beg,20,,741,beg,2,,auto
3088,LOCAL,,const auto end,20,,742,end,4,,auto
3101,LOCAL,,WriteHelper h,17,,749,h,10,,WriteHelper
3231,LOCAL,,const auto colEndDirtyInput,16,,786,colEndDirtyInput,1,,auto
3259,LOCAL,,auto colEndInput,10,,789,colEndInput,3,,auto
3276,LOCAL,,const auto baseOffset,16,,794,baseOffset,6,,auto
3285,LOCAL,,const auto endOffset,16,,795,endOffset,8,,auto
3294,LOCAL,,const auto inToOutOffset,16,,796,inToOutOffset,10,,auto
3306,LOCAL,,const auto dst,16,,798,dst,12,,auto
3362,LOCAL,,const auto end,21,,816,end,1,,auto
3377,LOCAL,,const uint16_t ch,24,,818,ch,1,,uint16_t
3382,LOCAL,,const uint16_t off,24,,819,off,3,,uint16_t
3388,LOCAL,,const uint16_t trailer,24,,820,trailer,5,,uint16_t
3394,LOCAL,,const uint16_t newOff,24,,821,newOff,7,,uint16_t
3417,LOCAL,,const uint16_t trailingSpaces,20,,831,trailingSpaces,2,,uint16_t
3423,LOCAL,,const auto chEndDirtyOld,16,,832,chEndDirtyOld,4,,auto
3431,LOCAL,,const auto chEndDirty,16,,833,chEndDirty,6,,auto
3455,LOCAL,,const auto itBeg,20,,843,itBeg,1,,auto
3555,LOCAL,,const auto diff,16,,878,diff,1,,auto
3561,LOCAL,,const auto currentLength,16,,879,currentLength,3,,auto
3565,LOCAL,,const auto newLength,16,,880,newLength,5,,auto
3600,LOCAL,,const auto minCapacity,20,,888,minCapacity,1,,auto
3623,LOCAL,,const auto newCapacity,20,,889,newCapacity,3,,auto
3638,LOCAL,,auto charsHeap,14,,891,charsHeap,5,,auto
3646,LOCAL,,ANY chars,25,,892,chars,7,,ANY
3697,LOCAL,,auto it,10,,901,it,8,,auto
3706,LOCAL,,const auto end,16,,902,end,10,,auto
3774,LOCAL,,const auto run,20,,927,run,2,,auto
3806,LOCAL,,const auto text,16,,944,text,1,,auto
3810,LOCAL,,const auto beg,16,,945,beg,3,,auto
3817,LOCAL,,const auto end,16,,946,end,5,,auto
3824,LOCAL,,auto it,10,,947,it,7,,auto
3862,LOCAL,,auto width,14,,964,width,1,,auto
3873,LOCAL,,const auto text,16,,972,text,2,,auto
3877,LOCAL,,const auto beg,16,,973,beg,4,,auto
3884,LOCAL,,const auto end,16,,974,end,6,,auto
3891,LOCAL,,auto it,10,,975,it,8,,auto
3933,LOCAL,,const auto text,16,,996,text,1,,auto
3937,LOCAL,,const auto beg,16,,997,beg,3,,auto
3944,LOCAL,,const auto end,16,,998,end,5,,auto
3951,LOCAL,,auto it,10,,999,it,7,,auto
3978,LOCAL,,auto col,10,,1014,col,1,,auto
3983,LOCAL,,const auto beg,16,,1017,beg,3,,auto
3993,LOCAL,,const auto end,16,,1024,end,6,,auto
4004,LOCAL,,const auto col,16,,1031,col,1,,auto
4009,LOCAL,,auto attr,10,,1033,attr,3,,auto
4048,LOCAL,,const auto width,16,,1050,width,1,,auto
4068,LOCAL,,ANY columns,26,,1056,columns,1,,ANY
4072,LOCAL,,const auto colBeg,16,,1057,colBeg,3,,auto
4079,LOCAL,,const auto colEnd,16,,1058,colEnd,5,,auto
