139,MEMBER,<empty>,<empty>,_skip,34,,30,_skip,6,,ANY
140,MEMBER,<empty>,<empty>,_hwnd = nullptr,10,,32,_hwnd,7,,HWND
141,MEMBER,<empty>,<empty>,_directSoundModule,25,,33,_directSoundModule,8,,ANY
142,MEMBER,<empty>,<empty>,_directSound,33,,34,_directSound,9,,ANY
143,MEMBER,<empty>,<empty>,_buffers,53,,35,_buffers,10,,ANY
144,MEMBER,<empty>,<empty>,_activeBufferIndex = 0,12,,36,_activeBufferIndex,11,,size_t
145,MEMBER,<empty>,<empty>,_lastBufferPosition = 0,11,,37,_lastBufferPosition,12,,DWORD
185,MEMBER,<empty>,<empty>,Single,5,,21,Single,1,,uint8_t
186,MEMBER,<empty>,<empty>,Leading,5,,22,Leading,2,,uint8_t
187,MEMBER,<empty>,<empty>,Trailing,5,,23,Trailing,3,,uint8_t
217,MEMBER,<empty>,<empty>,SingleWidth,5,,18,SingleWidth,1,,uint8_t
218,MEMBER,<empty>,<empty>,DoubleWidth,5,,19,DoubleWidth,2,,uint8_t
219,MEMBER,<empty>,<empty>,DoubleHeightTop,5,,20,DoubleHeightTop,3,,uint8_t
220,MEMBER,<empty>,<empty>,DoubleHeightBottom,5,,21,DoubleHeightBottom,4,,uint8_t
532,MEMBER,<empty>,<empty>,_text,18,,82,_text,17,,ANY
533,MEMBER,<empty>,<empty>,_dbcsAttribute = DbcsAttribute::Single,19,,83,_dbcsAttribute,18,,DbcsAttribute
534,MEMBER,<empty>,<empty>,_textAttribute,19,,84,_textAttribute,19,,TextAttribute
535,MEMBER,<empty>,<empty>,_behavior,27,,85,_behavior,20,,TextAttributeBehavior
1313,MEMBER,<empty>,<empty>,Loose,9,,67,Loose,1,,ANY
1314,MEMBER,<empty>,<empty>,LooseTextOnly,9,,71,LooseTextOnly,2,,ANY
1315,MEMBER,<empty>,<empty>,Fill,9,,75,Fill,3,,ANY
1316,MEMBER,<empty>,<empty>,LegacyAttr,9,,78,LegacyAttr,4,,ANY
1317,MEMBER,<empty>,<empty>,CharInfo,9,,82,CharInfo,5,,ANY
1318,MEMBER,<empty>,<empty>,Cell,9,,86,Cell,6,,ANY
1319,MEMBER,<empty>,<empty>,_mode,10,,88,_mode,24,,Mode
1320,MEMBER,<empty>,<empty>,_legacyAttrs,27,,90,_legacyAttrs,25,,ANY
1321,MEMBER,<empty>,<empty>,_run,9,,98,_run,26,,ANY
1322,MEMBER,<empty>,<empty>,_attr,19,,100,_attr,27,,TextAttribute
1376,MEMBER,<empty>,<empty>,_currentView,20,,115,_currentView,38,,OutputCellView
1377,MEMBER,<empty>,<empty>,_pos,12,,117,_pos,39,,size_t
1378,MEMBER,<empty>,<empty>,_distance,12,,118,_distance,40,,size_t
1379,MEMBER,<empty>,<empty>,_fillLimit,12,,119,_fillLimit,41,,size_t
1536,MEMBER,<empty>,<empty>,_storage,29,,42,_storage,7,,ANY
1542,MEMBER,<empty>,<empty>,_cols,20,,47,_cols,9,,ANY
1543,MEMBER,<empty>,<empty>,_rows,20,,48,_rows,10,,ANY
1710,MEMBER,<empty>,<empty>,_view,23,,58,_view,12,,ANY
1711,MEMBER,<empty>,<empty>,_dbcsAttr = DbcsAttribute::Single,19,,59,_dbcsAttr,13,,DbcsAttribute
1712,MEMBER,<empty>,<empty>,_textAttr,19,,60,_textAttr,14,,TextAttribute
1713,MEMBER,<empty>,<empty>,_behavior,27,,61,_behavior,15,,TextAttributeBehavior
4370,MEMBER,<empty>,<empty>,ControlChar,5,,17,ControlChar,1,,ANY
4371,MEMBER,<empty>,<empty>,DelimiterChar,5,,18,DelimiterChar,2,,ANY
4372,MEMBER,<empty>,<empty>,RegularChar,5,,19,RegularChar,3,,ANY
4374,MEMBER,<empty>,<empty>,text,23,,26,text,1,,ANY
4375,MEMBER,<empty>,<empty>,columnBegin = 0,20,,28,columnBegin,2,,ANY
4376,MEMBER,<empty>,<empty>,columnLimit = til::CoordTypeMax,20,,30,columnLimit,3,,ANY
4377,MEMBER,<empty>,<empty>,columnEnd = 0,20,,35,columnEnd,4,,ANY
4378,MEMBER,<empty>,<empty>,columnBeginDirty = 0,20,,38,columnBeginDirty,5,,ANY
4379,MEMBER,<empty>,<empty>,columnEndDirty = 0,20,,41,columnEndDirty,6,,ANY
4402,MEMBER,<empty>,<empty>,& source,14,,47,source,1,,ROW
4403,MEMBER,<empty>,<empty>,columnBegin = 0,20,,49,columnBegin,2,,ANY
4404,MEMBER,<empty>,<empty>,columnLimit = til::CoordTypeMax,20,,51,columnLimit,3,,ANY
4405,MEMBER,<empty>,<empty>,sourceColumnBegin = 0,20,,53,sourceColumnBegin,4,,ANY
4406,MEMBER,<empty>,<empty>,sourceColumnLimit = til::CoordTypeMax,20,,55,sourceColumnLimit,5,,ANY
4407,MEMBER,<empty>,<empty>,columnEnd = 0,20,,57,columnEnd,6,,ANY
4408,MEMBER,<empty>,<empty>,columnBeginDirty = 0,20,,60,columnBeginDirty,7,,ANY
4409,MEMBER,<empty>,<empty>,columnEndDirty = 0,20,,63,columnEndDirty,8,,ANY
4410,MEMBER,<empty>,<empty>,sourceColumnEnd = 0,20,,65,sourceColumnEnd,9,,ANY
4472,MEMBER,<empty>,<empty>,CharOffsetsTrailer = 0x8000,31,,81,CharOffsetsTrailer,6,,uint16_t
4473,MEMBER,<empty>,<empty>,CharOffsetsMask = 0x7fff,31,,82,CharOffsetsMask,7,,uint16_t
