,Source,Target,LineNumber,Relation,R_key,R_label
0,38,140,18.0,,4,value_local
1,38,141,19.0,,4,value_local
2,38,141,20.0,,4,value_local
3,38,141,20.0,,6,control_local
4,38,141,22.0,,4,value_local
5,38,142,24.0,,4,value_local
6,38,142,24.0,,6,control_local
7,38,142,26.0,,4,value_local
8,38,142,26.0,,6,control_local
9,38,135,28.0,,2,call_method
10,87,139,37.0,,4,value_local
11,95,139,42.0,,4,value_local
12,188,186,30.0,,4,value_local
13,188,187,32.0,,4,value_local
14,221,217,27.0,,4,value_local
15,257,217,41.0,,4,value_local
16,339,532,54.0,,4,value_local
17,345,383,59.0,,3,data_method
18,352,533,64.0,,4,value_local
19,358,535,69.0,,4,value_local
20,358,6231,69.0,,4,value_local
21,358,534,70.0,,4,value_local
22,371,6230,75.0,,4,value_local
23,383,532,80.0,,4,value_local
24,391,533,85.0,,4,value_local
25,391,1580,85.0,,2,call_method
26,391,1580,85.0,,4,return_method
27,391,534,86.0,,4,value_local
28,391,1586,86.0,,2,call_method
29,391,1586,86.0,,4,return_method
30,391,535,87.0,,4,value_local
31,391,1592,87.0,,2,call_method
32,391,1592,87.0,,4,return_method
33,391,532,88.0,,4,value_local
34,391,1561,88.0,,2,call_method
35,391,1561,88.0,,4,return_method
36,526,535,76.0,,4,value_local
37,641,1377,203.0,,4,value_local
38,647,1378,213.0,,4,value_local
39,647,1319,215.0,,4,value_local
40,647,1319,215.0,,6,control_local
41,647,1313,217.0,,4,value_local
42,647,881,219.0,,2,call_method
43,647,881,219.0,,4,return_method
44,647,881,219.0,,6,control_method
45,647,881,233.0,,2,call_method
46,647,881,233.0,,4,return_method
47,647,881,233.0,,6,control_method
48,647,881,247.0,,2,call_method
49,647,881,247.0,,4,return_method
50,647,881,247.0,,6,control_method
51,647,1377,223.0,,4,value_local
52,647,1377,226.0,,4,value_local
53,647,1377,237.0,,4,value_local
54,647,1377,240.0,,4,value_local
55,647,1377,260.0,,4,value_local
56,647,1377,268.0,,4,value_local
57,647,1377,271.0,,4,value_local
58,647,1377,278.0,,4,value_local
59,647,1377,281.0,,4,value_local
60,647,1377,288.0,,4,value_local
61,647,1377,291.0,,4,value_local
62,647,1561,223.0,,2,call_method
63,647,1561,237.0,,2,call_method
64,647,1561,251.0,,2,call_method
65,647,1561,251.0,,4,return_method
66,647,1376,223.0,,4,value_local
67,647,1376,226.0,,4,value_local
68,647,1376,237.0,,4,value_local
69,647,1376,240.0,,4,value_local
70,647,1376,249.0,,4,value_local
71,647,1376,249.0,,6,control_local
72,647,1376,251.0,,4,value_local
73,647,1376,251.0,,4,value_local
74,647,1376,253.0,,4,value_local
75,647,1376,254.0,,4,value_local
76,647,1376,271.0,,4,value_local
77,647,1376,281.0,,4,value_local
78,647,1376,291.0,,4,value_local
79,647,636,224.0,,2,call_method
80,647,636,224.0,,4,return_method
81,647,636,224.0,,6,control_method
82,647,636,238.0,,2,call_method
83,647,636,238.0,,4,return_method
84,647,636,238.0,,6,control_method
85,647,636,269.0,,2,call_method
86,647,636,269.0,,4,return_method
87,647,636,269.0,,6,control_method
88,647,636,279.0,,2,call_method
89,647,636,279.0,,4,return_method
90,647,636,279.0,,6,control_method
91,647,636,289.0,,2,call_method
92,647,636,289.0,,4,return_method
93,647,636,289.0,,6,control_method
94,647,1321,226.0,,4,value_local
95,647,1321,240.0,,4,value_local
96,647,1321,271.0,,4,value_local
97,647,1321,281.0,,4,value_local
98,647,1321,291.0,,4,value_local
99,647,1322,226.0,,4,value_local
100,647,1314,231.0,,4,value_local
