104,CONTROL_STRUCTURE,-1,,if ((*env)->ExceptionCheck(env)),5,IF,58,3,CASTIfStatement
142,CONTROL_STRUCTURE,-1,,if (psz_str == NULL),5,IF,67,8,CASTIfStatement
180,CONTROL_STRUCTURE,-1,,for (size_t i = 0;i < GENERIC_DIR_COUNT;++i),5,FOR,83,2,CASTForStatement
205,CONTROL_STRUCTURE,-1,,"if ((*vm)->GetEnv(vm, (void**) &env, JNI_VERSION_1_2) != JNI_OK)",5,IF,87,5,CASTIfStatement
221,CONTROL_STRUCTURE,-1,,if (fields.Environment.clazz),5,IF,90,6,CASTIfStatement
239,CONTROL_STRUCTURE,-1,,if (fields.System.clazz),5,IF,93,7,CASTIfStatement
270,CONTROL_STRUCTURE,-1,,"if ((*vm)->GetEnv(vm, (void**) &env, JNI_VERSION_1_2) != JNI_OK)",5,IF,106,4,CASTIfStatement
298,CONTROL_STRUCTURE,-1,,if ((*env)->ExceptionCheck(env)),5,IF,110,7,CASTIfStatement
321,CONTROL_STRUCTURE,-1,,for (size_t i = 0;i < GENERIC_DIR_COUNT;++i),5,FOR,123,10,CASTForStatement
339,CONTROL_STRUCTURE,-1,,if (ppsz_env_names[i] != NULL),9,IF,125,1,CASTIfStatement
384,CONTROL_STRUCTURE,-1,,if ((*env)->ExceptionCheck(env)),5,IF,135,13,CASTIfStatement
392,CONTROL_STRUCTURE,1,,goto error;,9,GOTO,136,1,CASTGotoStatement
424,CONTROL_STRUCTURE,-1,,if ((*env)->ExceptionCheck(env)),5,IF,143,17,CASTIfStatement
432,CONTROL_STRUCTURE,1,,goto error;,9,GOTO,144,1,CASTGotoStatement
449,CONTROL_STRUCTURE,-1,,if ((*env)->ExceptionCheck(env)),5,IF,148,20,CASTIfStatement
457,CONTROL_STRUCTURE,1,,goto error;,9,GOTO,149,1,CASTGotoStatement
496,CONTROL_STRUCTURE,-1,,if (clazz),5,IF,159,26,CASTIfStatement
553,CONTROL_STRUCTURE,-1,,if (psz_home == NULL),5,IF,182,3,CASTIfStatement
558,CONTROL_STRUCTURE,1,,goto fallback;,9,GOTO,183,1,CASTGotoStatement
559,CONTROL_STRUCTURE,-1,,if (psz_dir == NULL),5,IF,185,4,CASTIfStatement
568,CONTROL_STRUCTURE,-1,,"if (asprintf(&psz_fullpath, ""%s/%s"", psz_home, psz_dir) == -1)",5,IF,189,6,CASTIfStatement
579,CONTROL_STRUCTURE,1,,goto fallback;,9,GOTO,190,1,CASTGotoStatement
580,CONTROL_STRUCTURE,-1,,"if (vlc_mkdir(psz_fullpath, 0700) == -1 && errno != EEXIST)",5,IF,191,7,CASTIfStatement
594,CONTROL_STRUCTURE,-1,,goto fallback;,9,GOTO,194,2,CASTGotoStatement
612,CONTROL_STRUCTURE,-1,,"if ((*s_jvm)->GetEnv(s_jvm, (void **)&env, JNI_VERSION_1_2) != JNI_OK)",5,IF,205,2,CASTIfStatement
643,CONTROL_STRUCTURE,-1,,"if ((*s_jvm)->AttachCurrentThread(s_jvm, &env, &args) != JNI_OK)",9,IF,214,5,CASTIfStatement
663,CONTROL_STRUCTURE,-1,,else,9,ELSE,219,3,CASTExpressionStatement
676,CONTROL_STRUCTURE,-1,,if (b_detach),5,IF,225,1,CASTIfStatement
701,CONTROL_STRUCTURE,-1,,if (env == NULL),5,IF,236,6,CASTIfStatement
718,CONTROL_STRUCTURE,-1,,if ((*env)->ExceptionCheck(env)),5,IF,240,9,CASTIfStatement
735,CONTROL_STRUCTURE,-1,,if (jname == NULL),5,IF,245,10,CASTIfStatement
740,CONTROL_STRUCTURE,1,,goto error;,9,GOTO,246,1,CASTGotoStatement
768,CONTROL_STRUCTURE,-1,,if (jfile == NULL),5,IF,253,14,CASTIfStatement
773,CONTROL_STRUCTURE,1,,goto error;,9,GOTO,254,1,CASTGotoStatement
807,CONTROL_STRUCTURE,-1,,if (psz_path == NULL),5,IF,261,20,CASTIfStatement
812,CONTROL_STRUCTURE,1,,goto error;,9,GOTO,262,1,CASTGotoStatement
842,CONTROL_STRUCTURE,-1,,switch(type),5,SWITCH,274,1,CASTSwitchStatement
902,CONTROL_STRUCTURE,-1,,if (psz_name != NULL),13,IF,298,4,CASTIfStatement
946,CONTROL_STRUCTURE,-1,,if (env == NULL),5,IF,325,15,CASTIfStatement
963,CONTROL_STRUCTURE,-1,,if ((*env)->ExceptionCheck(env)),5,IF,330,18,CASTIfStatement
