,Id,Name,NodeType,Fullname,Signature,Filename,Code,LineNumber,LineNumberEnd,ColumnNumber,ColumnNumberEnd,LineOfCode,NumberOfOperators,SetOfOperators,NumberOfOperands,SetOfOperands,FanIn,FanOut,McCabe,AccCyc,ConCf,ConDf,ConZc,ConRf,ConVal,Parma,ParmaIn,ParmaOut,RetType
0,2134,lock,3,aout_owner_t.lock,,audio_output\aout_internal.h,lock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
1,2136,filters,3,aout_owner_t.filters,,audio_output\aout_internal.h,*filters,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
2,2137,volume,3,aout_owner_t.volume,,audio_output\aout_internal.h,*volume,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
3,2161,input_format,3,aout_owner_t.input_format,,audio_output\aout_internal.h,input_format,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
4,2162,mixer_format,3,aout_owner_t.mixer_format,,audio_output\aout_internal.h,mixer_format,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,11,0,1,1,0,0,,0,0,0,0,0,
5,2163,request_vout,3,aout_owner_t.request_vout,,audio_output\aout_internal.h,request_vout,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
6,2164,filters_cfg,3,aout_owner_t.filters_cfg,,audio_output\aout_internal.h,filters_cfg,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
7,2167,restart,3,aout_owner_t.restart,,audio_output\aout_internal.h,restart,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
8,19529,name,3,vlc_option.name,,config\vlc_getopt.h,*name,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
9,19530,has_arg,3,vlc_option.has_arg,,config\vlc_getopt.h,has_arg,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
10,19531,flag,3,vlc_option.flag,,config\vlc_getopt.h,*flag,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
11,19532,val,3,vlc_option.val,,config\vlc_getopt.h,val,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
12,24158,lock,3,input_clock_t.lock,,input\clock.c,lock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,28,0,1,1,0,0,,0,0,0,0,0,
13,24159,last,3,input_clock_t.last,,input\clock.c,last,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,9,0,1,1,0,0,,0,0,0,0,0,
14,24160,i_ts_max,3,input_clock_t.i_ts_max,,input\clock.c,i_ts_max,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
15,24161,i_buffering_duration,3,input_clock_t.i_buffering_duration,,input\clock.c,i_buffering_duration,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
16,24162,i_next_drift_update,3,input_clock_t.i_next_drift_update,,input\clock.c,i_next_drift_update,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
17,24163,drift,3,input_clock_t.drift,,input\clock.c,drift,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,10,0,1,1,0,0,,0,0,0,0,0,
18,24176,ref,3,input_clock_t.ref,,input\clock.c,ref,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,13,0,1,1,0,0,,0,0,0,0,0,
19,24177,b_has_reference,3,input_clock_t.b_has_reference,,input\clock.c,b_has_reference,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,11,0,1,1,0,0,,0,0,0,0,0,
20,24179,b_has_external_clock,3,input_clock_t.b_has_external_clock,,input\clock.c,b_has_external_clock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
21,24180,b_paused,3,input_clock_t.b_paused,,input\clock.c,b_paused,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
22,24181,i_rate,3,input_clock_t.i_rate,,input\clock.c,i_rate,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
23,24182,i_pts_delay,3,input_clock_t.i_pts_delay,,input\clock.c,i_pts_delay,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
24,24183,i_pause_date,3,input_clock_t.i_pause_date,,input\clock.c,i_pause_date,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
25,27542,p_input,3,decoder_owner_sys_t.p_input,,input\decoder.c,*p_input,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,14,0,1,1,0,0,,0,0,0,0,0,
26,27543,p_resource,3,decoder_owner_sys_t.p_resource,,input\decoder.c,*p_resource,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,12,0,1,1,0,0,,0,0,0,0,0,
27,27544,p_clock,3,decoder_owner_sys_t.p_clock,,input\decoder.c,*p_clock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
28,27545,i_last_rate,3,decoder_owner_sys_t.i_last_rate,,input\decoder.c,i_last_rate,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
29,27546,p_spu_vout,3,decoder_owner_sys_t.p_spu_vout,,input\decoder.c,*p_spu_vout,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
30,27547,i_spu_channel,3,decoder_owner_sys_t.i_spu_channel,,input\decoder.c,i_spu_channel,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
31,27548,i_spu_order,3,decoder_owner_sys_t.i_spu_order,,input\decoder.c,i_spu_order,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
32,27549,p_sout,3,decoder_owner_sys_t.p_sout,,input\decoder.c,*p_sout,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
33,27550,p_sout_input,3,decoder_owner_sys_t.p_sout_input,,input\decoder.c,*p_sout_input,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
34,27551,thread,3,decoder_owner_sys_t.thread,,input\decoder.c,thread,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
35,27559,p_packetizer,3,decoder_owner_sys_t.p_packetizer,,input\decoder.c,*p_packetizer,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,12,0,1,1,0,0,,0,0,0,0,0,
36,27561,fmt,3,decoder_owner_sys_t.fmt,,input\decoder.c,fmt,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,33,0,1,1,0,0,,0,0,0,0,0,
37,27562,b_fmt_description,3,decoder_owner_sys_t.b_fmt_description,,input\decoder.c,b_fmt_description,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
38,27563,p_description,3,decoder_owner_sys_t.p_description,,input\decoder.c,*p_description,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
39,27564,reload,3,decoder_owner_sys_t.reload,,input\decoder.c,reload,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
40,27565,p_fifo,3,decoder_owner_sys_t.p_fifo,,input\decoder.c,*p_fifo,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,47,0,1,1,0,0,,0,0,0,0,0,
41,27566,lock,3,decoder_owner_sys_t.lock,,input\decoder.c,lock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,67,0,1,1,0,0,,0,0,0,0,0,
42,27567,wait_request,3,decoder_owner_sys_t.wait_request,,input\decoder.c,wait_request,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
43,27568,wait_acknowledge,3,decoder_owner_sys_t.wait_acknowledge,,input\decoder.c,wait_acknowledge,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,9,0,1,1,0,0,,0,0,0,0,0,
44,27569,wait_fifo,3,decoder_owner_sys_t.wait_fifo,,input\decoder.c,wait_fifo,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
45,27570,wait_timed,3,decoder_owner_sys_t.wait_timed,,input\decoder.c,wait_timed,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
46,27571,p_aout,3,decoder_owner_sys_t.p_aout,,input\decoder.c,*p_aout,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,27,0,1,1,0,0,,0,0,0,0,0,
47,27572,p_vout,3,decoder_owner_sys_t.p_vout,,input\decoder.c,*p_vout,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,25,0,1,1,0,0,,0,0,0,0,0,
48,27573,i_preroll_end,3,decoder_owner_sys_t.i_preroll_end,,input\decoder.c,i_preroll_end,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,10,0,1,1,0,0,,0,0,0,0,0,
49,27574,pause_date,3,decoder_owner_sys_t.pause_date,,input\decoder.c,pause_date,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
50,27575,frames_countdown,3,decoder_owner_sys_t.frames_countdown,,input\decoder.c,frames_countdown,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
51,27576,paused,3,decoder_owner_sys_t.paused,,input\decoder.c,paused,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,10,0,1,1,0,0,,0,0,0,0,0,
52,27577,error,3,decoder_owner_sys_t.error,,input\decoder.c,error,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
53,27578,b_waiting,3,decoder_owner_sys_t.b_waiting,,input\decoder.c,b_waiting,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,15,0,1,1,0,0,,0,0,0,0,0,
54,27579,b_first,3,decoder_owner_sys_t.b_first,,input\decoder.c,b_first,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,5,0,1,1,0,0,,0,0,0,0,0,
55,27580,b_has_data,3,decoder_owner_sys_t.b_has_data,,input\decoder.c,b_has_data,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
56,27581,flushing,3,decoder_owner_sys_t.flushing,,input\decoder.c,flushing,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,7,0,1,1,0,0,,0,0,0,0,0,
57,27582,b_draining,3,decoder_owner_sys_t.b_draining,,input\decoder.c,b_draining,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
58,27583,drained,3,decoder_owner_sys_t.drained,,input\decoder.c,drained,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
59,27584,b_idle,3,decoder_owner_sys_t.b_idle,,input\decoder.c,b_idle,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,6,0,1,1,0,0,,0,0,0,0,0,
60,27598,i_ts_delay,3,decoder_owner_sys_t.i_ts_delay,,input\decoder.c,i_ts_delay,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
61,34094,key,3,demux_mapping.key,,input\demux.c,key[20],-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,
62,34095,name,3,demux_mapping.name,,input\demux.c,name[8],-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
63,34386,demux,3,demux_priv_t.demux,,input\demux.c,demux,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
64,35808,fifo,3,vlc_demux_chained_t.fifo,,input\demux_chained.c,*fifo,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,11,0,1,1,0,0,,0,0,0,0,0,
65,35809,thread,3,vlc_demux_chained_t.thread,,input\demux_chained.c,thread,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
66,35810,lock,3,vlc_demux_chained_t.lock,,input\demux_chained.c,lock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,11,0,1,1,0,0,,0,0,0,0,0,
67,35816,out,3,vlc_demux_chained_t.out,,input\demux_chained.c,*out,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
68,35817,name,3,vlc_demux_chained_t.name,,input\demux_chained.c,name[],-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,3,0,1,1,0,0,,0,0,0,0,0,
69,36226,i_id,3,es_out_pgrm_t.i_id,,input\es_out.c,i_id,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,9,0,1,1,0,0,,0,0,0,0,0,
70,36227,i_es,3,es_out_pgrm_t.i_es,,input\es_out.c,i_es,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
71,36228,b_selected,3,es_out_pgrm_t.b_selected,,input\es_out.c,b_selected,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
72,36229,b_scrambled,3,es_out_pgrm_t.b_scrambled,,input\es_out.c,b_scrambled,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,4,0,1,1,0,0,,0,0,0,0,0,
73,36230,p_clock,3,es_out_pgrm_t.p_clock,,input\es_out.c,*p_clock,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,8,0,1,1,0,0,,0,0,0,0,0,
74,36231,i_last_pcr,3,es_out_pgrm_t.i_last_pcr,,input\es_out.c,i_last_pcr,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,2,0,1,1,0,0,,0,0,0,0,0,
75,36232,p_meta,3,es_out_pgrm_t.p_meta,,input\es_out.c,*p_meta,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,24,0,1,1,0,0,,0,0,0,0,0,
