,Name,File,LOC,TypeDecl,Method,Local,Property,Variable,Basic-Node,Basic-Edge,Topic-Node,Topic-Edge,Lab-Node,Lab-Edge
0,LevelDB,128,9259.0,569,1784,42,677,719,3200,5629,1328,3319,1328,1889
1,Log4cxx,394,8744.0,330,1563,145,424,569,2856,1676,425,877,425,442
2,Memcached,84,19970.0,435,797,223,1240,1463,2779,7429,1175,6054,1175,2568
3,Nginx,344,50669.0,756,2476,1536,3882,5418,8994,11787,1684,7811,1684,2981
4,Node.js,345,8166.0,331,4310,29,709,738,5724,3998,1147,2142,1147,1249
5,Opencv,346,42631.0,2931,12773,95,4333,4428,20478,27599,4794,9560,4794,6618
6,Redis,172,88519.0,742,4460,400,2487,2887,8261,41105,5354,38413,5354,16700
7,Terminal,1128,118018.0,1572,12495,2366,5006,7372,22567,40150,9171,25219,9171,13055
8,VLC,220,49005.0,379,2252,220,1349,1569,4420,12786,2593,11285,2593,5769
9,Nginx-1.22.1,344,50669.0,756,2476,1536,3882,5418,8994,11787,1684,7811,1684,2981
10,Nginx-1.21.1,344,50150.0,754,2469,1531,3854,5385,8952,11706,1668,7757,1668,2962
11,Nginx-1.20.0,344,50016.0,754,2466,1531,3855,5386,8950,11707,1668,7757,1668,2952
12,Nginx-1.19.0,342,49494.0,749,2436,1508,3815,5323,8850,11583,1658,7674,1658,2928
13,Redis-7.0.12,166,84906.0,1159,4151,993,2347,3340,8816,38993,5002,36462,5002,15711
14,Redis-7.0.11,166,84881.0,1159,4151,993,2347,3340,8816,38942,5004,36411,5004,15698
15,Redis-7.0.10,166,84804.0,1159,4148,993,2347,3340,8813,38990,4999,36459,4999,15709
16,Redis-7.0.9,166,84759.0,1159,4148,993,2347,3340,8813,38967,5000,36436,5000,15702
17,Node.js-20.5.0,345,8166.0,331,4310,29,709,738,5724,3998,1147,2142,1147,1249
18,Node.js-20.4.0,345,8166.0,331,4302,29,709,738,5716,3998,1147,2142,1147,1249
19,Node.js-20.3.0,343,8141.0,328,4274,29,705,734,5679,3973,1137,2130,1137,1241
20,Node.js-20.2.0,343,8155.0,328,4260,29,709,738,5669,3966,1141,2123,1141,1245
21,VLC-3.0.17,220,49005.0,379,2252,220,1349,1569,4420,12786,2593,11285,2593,5769
22,VLC-3.0.16,220,48975.0,379,2251,220,1347,1567,4417,12790,2588,11291,2588,5753
23,VLC-3.0.15,220,48977.0,379,2251,220,1347,1567,4417,12794,2588,11295,2588,5756
24,VLC-3.0.14,220,48976.0,379,2251,220,1347,1567,4417,12794,2588,11295,2588,5756
